"","team_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"639",617,2022,"Taylor Rondon",46.3333333333333,62,10,0,22,7,"4.230",0.316,11.338,"4.062"
"640",650,2022,"Kynlee Marquez",52.3333333333333,78,25,2,23,4,"5.217",0.332,28.49,"4.062"
"641",248,2022,"Alexandra Anderson",45,71,10,5,11,4,"7.778",0.366,16.578,"4.067"
"642",441,2022,"Dana Butterfield",141,169,56,12,69,13,"4.319",0.294,69.199,"4.067"
"643",433,2022,"Anna Borgen",95.3333333333333,122,22,11,48,12,"4.699",0.307,34.28,"4.068"
"644",2743,2022,"Natalie Myers",53.3333333333333,64,19,2,39,8,"3.544",0.286,22.2,"4.069"
"645",430,2022,"Grace Fagan",32.3333333333333,25,31,1,34,2,"3.247",0.216,32.773,"4.070"
"646",746,2022,"Savanah Henley",49,61,28,3,38,5,"5.143",0.305,32.245,"4.073"
"647",361,2022,"Desiree Smith",87.6666666666667,111,22,11,41,10,"4.471",0.301,34.266,"4.077"
"648",244,2022,"Isabella Cear",28,38,6,2,8,3,"3.750",0.328,9.357,"4.079"
"649",28,2022,"Allison Royalty",29.6666666666667,30,20,2,34,4,"4.247",0.252,23.011,"4.085"
"650",272,2022,"Caylee English",111,141,36,10,47,11,"4.793",0.301,47.27,"4.085"
"651",434,2022,"Jordan Weber",153.666666666667,111,57,14,120,22,"2.505",0.201,71.722,"4.085"
"652",419,2022,"Corrina Dodd",77,61,19,9,55,12,"2.727",0.215,28.792,"4.088"
"653",346,2022,"Aaliyah Ruiz",170.333333333333,192,66,16,109,20,"3.904",0.281,83.127,"4.091"
"654",466,2022,"Jana Pope",20.6666666666667,33,16,2,16,1,"6.097",0.344,19.597,"4.094"
"655",1014,2022,"Payton Lemire",104.333333333333,94,76,8,57,3,"2.751",0.235,84.901,"4.096"
"656",48,2022,"Baylee Eaton",66,73,27,6,39,7,"3.288",0.274,34.106,"4.097"
"657",576,2022,"Kathryn Schmierer",60,56,16,10,27,6,"2.333",0.24,26.933,"4.100"
"658",381,2022,"Jessie Rising",91.6666666666667,109,37,7,53,10,"3.360",0.289,45.189,"4.102"
"659",201,2022,"Olivia Price",68.6666666666667,76,38,12,36,3,"4.893",0.275,51.107,"4.104"
"660",27,2022,"Taylor Nichols",65.6666666666667,72,20,6,48,10,"2.772",0.275,27.096,"4.106"
"661",43,2022,"Harley Mullins",127,155,50,10,53,11,"3.913",0.296,61.22,"4.109"
"662",67,2022,"Abby Dunning",59.6666666666667,58,46,7,61,5,"5.279",0.256,53.972,"4.109"
"663",494,2022,"Jannay Jones",132.666666666667,157,61,7,73,13,"3.377",0.29,69.183,"4.111"
"664",219,2022,"Izzy Vetter",164,140,91,23,180,23,"4.098",0.231,114.854,"4.113"
"665",559,2022,"Alexa Pinarski",82.3333333333333,97,42,5,39,6,"5.101",0.293,48.178,"4.113"
"666",572,2022,"Piper Maguire",32.6666666666667,54,14,1,14,3,"4.286",0.365,16.653,"4.114"
"667",311,2022,"Ellie Spelhaug",135.666666666667,143,72,12,81,11,"4.128",0.26,85.054,"4.117"
"668",482,2022,"Cara Leone",57.6666666666667,66,30,16,26,1,"4.006",0.288,47.145,"4.117"
"669",676,2022,"Brooke Gainous",64,73,18,5,38,9,"4.156",0.283,24.141,"4.119"
"670",676,2022,"Sophie Hannabas",58.6666666666667,77,39,4,40,4,"4.773",0.303,44.312,"4.122"
"671",694,2022,"Erin Edmoundson",156.666666666667,121,48,27,140,25,"2.502",0.209,75.772,"4.123"
"672",559,2022,"Brenna Smith",95.6666666666667,123,24,3,36,12,"4.024",0.304,28.286,"4.125"
"673",14927,2022,"Alicia Veltri",84,98,29,8,48,10,"4.417",0.284,38.167,"4.126"
"674",406,2022,"Bailey Pattison",30.6666666666667,38,14,1,9,2,"6.620",0.29,16.239,"4.128"
"675",51,2022,"Rachel Hertenberger",19.6666666666667,26,13,1,17,2,"6.407",0.317,15.322,"4.129"
"676",175,2022,"Sarah Bailitz",59,58,34,5,40,5,"3.322",0.248,39.983,"4.129"
"677",617,2022,"Kristen Brennan",63.3333333333333,85,11,5,34,10,"4.311",0.323,17.342,"4.137"
"678",72,2022,"Abbott Badgley",61,68,40,4,26,2,"3.787",0.285,45.115,"4.138"
"679",540,2022,"Julia Longo",107.333333333333,147,49,10,60,10,"5.348",0.328,60.37,"4.142"
"680",691,2022,"Caitlyn Manus",115,127,39,13,75,15,"3.896",0.271,53.104,"4.148"
"681",635,2022,"Sydney Babik",96,99,42,10,59,10,"3.938",0.25,53.031,"4.150"
"682",772,2022,"Kelsie Houchens",20,20,7,2,9,2,"3.500",0.26,10,"4.150"
"683",688,2022,"Ariana Adams",104.333333333333,96,38,11,86,16,"3.288",0.238,49.92,"4.154"
"684",610,2022,"Kailey O'connor",32.3333333333333,67,13,4,10,2,"9.742",0.414,19.072,"4.163"
"685",86,2022,"Julia Tarantino",140,186,40,16,84,19,"4.400",0.312,57.329,"4.164"
"686",410,2022,"Bry Michitson",115,146,73,9,67,7,"4.809",0.307,83.27,"4.165"
"687",498,2022,"Kinsey Kackley",124.666666666667,110,76,13,114,14,"2.864",0.227,89.882,"4.173"
"688",10411,2022,"Adison Yoder",14.6666666666667,17,7,2,7,1,"4.773",0.283,10.159,"4.173"
"689",236,2022,"Devon Miller",129.666666666667,121,59,13,110,18,"2.969",0.242,72.933,"4.174"
"690",509,2022,"Lauren Dvorak",53,63,23,11,30,4,"5.151",0.293,35.189,"4.174"
"691",367,2022,"Taja Felder",32.6666666666667,30,19,4,12,1,"3.000",0.229,23.918,"4.176"
"692",488,2022,"Kayla Douglas",46.6666666666667,55,25,1,17,3,"5.550",0.284,27.179,"4.179"
"693",457,2022,"Carlie Myrtle",59,60,20,6,58,11,"4.034",0.258,27.017,"4.180"
"694",1157,2022,"Lindsey Kyte",73,89,33,15,46,6,"4.603",0.301,49.219,"4.181"
"695",596,2022,"Tierney Fitzgerald",46,68,32,0,20,2,"5.783",0.34,33.478,"4.183"
"696",26172,2022,"Denay Smith",73.3333333333333,84,40,4,33,5,"4.295",0.286,45.145,"4.186"
"697",709,2022,"Makenna Durieux",31.3333333333333,32,11,0,8,3,"3.351",0.25,12.021,"4.187"
"698",540,2022,"Rachel Riley",25.6666666666667,30,11,3,11,2,"4.909",0.286,15.169,"4.192"
"699",498,2022,"Gianni Hulett",29,37,10,4,21,4,"4.345",0.294,15.276,"4.193"
"700",257,2022,"Kylie Macy",49,45,13,6,69,13,"4.143",0.234,19.918,"4.196"
"701",381,2022,"Marika Deemer",64,81,22,5,22,6,"4.375",0.302,28.266,"4.197"
"702",794,2022,"Lauren King",59,77,19,1,29,8,"4.271",0.312,21.305,"4.197"
"703",693,2022,"Brooke Parrott",155,123,72,19,88,14,"2.484",0.216,91.794,"4.200"
"704",393,2022,"Kylee Lehman",47.6666666666667,66,33,13,26,0,"4.846",0.335,47.385,"4.204"
"705",244,2022,"Bailey Tanner",37.6666666666667,38,21,3,15,2,"4.088",0.264,25.009,"4.205"
"706",312,2022,"Denali Loecker",131.333333333333,156,46,4,67,17,"4.850",0.283,51.188,"4.205"
"707",596,2022,"Elizabeth Lis",38.6666666666667,76,11,3,12,4,"6.879",0.415,15.966,"4.210"
"708",700,2022,"Kendall Fritz",116,112,27,15,75,18,"3.259",0.247,42.966,"4.210"
"709",1068,2022,"Mckenna Mccard",51.3333333333333,34,31,6,48,6,"3.273",0.184,37.662,"4.212"
"710",400,2022,"Julianne Bolton",111.333333333333,139,64,3,97,15,"5.030",0.296,68.249,"4.214"
"711",148,2022,"Jenna Watts",39.6666666666667,53,28,3,17,1,"4.765",0.308,32.336,"4.215"
"712",111,2022,"Briza Blanco",23.6666666666667,43,12,4,9,1,"7.690",0.391,17.817,"4.217"
"713",302,2022,"Christina Toniolo",105.666666666667,107,48,12,59,10,"3.776",0.254,61.013,"4.217"
