"","team_name","team_id","division"
"73","Dominican (NY)","8956","D-II"
"74","Drury","1057","D-II"
"75","East Central","8965","D-II"
"76","East Stroudsburg","197","D-II"
"77","Eastern N.M.","206","D-II"
"78","Eckerd","208","D-II"
"79","Edinboro","209","D-II"
"80","Edward Waters","30244","D-II"
"81","Elizabeth City St.","210","D-II"
"82","Embry-Riddle (FL)","9680","D-II"
"83","Emmanuel (GA)","30193","D-II"
"84","Emory & Henry","216","D-II"
"85","Emporia St.","1071","D-II"
"86","Erskine","1072","D-II"
"87","Fairmont St.","1076","D-II"
"88","Fayetteville St.","223","D-II"
"89","Felician","23157","D-II"
"90","Ferris St.","224","D-II"
"91","Findlay","1079","D-II"
"92","Fla. Southern","233","D-II"
"93","Flagler","30092","D-II"
"94","Florida Tech","230","D-II"
"95","Fort Hays St.","9011","D-II"
"96","Fort Lewis","1083","D-II"
"97","Fort Valley St.","237","D-II"
"98","Francis Marion","1085","D-II"
"99","Franklin Pierce","241","D-II"
"100","Frostburg St.","243","D-II"
"101","Ga. Southwestern","1097","D-II"
"102","Gannon","246","D-II"
"103","Georgia College","1096","D-II"
"104","Georgian Court","9004","D-II"
"105","Glenville St.","1098","D-II"
"106","Goldey-Beacom","8366","D-II"
"107","Grand Valley St.","262","D-II"
"108","Harding","1116","D-II"
"109","Hawaii Hilo","2697","D-II"
"110","Hawaii Pacific","2696","D-II"
"111","Henderson St.","1123","D-II"
"112","Hillsdale","280","D-II"
"113","Holy Family","1126","D-II"
"114","Ill. Springfield","30050","D-II"
"115","Indiana (PA)","307","D-II"
"116","Jefferson","543","D-II"
"117","Jessup","30262","D-II"
"118","Johnson C. Smith","323","D-II"
"119","Kentucky St.","332","D-II"
"120","King (TN)","30051","D-II"
"121","Kutztown","339","D-II"
"122","Ky. Wesleyan","333","D-II"
"123","Lake Erie","2746","D-II"
"124","Lake Superior St.","345","D-II"
"125","Lander","1167","D-II"
"126","Lane","347","D-II"
"127","LeMoyne-Owen","350","D-II"
"128","Lee","30013","D-II"
"129","Lees-McRae","13302","D-II"
"130","Lenoir-Rhyne","1170","D-II"
"131","Lewis","354","D-II"
"132","Limestone","1174","D-II"
"133","Lincoln (MO)","356","D-II"
"134","Lincoln (PA)","357","D-II"
"135","Lincoln Memorial","1176","D-II"
"136","Livingstone","359","D-II"
"137","Lock Haven","360","D-II"
"138","Lubbock Christian","30177","D-II"
"139","Lynn","20794","D-II"
"140","MSU Denver","413","D-II"
"141","MSU Moorhead","1240","D-II"
"142","Malone","30137","D-II"
"143","Mansfield","384","D-II"
"144","Mars Hill","1199","D-II"
"145","Mary","30075","D-II"
"146","Maryville (MO)","395","D-II"
"147","McKendree","30138","D-II"
"148","Menlo","405","D-II"
"149","Mercy","407","D-II"
"150","Mercyhurst","408","D-II"
"151","Midwestern St.","1222","D-II"
"152","Miles","422","D-II"
"153","Millersville","423","D-II"
"154","Minn. Duluth","427","D-II"
"155","Minn.-Crookston","27854","D-II"
"156","Minnesota St.","383","D-II"
"157","Minot St.","30125","D-II"
"158","Mississippi Col.","429","D-II"
"159","Missouri S&T","435","D-II"
"160","Missouri Western","9013","D-II"
"161","Mo. Southern St.","9012","D-II"
"162","Mo.-St. Louis","436","D-II"
"163","Molloy","437","D-II"
"164","Mont. St. Billings","205","D-II"
"165","Montevallo","1238","D-II"
"166","Mount Olive","1245","D-II"
"167","N.M. Highlands","8577","D-II"
"168","Neb.-Kearney","1156","D-II"
"169","New Hampshire","469","D-II"
"170","New Haven","470","D-II"
"171","New York Tech","477","D-II"
"172","Newberry","1257","D-II"
"173","Newman","30054","D-II"
"174","North Georgia","30052","D-II"
"175","North Greenville","9223","D-II"
"176","Northeastern St.","12810","D-II"
"177","Northern St.","1266","D-II"
"178","Northwest Mo. St.","507","D-II"
"179","Northwest Nazarene","1274","D-II"
"180","Northwestern Okla.","30178","D-II"
"181","Northwood","510","D-II"
"182","Notre Dame (OH)","30126","D-II"
"183","Nova Southeastern","24639","D-II"
"184","Ohio Dominican","30119","D-II"
"185","Okla. Baptist","30202","D-II"
"186","Okla. Christian","30179","D-II"
"187","Ouachita Baptist","1289","D-II"
"188","P.R.-Mayaguez","24361","D-II"
"189","P.R.-Rio Piedras","2716","D-II"
"190","Pace","533","D-II"
"191","Palm Beach Atl.","30045","D-II"
"192","Pitt.-Johnstown","546","D-II"
"193","Pittsburg St.","1314","D-II"
"194","Post","1318","D-II"
"195","Purdue Northwest","30222","D-II"
"196","Queens (NY)","560","D-II"
"197","Quincy","561","D-II"
"198","Regis (CO)","568","D-II"
"199","Rockhurst","1328","D-II"
"200","Rogers St.","30180","D-II"
"201","Rollins","584","D-II"
"202","Roosevelt","2807","D-II"
"203","Saginaw Valley","591","D-II"
"204","Saint Augustine's","594","D-II"
"205","Saint Leo","608","D-II"
"206","Saint Martin's","1343","D-II"
"207","Saint Michael's","613","D-II"
"208","Saint Rose","1347","D-II"
"209","Salem (WV)","19117","D-II"
"210","San Fran. St.","628","D-II"
"211","Savannah St.","632","D-II"
"212","Seton Hill","30063","D-II"
"213","Shaw","636","D-II"
"214","Shepherd","10870","D-II"
