"","season","team_name","division","conference","record","win_perc","team_id","coach_id"
"11752","2004","Southern Utah","D-I","Summit League","38-18-0","0.679","667",1588
"11753","2004","Redlands","D-III","SCIAC","28-9-1","0.757","567",2196
"11754","2004","Monmouth (IL)","D-III","MWC","14-20-0","0.412","438",1953
"11755","2004","Mississippi Val.","D-I","SWAC","34-17-0","0.667","432",1949
"11756","2004","Belmont Abbey","D-II","Conference Carolinas","31-26-0","0.544","2683",2111
"11757","2004","Bowling Green","D-I","MAC","34-30-0","0.531","71",1493
"11758","2004","Georgian Court","D-II","CACC","25-15-0","0.625","9004",2143
"11759","2004","St. John Fisher","D-III","Empire 8","28-17-0","0.622","601",213
"11760","2004","Alabama Huntsville","D-II","Gulf South","48-11-0","0.814","10",1095
"11761","2004","Nova Southeastern","D-II","Sunshine State","32-26-1","0.552","24639",1696
"11762","2004","Wis.-Eau Claire","D-III","WIAC","26-17-0","0.605","793",2010
"11763","2004","Tampa","D-II","Sunshine State","33-14-0","0.702","689",1079
"11764","2004","Penn","D-I","Ivy League","10-31-1","0.244","540",2046
"11765","2004","Western Ky.","D-I","Sun Belt","35-23-0","0.603","772",1884
"11766","2004","Washington Col.","D-III","Centennial","8-21-1","0.276","753",1471
"11767","2004","Livingstone","D-II","CIAA","3-21-0","0.125","359",1940
"11768","2004","Arcadia","D-III","CSAC","29-10-0","0.744","966",855
"11769","2004","Nichols","D-III","CCC","2-21-0","0.087","484",2181
"11770","2004","Ohio St.","D-I","Big Ten","35-25-0","0.583","518",378
"11771","2004","Clark (MA)","D-III","NEWMAC","13-17-0","0.433","145",243
"11772","2004","Arizona St.","D-I","Pac-12","33-31-0","0.516","28",17
"11773","2004","Northern Colo.","","-","6-32-0","0.158","502",1828
"11774","2004","Eastern Nazarene","D-III","CCC","3-28-0","0.097","1064",2136
"11775","2004","Bryant","D-II","NE10","25-15-0","0.625","81",1135
"11776","2004","Minnesota","D-I","Big Ten","33-23-0","0.589","428",688
"11777","2004","Cal Poly","D-I","Big West","22-28-0","0.440","90",375
"11778","2004","Washburn","D-II","Mid-America Intercollegiate","32-25-0","0.561","2814",2098
"11779","2004","Towson","D-I","CAA","35-28-0","0.556","711",1203
