"","head_coach","division","coach_id"
"485","Deanna Tritinger","D-III",1068
"486","Deb Bakker","D-III",1072
"487","Deb DiMatteo","D-III",1075
"488","Deb McCarty","D-III",1077
"489","Deb Pallozzi","D-III",1078
"490","Deb Peffer","D-III",1079
"491","Deb Steward","D-III",1083
"492","Deb Stockham","D-III",1084
"493","Deb Torman","D-III",1085
"494","Deb Zellers","D-III",1086
"495","Debbie Day","D-III",1090
"496","Debbie Harless","D-III",1093
"497","Debbie Kiick","D-III",1096
"498","Debi Neff","D-III",1099
"499","Deborah Raber","D-III",1100
"500","Dee Conway","D-III",1104
"501","Deidra Davis","D-III",1110
"502","Del Malloy","D-III",1111
"503","Delaney Willard","D-III",1112
"504","Delna Lancaster","D-III",1114
"505","Denise Bernarducci","D-III",1116
"506","Denise Bierly","D-III",1117
"507","Denise Foedinger","D-III",1119
"508","Denise Godwin","D-III",1120
"509","Denise Lira","D-III",1122
"510","Denise Marchese","D-III",1123
"511","Denise Udelhofen","D-III",1127
"512","Dennis Blas","D-III",1128
"513","Dennis Fink","D-III",1129
"514","Dennis Johnson","D-III",1131
"515","Dennis Shores","D-III",1133
"516","Dennis Tyner","D-III",1134
"517","Denny Griffin","D-III",1135
"518","Denzel Wallace","D-III",1136
"519","Diana Pepin","D-III",1147
"520","Diane Boettcher","D-III",1149
"521","Diane Kanney","D-III",1152
"522","Diane Meyer","D-III",1154
"523","Diane Schumacher","D-III",1159
"524","Diann Ramsey","D-III",1161
"525","Dianne Scott","D-III",1163
"526","Dick Bailey","D-III",1166
"527","Dick Ellis","D-III",1169
"528","Dick Hurley","D-III",1171
"529","Dick Scialabba","D-III",1172
"530","Dickey Hightower","D-III",1175
"531","Dino Mastropierro","D-III",1180
"532","Dolores Martino","D-III",1184
"533","Don Faulstick","D-III",1187
"534","Don Flewelling","D-III",1188
"535","Don Gannon","D-III",1189
"536","Don Green","D-III",1190
"537","Don Groff","D-III",1191
"538","Don Lyle","D-III",1196
"539","Don Till","D-III",1201
"540","Donald Cromer","D-III",1203
"541","Donald G. Miller","D-III",1204
"542","Donna Ference","D-III",1212
"543","Donna Koczajowski","D-III",1214
"544","Donna Lauria","D-III",1215
"545","Donna Newberry","D-III",1217
"546","Donna Ruseckas","D-III",1220
"547","Donna Wise","D-III",1222
"548","Donnie Danklefsen","D-III",1223
"549","Donnie Fulk","D-III",1224
"550","Dori Breen","D-III",1227
"551","Doug Ahlberg","D-III",1230
"552","Doug Davies","D-III",1232
"553","Doug Lange","D-III",1234
"554","Doug McDaniel","D-III",1235
"555","Doug Sorensen","D-III",1236
"556","Doug Walsh","D-III",1238
"557","Dr. Steve George","D-III",1241
"558","Drew Watson","D-III",1244
"559","E.J. Mills","D-III",1250
"560","Ed Emielita","D-III",1253
"561","Ed Harkness","D-III",1254
"562","Ed Howell","D-III",1255
"563","Ed Panzo","D-III",1257
"564","Ed Williams","D-III",1260
"565","Eddie Stawinski","D-III",1261
"566","Edie Fletcher","D-III",1263
"567","Edward Cantu","D-III",1266
