"","first","last","team"
"244","Bekah","Alcozer","Texas"
"245","Jackie","Alday","UC Riverside"
"246","Ashley","Alden","Saint Joseph's"
"247","Nikki","Alden","Saint Joseph's"
"248","Nikki","Alden","Villanova"
"249","Arianna","Alderete","Coppin St."
"250","Kaitlyn","Alderink","Texas A&M"
"251","Kaitlyn","Alderink","Louisiana"
"252","Lacey","Alderman","Long Beach St."
"253","Reva","Alderman","Lehigh"
"254","Caitlyn","Aldous","Southern Miss."
"255","Annie","Aldrete","Tennessee"
"256","Annie","Aldrete","California"
"257","Hanna","Aldrich","Lehigh"
"258","Hanna","Aldrich","Providence"
"259","Briana","Aldridge","Clark Atlanta"
"260","Kiley shae","Aldridge","Fresno St."
"261","Kylie","Aldridge","Virginia Tech"
"262","Nichole","Aldridge","Centenary (LA)"
"263","Ileana","Aleman","Arkansas"
"264","Maiya","Alemania","CSUN"
"265","Marisa","Alemany","Bucknell"
"266","Jenna","Alesandrelli","Holy Cross"
"267","Ally","Alexander","Louisville"
"268","Aseyah","Alexander","Hampton"
"269","Aseyah","Alexander","Bowie St."
"270","Cara","Alexander","Christian Brothers"
"271","Chelsea","Alexander","Oklahoma St."
"272","Emily","Alexander","UT Martin"
"273","Faith","Alexander","Kennesaw St."
"274","Hannah","Alexander","Seton Hall"
"275","Ikeyia","Alexander","Mississippi Val."
"276","Isabell","Alexander","Northern Ky."
"277","Jessica","Alexander","CSUN"
"278","Katie","Alexander","Michigan"
"279","Kelsey","Alexander","Central Mich."
"280","Madalyn","Alexander","Memphis"
"281","Nikki","Alexander","Saint Mary's (CA)"
"282","Odicci","Alexander","James Madison"
"283","Shelby","Alexander","Northwestern St."
"284","Tasha","Alexander","Drake"
"285","Taylor","Alexander","Ark.-Pine Bluff"
"286","Taylor","Alexander","South Carolina St."
"287","Tori","Alexander","UMBC"
"288","Trinity","Alexander","Florida A&M"
"289","Vanessa","Alexander","Brown"
"290","Kayla","Alexandre","FIU"
"291","Lang","Alexis","Prairie View"
"292","Amberlyn","Alfano","Southeastern La."
"293","Rylee","Alfaro","Canisius"
"294","Saige","Alfaro","Canisius"
"295","Callie","Alford","Georgia St."
"296","Jade","Alford","Sam Houston"
"297","Paige","Alford","Louisville"
"298","Grace","Algrim","Northern Colo."
"299","Natalie","Alheidt","St. John's (NY)"
"300","Carolyn","Alincic","Morehead St."
"301","Morgan","Alisauckas","Mount St. Mary's"
"302","Morgan","Allaband","Weber St."
"303","Lou","Allan","Michigan"
"304","Lou","Allan","Liberty"
"305","Lauran","Allbritton","Wesleyan (GA)"
"306","Jadelyn","Allchin","Washington"
"307","Jade","Allee","Davis & Elkins"
"308","Mikayla","Allee","Ole Miss"
"309","Abbey","Allen","Belhaven"
"310","Abby","Allen","Presbyterian"
"311","Abby","Allen","South Alabama"
"312","Aiyana","Allen","N.C. Central"
"313","Angelina","Allen","Iowa St."
"314","Anne","Allen","NIU"
"315","Ashlynn","Allen","UTEP"
"316","Averi","Allen","UNCW"
"317","Ayden","Allen","Houston"
"318","Bailey","Allen","Louisiana Tech"
"319","Beija","Allen","Jackson St."
"320","Brittany","Allen","Florida"
"321","Collette","Allen","Michigan St."
"322","Dani","Allen","Sam Houston"
"323","Danielle","Allen","Princeton"
"324","Emily","Allen","NC State"
"325","Emily","Allen","Marshall"
"326","Hannah","Allen","UC San Diego"
"327","Julia","Allen","Georgia St."
