"","player_id","rank","player","slg","seasons"
"65",6361,65,"Fiana Finau","0.726","2015-2016"
"66",6079,66,"Nicole Evans","0.724","2015-2017"
"67",4983,67,"Natalie Denhartog","0.724","2019-2023"
"68",21934,68,"Sami Williams","0.723","2017-2021"
"69",9872,69,"Tina Iosefa","0.722","2015-2016"
"70",19429,70,"Mya Stevenson","0.721","2019-2023"
"71",4433,71,"Allie Cummins","0.720","2020-2023"
"72",15418,72,"Alyssa Palomino","0.719","2017-2021"
"73",16383,73,"Saige Pye","0.718","2018-2022"
"74",18758,74,"Allie Skaggs","0.718","2021-2023"
"75",2234,75,"Alyssa Brito","0.717","2021-2023"
"76",19178,76,"Holly Speers","0.717","2015-2018"
"77",8379,77,"Kinzie Hansen","0.717","2020-2023"
"78",10865,78,"Kellye Kincannon","0.717","2015-2017"
"79",14381,79,"Dejah Mulipola","0.716","2017-2021"
"80",4126,80,"Koral Costa","0.716","2015-2016"
"81",11978,81,"Kendyl Lindaman","0.715","2017-2021"
"82",7870,82,"Meghan Gregg","0.715","2015-2018"
"83",13873,83,"Kiki Milloy","0.714","2020-2023"
"84",10999,84,"Baylee Klingler","0.711","2019-2023"
"85",18266,85,"Carlie Scupin","0.710","2021-2023"
"86",17847,86,"Dj Sanders","0.710","2015-2018"
"87",13136,87,"Haylie Mccleney","0.710","2015-2016"
"88",4238,88,"Aleah Craighton","0.709","2015-2018"
"89",19420,89,"Megan Stevens","0.708","2017-2020"
"90",19752,90,"Megan Sweet","0.707","2015-2016"
"91",971,91,"Mac Barbara","0.706","2020-2023"
"92",11718,92,"Haley Lee","0.706","2019-2023"
"93",2199,93,"Chaley Brickey","0.706","2015-2016"
"94",71,94,"Yannira Acuna","0.705","2019-2023"
"95",8848,95,"Bailey Hemphill","0.702","2017-2021"
"96",750,96,"Huntyr Ava","0.702","2020-2023"
"97",8168,97,"Sam Hackenbracht","0.700","2020-2023"
"98",11779,98,"Ulufa Leilua","0.698","2016-2021"
"99",19891,99,"Missy Taukeiaho","0.698","2015-2016"
"100",6122,100,"Sami Fagan","0.698","2015-2016"
