"","player_id","rank","player","rc","seasons"
"43",21493,43,"Kayla Wedl",219.09,"2017-2021"
"44",3171,44,"Courtney Cashman",218.9,"2017-2021"
"45",10665,45,"Katie Keller",218.16,"2019-2023"
"46",768,46,"Patricia Awald",216.09,"2018-2022"
"47",1284,47,"Rachel Becker",215.93,"2019-2023"
"48",10450,48,"Aaliyah Jordan",215.03,"2018-2023"
"49",4034,49,"Kasey Cooper",213.71,"2015-2017"
"50",11909,50,"Rachel Lewis",212.92,"2018-2022"
"51",2296,51,"Suzy Brookshire",210.79,"2017-2021"
"52",11778,52,"Ulufa Leilua",210.12,"2016-2021"
"53",1815,53,"Mackenzie Boesel",208.04,"2017-2021"
"54",14380,54,"Dejah Mulipola",207.9,"2017-2021"
"55",12399,55,"Grace Lyons",207.38,"2019-2023"
"56",18545,56,"Vanessa Shippy",207.24,"2015-2018"
"57",10411,57,"Madison Jones",206.45,"2015-2022"
"58",19147,58,"Karli Spaid",203.28,"2021-2023"
"59",6209,59,"Alysen Febrey",201.83,"2017-2021"
"60",6510,60,"Morganne Flores",201.75,"2016-2021"
"61",3439,61,"Abbey Cheek",200.18,"2016-2019"
"62",3304,62,"Rebekah Cervantes",200.16,"2016-2019"
"63",15551,63,"Makenna Partain",199.84,"2017-2021"
"64",21205,64,"Skylar Wallace",199.66,"2019-2023"
"65",22108,65,"Sadie Wise",198.81,"2018-2022"
"66",11119,66,"Kayla Konwent",198.57,"2017-2023"
"67",16028,67,"Lilli Piper",197.81,"2016-2019"
"68",4432,68,"Allie Cummins",197.13,"2020-2023"
"69",3695,69,"Caleigh Clifton",196.66,"2016-2019"
"70",1164,70,"Sis Bates",196.48,"2017-2021"
"71",14464,71,"Paige Murphy",196.45,"2015-2018"
"72",15308,72,"Autumn Owen",196.32,"2019-2023"
"73",145,73,"Ali Aguilar",195.58,"2015-2017"
"74",3248,74,"Madison Cathcart",195.28,"2017-2021"
"75",6545,75,"Lea Foerster",195.03,"2015-2018"
"76",19167,76,"Delaney Spaulding",195.02,"2015-2017"
"77",14679,77,"Morgan Nelson",194.77,"2016-2023"
"78",17846,78,"Dj Sanders",194.42,"2015-2018"
"79",10494,79,"Sara Jubas",194.01,"2018-2022"
"80",16456,80,"Melissa Rahrich",193.37,"2017-2021"
"81",13872,81,"Kiki Milloy",192.92,"2020-2023"
"82",3815,82,"Jayda Coleman",191.62,"2021-2023"
"83",7610,83,"Megan Good",191.04,"2015-2019"
"84",21994,84,"Brooke Wilmes",190.54,"2018-2022"
"85",22115,85,"Delanie Wisz",190.49,"2018-2022"
"86",20755,86,"Taylor Van zee",190.2,"2015-2018"
"87",17793,87,"Amanda Sanchez",189.74,"2015-2019"
"88",8163,88,"Kindra Hackbarth",189.27,"2017-2021"
"89",3753,89,"Erin Coffel",188.36,"2021-2023"
"90",2444,90,"Ciara Bryan",187.57,"2017-2021"
"91",5750,91,"Tristen Edwards",187.41,"2017-2021"
"92",2087,92,"Maya Brady",187.35,"2020-2023"
"93",14904,93,"Hayley Norton",187.17,"2016-2019"
"94",3781,94,"Delene Colburn",186.54,"2015-2018"
"95",4237,95,"Aleah Craighton",186.47,"2015-2018"
"96",1025,96,"Addison Barnard",186.43,"2021-2023"
"97",21142,97,"Alexis Walkden",186.17,"2015-2018"
"98",1622,98,"Autumn Bishop",185.77,"2017-2021"
"99",19428,99,"Mya Stevenson",185.18,"2019-2023"
"100",18958,100,"Morgan Smith",184.44,"2015-2023"
