"","player_id","rank","player","opp_avg","seasons"
"54",66812,54,"Rachel Rook","0.184","2018-2022"
"55",41403,55,"Payton Kinney","0.184","2021-2025"
"56",67764,56,"Maddi Rutan","0.184","2024-2025"
"57",31369,57,"Mary Haff","0.185","2018-2022"
"58",84048,58,"Danielle Williams","0.185","2019-2023"
"59",980,59,"Odicci Alexander","0.185","2017-2021"
"60",46982,60,"Natalie Lugo","0.186","2018-2022"
"61",30589,61,"Maddia Groff","0.186","2024-2025"
"62",51291,62,"Lindsey Mcleod","0.187","2017-2019"
"63",41088,63,"Lexi Kilfoyl","0.187","2020-2024"
"64",20333,64,"Hailey Dolcini","0.188","2018-2022"
"65",12742,65,"Jada Cecil","0.189","2022-2025"
"66",39511,66,"Mandy Jordan","0.189","2017-2019"
"67",3500,67,"Maggie Balint","0.190","2017-2022"
"68",24549,68,"Amber Fiser","0.190","2017-2021"
"69",49795,69,"Nicole May","0.190","2021-2024"
"70",3053,70,"Sydney Backstrom","0.190","2018-2022"
"71",34486,71,"Makinzy Herzog","0.190","2019-2023"
"72",82235,72,"Emily Watson","0.190","2017-2018"
"73",9554,73,"Stephanie Bryden","0.191","2017-2019"
"74",83757,74,"Kassidy Wilbur","0.191","2019-2022"
"75",81637,75,"Allie Walljasper","0.191","2017-2018"
"76",9106,76,"Devin Brown","0.191","2017-2018"
"77",41339,77,"Meghan King","0.192","2017-2019"
"78",52475,78,"Cielo Meza","0.192","2017-2021"
"79",2404,79,"Caylan Arnold","0.193","2017-2021"
"80",72785,80,"Isabella Smith","0.193","2022-2025"
"81",47252,81,"Kelley Lynch","0.193","2020-2024"
"82",45093,82,"Jennifer Leonhardt","0.193","2017-2021"
"83",67586,83,"Randi Rupp","0.193","2017-2018"
"84",84823,84,"Jordan Withrow","0.193","2017-2020"
"85",19123,85,"Alyssa Denham","0.194","2017-2021"
"86",1783,86,"Kierstin Anderson-glass","0.194","2019-2021"
"87",25016,87,"Morgan Florey","0.194","2017-2019"
"88",86379,88,"Kara Zazzaro","0.194","2019-2023"
"89",74976,89,"Danielle Stiene","0.195","2017-2018"
"90",84061,90,"Emily Williams","0.195","2018-2021"
"91",29408,91,"Peja Goold","0.195","2023-2025"
"92",1411,92,"Taran Alvelo","0.195","2017-2019"
"93",68475,93,"Kathryn Sandercock","0.196","2019-2023"
"94",54770,94,"Matty Moss","0.196","2017-2019"
"95",48145,95,"Gianna Mancha","0.197","2018-2022"
"96",43661,96,"Sam Landry","0.197","2022-2025"
"97",40862,97,"Madison Kerpics","0.197","2021-2024"
"98",38109,98,"Hannah James","0.197","2019-2023"
"99",66715,99,"Alexa Romero","0.198","2017-2021"
"100",85474,100,"Jala Wright","0.198","2021-2024"
