"","player_id","rank","player","xbh","seasons"
"67",8750,67,"Alyssa Brito",106,"2021-2024"
"68",54997,67,"Dejah Mulipola",106,"2017-2021"
"69",14409,69,"Jada Cody",105,"2020-2024"
"70",22440,69,"Bri Ellis",105,"2022-2025"
"71",31746,69,"Cylie Halvorson",105,"2020-2024"
"72",84766,69,"Sadie Wise",105,"2018-2022"
"73",2852,73,"Patricia Awald",104,"2018-2022"
"74",46452,73,"Ramsay Lopez",104,"2020-2024"
"75",60727,73,"Bella Peterson",104,"2018-2022"
"76",84359,73,"Brooke Wilmes",104,"2018-2022"
"77",12613,77,"Madison Cathcart",103,"2017-2021"
"78",44861,77,"Ulufa Leilua",103,"2016-2021"
"79",47310,77,"Grace Lyons",103,"2019-2023"
"80",61106,77,"Erika Piancastelli",103,"2016-2018"
"81",3726,81,"Mac Barbara",102,"2020-2025"
"82",29645,81,"Shaylon Govan",102,"2020-2025"
"83",56992,81,"Hayley Norton",102,"2016-2019"
"84",70362,81,"Chelsea Seggern",102,"2017-2021"
"85",9072,85,"Ava Brown",101,"2023-2025"
"86",12836,85,"Rebekah Cervantes",101,"2016-2019"
"87",1751,87,"Rachel Anderson",100,"2017-2021"
"88",1835,87,"Billie Andrews",100,"2021-2024"
"89",22146,89,"Tristen Edwards",99,"2017-2021"
"90",31316,89,"Kindra Hackbarth",99,"2017-2021"
"91",32481,89,"Aly Harrell",99,"2018-2022"
"92",32876,89,"Jessica Hartwell",99,"2016-2019"
"93",34486,89,"Makinzy Herzog",99,"2019-2023"
"94",40133,89,"Emma Kauf",99,"2020-2024"
"95",49648,89,"Makenna Matthijs",99,"2018-2022"
"96",12345,96,"Courtney Cashman",98,"2017-2021"
"97",20383,96,"Tiffany Domingue",98,"2020-2024"
"98",25122,96,"Lea Foerster",98,"2016-2018"
"99",28943,96,"Jenna Golembiewski",98,"2022-2025"
"100",33829,96,"Bailey Hemphill",98,"2017-2021"
