"","player_id","rank","player","k_bb","seasons"
"64",81709,64,"Amberlyn Walsworth","3.2","2020-2024"
"65",52573,65,"Ashley Mickschl","3.2","2018-2022"
"66",7358,66,"Sidney Booth","3.2","2020-2024"
"67",32470,67,"Kylie Harpman","3.1","2022-2025"
"68",1876,68,"Ilona Andringa","3.1","2017-2018"
"69",85509,69,"Madison Wright","3.1","2023-2025"
"70",13370,70,"Jayden Chestnut","3.1","2017-2018"
"71",19238,71,"Emily Depew","3.1","2020-2024"
"72",21231,72,"Stephi Dullum","3.0","2018-2021"
"73",68811,73,"Emily Sappington","3.0","2021-2024"
"74",278,74,"Paige Adair","3.0","2019-2022"
"75",80266,75,"Jodie Vaughn","3.0","2019-2022"
"76",50150,76,"Makayla Mccarthy","3.0","2018-2021"
"77",22173,77,"Savanah Egger","3.0","2022-2025"
"78",165,78,"Hannah Absalom","3.0","2017-2019"
"79",22406,79,"Chloe Elliott","3.0","2022-2025"
"80",12469,80,"Abrie Castillo","3.0","2019-2023"
"81",4755,81,"Hannah Beatus","3.0","2018-2023"
"82",28837,82,"Tatum Goff","2.9","2022-2023"
"83",36324,83,"Hannah Houge","2.9","2018-2021"
"84",28496,84,"Jaycee Ginter","2.9","2021-2024"
"85",52295,85,"Montana Mesler","2.9","2018-2019"
"86",3751,86,"Cameron Barber","2.8","2017-2020"
"87",1737,87,"Meghan Anderson","2.8","2020-2023"
"88",57792,88,"Alyssa Olague","2.8","2018-2023"
"89",12674,89,"Catalina Cavazos","2.8","2022-2023"
"90",16978,90,"Mariah Culver","2.8","2019-2023"
"91",1498,91,"Makenzie Amend","2.8","2018-2022"
"92",38741,92,"Staci Johns","2.8","2017-2020"
"93",63252,93,"Sydney Rader","2.8","2021-2025"
"94",25310,94,"Taylor Forehand","2.8","2017-2019"
"95",32650,95,"Taia Harris","2.8","2021-2023"
"96",14762,96,"Mac kenzie Collier","2.7","2018-2021"
"97",4559,97,"Emily Baxter","2.7","2023-2025"
"98",77164,98,"Mallory Teunissen","2.7","2017-2019"
"99",24579,99,"Courtney Fisher","2.7","2018-2021"
"100",57129,100,"Callie Nunes","2.7","2018-2023"
