"","player_id","rank","player","era","seasons"
"46",66090,46,"Keely Rochard","1.673","2018-2022"
"47",51330,47,"Chelsea Mcmanaway","1.675","2017-2018"
"48",41879,48,"Tori Kniesche","1.687","2021-2024"
"49",85739,49,"Brooke Yanez","1.688","2018-2023"
"50",49795,50,"Nicole May","1.699","2021-2024"
"51",10803,51,"Valerie Cagle","1.708","2020-2024"
"52",39629,52,"Giselle Juarez","1.711","2017-2021"
"53",55071,53,"Jessica Mullins","1.711","2021-2024"
"54",39007,54,"Maya Johnson","1.714","2023-2025"
"55",6941,55,"Dawn Bodrug","1.716","2020-2022"
"56",24549,56,"Amber Fiser","1.721","2017-2021"
"57",29606,57,"Payton Gottshall","1.722","2020-2024"
"58",64888,58,"Kasey Ricard","1.726","2023-2025"
"59",39511,59,"Mandy Jordan","1.735","2017-2019"
"60",35174,60,"Brittany Hitchcock","1.758","2017-2019"
"61",83757,61,"Kassidy Wilbur","1.762","2019-2022"
"62",5776,62,"Lindsey Bert","1.782","2017-2018"
"63",60226,63,"Maddie Penta","1.792","2021-2024"
"64",43227,64,"Olivia Lackie","1.814","2021-2024"
"65",74976,65,"Danielle Stiene","1.815","2017-2018"
"66",57429,66,"Shealyn O'leary","1.822","2019-2022"
"67",5462,67,"Allison Benning","1.824","2022-2025"
"68",78557,68,"Hope Trautwein","1.826","2018-2022"
"69",9106,69,"Devin Brown","1.827","2017-2018"
"70",80292,70,"Alana Vawter","1.828","2020-2024"
"71",20333,71,"Hailey Dolcini","1.839","2018-2022"
"72",38109,72,"Hannah James","1.845","2019-2023"
"73",80320,73,"Jenna Veber","1.855","2020-2024"
"74",11250,74,"Sydney Campbell","1.864","2020-2024"
"75",28592,75,"Grace Glanzer","1.868","2020-2023"
"76",52429,76,"Kamryn Meyer","1.874","2020-2024"
"77",40631,77,"Izzy Kemp","1.880","2023-2025"
"78",80571,78,"Grace Vesco","1.894","2020-2024"
"79",77620,79,"Millie Thompson","1.896","2021-2024"
"80",2930,80,"Holly Azevedo","1.899","2018-2022"
"81",19123,81,"Alyssa Denham","1.902","2017-2021"
"82",31369,82,"Mary Haff","1.909","2018-2022"
"83",46982,83,"Natalie Lugo","1.912","2018-2022"
"84",67764,84,"Maddi Rutan","1.913","2024-2025"
"85",21882,85,"Carrie Eberle","1.913","2017-2021"
"86",16034,86,"Autumn Courtney","1.927","2023-2025"
"87",43443,87,"Kandra Lamb","1.942","2019-2023"
"88",75265,88,"Autumn Storms","1.957","2017-2021"
"89",40519,89,"Alyssa Kelly","1.973","2022-2024"
"90",5817,90,"Sydney Berzon","1.974","2023-2025"
"91",61098,91,"Calista Phippen","1.977","2019-2023"
"92",72785,92,"Isabella Smith","1.995","2022-2025"
"93",45093,93,"Jennifer Leonhardt","1.996","2017-2021"
"94",38969,94,"Leanna Johnson","1.996","2019-2023"
"95",2404,95,"Caylan Arnold","2.008","2017-2021"
"96",3500,96,"Maggie Balint","2.015","2017-2022"
"97",83172,97,"Amanda Weyh","2.022","2020-2024"
"98",8515,98,"Jenny Bressler","2.024","2019-2023"
"99",25016,99,"Morgan Florey","2.032","2017-2019"
"100",83855,100,"Alivia Wilken","2.046","2024-2025"
