"","player_id","rank","player","k_7","seasons"
"85",980,85,"Odicci Alexander"," 8.1","2017-2021"
"86",28202,86,"Megan Giese"," 8.1","2021-2024"
"87",77969,87,"Taylor Tinsley"," 8.1","2023-2025"
"88",9768,88,"Elle Buffenbarger"," 8.1","2018-2022"
"89",27421,89,"Megan Garst"," 8.1","2018-2021"
"90",40161,90,"Teagan Kavan"," 8.1","2024-2025"
"91",41707,91,"Makenna Kliethermes"," 8.1","2020-2024"
"92",46724,92,"Shelby Lowe"," 8.0","2021-2024"
"93",69695,93,"Stephanie Schoonover"," 8.0","2021-2024"
"94",55994,94,"Blake Neleman"," 8.0","2020-2024"
"95",37655,95,"Emily Ira"," 8.0","2017-2019"
"96",49795,96,"Nicole May"," 8.0","2021-2024"
"97",52801,97,"Ashley Miller"," 8.0","2021-2024"
"98",40895,98,"Billie Kerwood"," 8.0","2022-2025"
"99",22508,99,"Summer Ellyson"," 8.0","2017-2021"
"100",84701,100,"Emily Winstead"," 7.9","2022-2025"
