"","player_id","rank","player","sb","seasons"
"61",14003,61,"Paige Clark",97,"2018-2022"
"62",5989,62,"Jess Bianco",96,"2023-2025"
"63",50088,62,"Macy Mccall",96,"2019-2023"
"64",66807,62,"Lindsay Rood",96,"2016-2019"
"65",86500,62,"Lauren Zick",96,"2016-2018"
"66",60813,66,"Jonnie Petree",94,"2016-2019"
"67",50221,67,"Justyce Mcclain",93,"2016-2019"
"68",77481,67,"Hannah Thomason",93,"2016-2021"
"69",6250,69,"Precious Birdsong",92,"2016-2018"
"70",22683,69,"Allie Englant",92,"2018-2022"
"71",25255,69,"Taty Forbes",92,"2016-2021"
"72",36651,69,"Samiyyah Huckabee",92,"2021-2024"
"73",38420,69,"Gabbi Jenkins",92,"2017-2021"
"74",48336,69,"Chelsea Manto",92,"2020-2024"
"75",83999,69,"Ariana Williams",92,"2016-2019"
"76",28405,76,"Bridgette Gilliano",91,"2021-2024"
"77",4692,77,"Kayla Bear",90,"2016-2020"
"78",32135,77,"Alicia Hansen",90,"2016-2019"
"79",36868,77,"Jess Hughes",90,"2016-2019"
"80",6418,80,"Olivia Black",89,"2016-2025"
"81",9166,80,"Kelsey Brown",89,"2019-2023"
"82",61933,80,"Jaden Pone",89,"2022-2025"
"83",34787,83,"Kloe Hilbrenner",88,"2019-2022"
"84",38402,83,"Aaliyah Jenkins",88,"2022-2025"
"85",56530,83,"Gianna Nicoletti",88,"2019-2022"
"86",65634,83,"Lindsey Rizzo",88,"2019-2022"
"87",67382,83,"Meghan Rud",88,"2016-2018"
"88",8305,88,"Mackenzie Brasher",87,"2020-2024"
"89",56456,88,"Kinsey Nichols",87,"2016-2018"
"90",8561,90,"Brooklynn Brewington",86,"2019-2023"
"91",24671,90,"Mackenzie Fitzgerald",86,"2021-2025"
"92",26588,90,"Marissa Gagliano",86,"2016-2019"
"93",60515,90,"Toni Perrin",86,"2018-2022"
"94",9473,94,"Ciara Bryan",85,"2017-2021"
"95",43372,94,"Jenna Laird",85,"2021-2024"
"96",82836,94,"India Wells",85,"2020-2023"
"97",14044,97,"Jazmin Clarke",84,"2016-2018"
"98",42448,97,"Alaina Koutsogiani",84,"2022-2025"
"99",44830,97,"Cate Lehner",84,"2023-2025"
"100",56785,97,"Neleh Nogay",84,"2023-2025"
