"","player_id","rank","player","xbh","seasons"
"41",41386,38,"Julia Kinnally",83,"2021-2025"
"42",53998,38,"Emily Moore",83,"2017-2023"
"43",13488,43,"Mackenzie Chitwood",82,"2016-2019"
"44",33021,43,"Kaitlyn Hasty",82,"2019-2022"
"45",38932,43,"Kaylynn Johnson",82,"2022-2025"
"46",49681,43,"Brooke Matyasovsky",82,"2019-2022"
"47",54417,43,"Kaija Mork",82,"2022-2025"
"48",68468,43,"Rylea Sandel",82,"2022-2025"
"49",12059,49,"Kennedy Carruth",81,"2021-2024"
"50",15223,49,"Olivia Conti",81,"2021-2024"
"51",17016,49,"Tauryn Cummings",81,"2021-2025"
"52",32353,49,"Alyssa Harhigh",81,"2019-2023"
"53",1115,53,"Emily Allen",80,"2016-2020"
"54",30037,53,"Brooke Greaver",80,"2022-2025"
"55",39939,53,"Darian Kanno",80,"2022-2025"
"56",82994,53,"Sophie Wery",80,"2022-2025"
"57",11913,57,"Emily Carr",79,"2016-2019"
"58",30647,57,"Kaili Gross",79,"2021-2024"
"59",32764,57,"Julia Hart",79,"2022-2025"
"60",68631,57,"Julia Sangiovanni",79,"2019-2024"
"61",72368,57,"Taylor Skraba",79,"2019-2023"
"62",21315,62,"Susan Duncan",78,"2020-2023"
"63",1651,63,"Carly Anderson",77,"2016-2019"
"64",16493,63,"Erin Cressman",77,"2016-2019"
"65",17187,63,"Lexi Curt",77,"2016-2018"
"66",19387,63,"Sydney Despres",77,"2016-2018"
"67",50716,63,"Bailey Mcelwain",77,"2016-2023"
"68",57749,63,"Patty maye Ohanian",77,"2018-2021"
"69",67742,63,"Isabella Russo",77,"2016-2025"
"70",72973,63,"Olivia Smith",77,"2016-2022"
"71",74213,63,"Gabbie Stallbaum",77,"2022-2025"
"72",79600,63,"Claudia Utz",77,"2020-2024"
"73",4502,73,"Rilee Baughan",76,"2020-2024"
"74",36525,73,"Cassetty Howerin",76,"2016-2018"
"75",39294,73,"Haley Jones",76,"2016-2019"
"76",50378,73,"Jordyn Mccormack",76,"2021-2024"
"77",73189,73,"Emily Snow",76,"2016-2019"
"78",332,78,"Daphney Adams",75,"2020-2024"
"79",14156,78,"Phoebe Clemens",75,"2021-2025"
"80",38400,78,"Megan Jenkerson",75,"2016-2019"
"81",40988,78,"Ava Khoury",75,"2022-2025"
"82",56433,78,"Bailey Nicholoff",75,"2022-2025"
"83",56773,78,"Shelby Noel",75,"2016-2018"
"84",77726,78,"Kelly Thornton",75,"2016-2023"
"85",82603,78,"Brooke Wehr",75,"2018-2022"
"86",82856,78,"Mya Wells",75,"2021-2024"
"87",9589,87,"Desiree Buboi",74,"2016-2019"
"88",12237,87,"Makayla Carver",74,"2016-2019"
"89",16819,87,"Haley Crumpton",74,"2016-2019"
"90",22424,87,"Nicole Elliott",74,"2021-2024"
"91",36622,87,"Kalin Hubble",74,"2019-2022"
"92",44815,87,"Madelyn Lehigh",74,"2022-2025"
"93",45983,87,"Shannon Lloyd",74,"2017-2021"
"94",53265,87,"Alexis Miranda",74,"2021-2024"
"95",55553,87,"Mackenzie Myers",74,"2017-2025"
"96",77421,87,"Maddy Thomas",74,"2019-2022"
"97",20835,97,"Nicole Doyle",73,"2016-2019"
"98",24864,97,"Cheyenne Fletcher",73,"2016-2018"
"99",25597,97,"Kaylee Fox",73,"2016-2018"
"100",72965,97,"Morgan Smith",73,"2016-2025"
