"","player_id","rank","player","so","seasons"
"64",980,64,"Odicci Alexander",688,"2017-2021"
"65",83314,64,"Alea White",688,"2017-2021"
"66",21042,66,"Ali Dubois",685,"2018-2023"
"67",72785,66,"Isabella Smith",685,"2022-2025"
"68",35922,68,"Melissa Holzopfel",682,"2022-2025"
"69",8515,69,"Jenny Bressler",679,"2019-2023"
"70",51535,70,"Taylor Mcquillin",677,"2017-2019"
"71",2404,71,"Caylan Arnold",673,"2017-2021"
"72",34603,71,"Samantha Heyer",673,"2020-2024"
"73",63848,71,"Paige Rauch",673,"2018-2022"
"74",85612,74,"Courtney Wyche",664,"2020-2024"
"75",28202,75,"Megan Giese",659,"2021-2024"
"76",66196,76,"Gia Rodoni",658,"2017-2021"
"77",82235,77,"Emily Watson",654,"2017-2018"
"78",22053,78,"Erin Edmoundson",650,"2018-2022"
"79",59732,78,"Mollie Paulick",650,"2017-2021"
"80",70617,80,"Jacquelyn Sertic",647,"2017-2018"
"81",4733,81,"Kaitlin Beasley-polko",645,"2018-2022"
"82",18824,82,"Chenise Delce",644,"2019-2023"
"83",19287,83,"Lauren Derkowski",643,"2022-2025"
"84",67586,84,"Randi Rupp",642,"2017-2018"
"85",86628,85,"Missy Zoch",640,"2017-2021"
"86",62369,86,"Brianna Pratt",638,"2019-2023"
"87",52801,87,"Ashley Miller",637,"2021-2024"
"88",3158,88,"Jordyn Bahl",630,"2022-2025"
"89",6171,89,"Alyssa Bilodeau",629,"2017-2021"
"90",60352,90,"Jenna Perez",628,"2021-2024"
"91",80292,91,"Alana Vawter",627,"2020-2024"
"92",16034,92,"Autumn Courtney",626,"2023-2025"
"93",43661,93,"Sam Landry",624,"2022-2025"
"94",74097,94,"Peyton St george",623,"2018-2022"
"95",55994,95,"Blake Neleman",622,"2020-2024"
"96",37082,96,"Erin Hunt",621,"2019-2023"
"97",29903,97,"Alyssa Graves",620,"2018-2022"
"98",5429,98,"Laura Bennett",618,"2021-2024"
"99",66812,99,"Rachel Rook",617,"2018-2022"
"100",49603,100,"Kya Matter",616,"2022-2025"
