"","player_id","rank","player","h","seasons"
"64",15528,63,"Danielle Parlich",267,"2015-2018"
"65",1006,65,"Carley Barjaktarovich",265,"2019-2023"
"66",17309,65,"Rachel Rodriguez",265,"2015-2019"
"67",2400,67,"Taylor Brown",264,"2015-2023"
"68",16596,67,"Paige Rauch",264,"2018-2022"
"69",13148,69,"Rachel Mccollum",262,"2016-2021"
"70",20302,69,"Morgan Tolle",262,"2015-2018"
"71",5177,71,"Kristi Dimeo",261,"2018-2022"
"72",13255,71,"Hannah Mcewen",261,"2018-2022"
"73",19772,71,"Mackenzie Swinehart",261,"2017-2021"
"74",22109,71,"Sadie Wise",261,"2018-2022"
"75",95,75,"Hannah Adams",260,"2018-2022"
"76",10666,76,"Katie Keller",259,"2019-2023"
"77",7660,77,"Kate Gordon",258,"2017-2021"
"78",10451,77,"Aaliyah Jordan",258,"2018-2023"
"79",18130,77,"Jackie Schoff",258,"2016-2019"
"80",18975,77,"Shea Smith",258,"2016-2019"
"81",21457,77,"Katie Webb",258,"2017-2021"
"82",17556,82,"Meghan Rud",257,"2015-2018"
"83",20787,82,"Bailey Vannoy",257,"2019-2023"
"84",3305,84,"Rebekah Cervantes",256,"2016-2019"
"85",6210,84,"Alysen Febrey",256,"2017-2021"
"86",17412,84,"Lindsay Rood",256,"2016-2019"
"87",4983,87,"Natalie Denhartog",255,"2019-2023"
"88",15418,88,"Alyssa Palomino",254,"2017-2021"
"89",4199,89,"Teaghan Cowles",253,"2017-2021"
"90",10275,89,"Macy Johnson",253,"2018-2022"
"91",15954,89,"Erika Piancastelli",253,"2015-2018"
"92",18593,89,"Kara Shutt",253,"2015-2018"
"93",19747,89,"Abby Sweet",253,"2018-2022"
"94",22033,89,"Madison Wilson",253,"2017-2023"
"95",249,95,"Kaitlyn Alderink",252,"2016-2021"
"96",1698,95,"Lexie Blair",252,"2019-2023"
"97",11825,95,"Erika Leonard",252,"2015-2018"
"98",16675,95,"Katie Reed",252,"2016-2019"
"99",2552,99,"Sammey Bunch",251,"2017-2021"
"100",9334,99,"Julia Hollingsworth",251,"2016-2019"
