"","player_id","rank","player","ip","seasons"
"38",83580,38,"Candace Whittemore",498.6,"2017-2019"
"39",12059,39,"Kennedy Carruth",498.4,"2021-2024"
"40",55182,40,"Jennelle Munoz",492.7,"2021-2025"
"41",8327,41,"Samantha Bratland",492.4,"2017-2019"
"42",5929,42,"Lily Beurman",486.7,"2018-2022"
"43",1761,43,"Sam Anderson",485.8,"2017-2019"
"44",40024,44,"Jada Karnes",484.6,"2020-2023"
"45",52480,45,"Christina Mezey",482.6,"2017-2019"
"46",71314,46,"Riley Shields",480.9,"2017-2021"
"47",31019,47,"Kelsi Gunarathne",480.6,"2017-2019"
"48",81971,48,"Elise Warneke",470.7,"2020-2025"
"49",55778,49,"Ravenne Nasser",461.4,"2017-2019"
"50",75057,50,"Brooke Stock",456.1,"2017-2021"
"51",46309,51,"Kayla Loomis",455.5,"2020-2023"
"52",31948,52,"Alyssa Hampton",453.4,"2018-2022"
"53",25371,53,"Paige Forry",453.3,"2022-2025"
"54",45329,54,"Ginger Lewis",450.3,"2017-2020"
"55",543,55,"Kelly Agostini",445.5,"2018-2022"
"56",20679,56,"Becca Dougherty",443.3,"2017-2019"
"57",66134,57,"Liz Rodarte",438.4,"2017-2019"
"58",70887,58,"Amaria Sharon",438.3,"2017-2019"
"59",70218,59,"Emily Seale",437.3,"2021-2023"
"60",19864,60,"Taryn Digiacomo",436.5,"2017-2021"
"61",24449,61,"Madelyn Fink",436.4,"2020-2023"
"62",10679,62,"Sarah Byrnes",435.5,"2018-2021"
"63",81425,63,"Brea Walker",435.4,"2017-2020"
"64",39232,64,"Brittany Jones",435.3,"2018-2022"
"65",84539,65,"Sydney Wilson",434.6,"2022-2025"
"66",53321,66,"Lexi Miskey",434.4,"2022-2025"
"67",19772,67,"Taylor Dicranian",433.5,"2019-2023"
"68",18260,68,"Jordan Day",432.4,"2018-2022"
"69",54210,69,"Ally Moran",431.3,"2021-2024"
"70",7806,70,"Kameron Bowling",431.1,"2018-2021"
"71",23882,71,"Alycia Feeney",430.6,"2017-2019"
"72",37852,72,"Emilia Jackson",428.7,"2017-2021"
"73",47179,73,"Rylee Lutz",428.5,"2022-2025"
"74",72773,74,"Haley Smith",428.4,"2020-2024"
"75",47868,75,"Abby Mahsem",428.3,"2017-2019"
"76",61931,76,"Lorrin Pondo",426.8,"2018-2021"
"77",77208,77,"Lindsey Thayer",425.3,"2017-2018"
"78",62453,78,"Juliana Presto",422.7,"2021-2025"
"79",21964,79,"Melissa Eckman",421.6,"2017-2019"
"80",33602,80,"Paige Heffke",421.5,"2022-2025"
"81",15561,81,"Gianna Corban",420.6,"2019-2022"
"82",75956,82,"Kaitlin Surdej",419.5,"2017-2019"
"83",42030,83,"Julianna Kocenski",418.6,"2019-2022"
"84",11082,84,"Nikki Camarati",416.7,"2019-2022"
"85",61434,85,"Ashley Pion",416.4,"2020-2023"
"86",81728,86,"Madison Walter",415.8,"2019-2022"
"87",31232,87,"Danielle Guzzardi",415.4,"2022-2025"
"88",52621,88,"Sophie Migacz",414.4,"2017-2019"
"89",32392,89,"Haley Harmon",414.2,"2017-2019"
"90",79391,90,"Paige Uliase",413.4,"2017-2021"
"91",40478,91,"Jessica Kelley",413.3,"2017-2019"
"92",29595,92,"Rebecca Gottleib",413.2,"2022-2025"
"93",52693,93,"Madison Milaszewski",412.2,"2017-2019"
"94",72761,94,"Erin Smith",411.5,"2017-2021"
"95",53004,95,"Sarah Miller",411.3,"2018-2021"
"96",30821,96,"Stefanie Guercio",410.5,"2018-2021"
"97",35410,97,"Ciara Hoffman",409.7,"2019-2023"
"98",38861,98,"Gabby Johnson",408.2,"2017-2019"
"99",74529,99,"Jamie Stefani",407.6,"2017-2019"
"100",48948,100,"Katie Martin",404.3,"2018-2022"
