"","player_id","rank","player","ops","seasons"
"69",15750,69,"Jenavee Peres","1.20","2015-2021"
"70",6355,70,"Andrea Filler","1.20","2015-2016"
"71",2088,71,"Maya Brady","1.20","2020-2023"
"72",19891,72,"Missy Taukeiaho","1.20","2015-2016"
"73",4126,73,"Koral Costa","1.20","2015-2016"
"74",11471,74,"Shellie Landry","1.20","2015-2016"
"75",491,75,"Rachel Anderson","1.20","2017-2021"
"76",2552,76,"Sammey Bunch","1.20","2017-2021"
"77",6369,77,"Lacey Fincher","1.20","2019-2022"
"78",11718,78,"Haley Lee","1.19","2019-2023"
"79",19511,79,"Kiki Stokes","1.19","2015-2016"
"80",6581,80,"Jailyn Ford","1.19","2015-2016"
"81",20097,81,"Lindsay Thomas","1.19","2015-2016"
"82",13873,82,"Kiki Milloy","1.18","2020-2023"
"83",10999,83,"Baylee Klingler","1.18","2019-2023"
"84",12078,84,"Emily Lochten","1.18","2015-2018"
"85",4238,85,"Aleah Craighton","1.18","2015-2018"
"86",18526,86,"Hannah Shifflett","1.18","2019-2023"
"87",22403,87,"Sarah Yoos","1.18","2015-2016"
"88",16457,88,"Melissa Rahrich","1.18","2017-2021"
"89",3200,89,"Miranda Castiglione","1.18","2015-2016"
"90",768,90,"Patricia Awald","1.18","2018-2022"
"91",19752,91,"Megan Sweet","1.18","2015-2016"
"92",6361,92,"Fiana Finau","1.18","2015-2016"
"93",9872,93,"Tina Iosefa","1.18","2015-2016"
"94",20943,94,"Tori Vidales","1.18","2015-2018"
"95",971,95,"Mac Barbara","1.18","2020-2023"
"96",14381,96,"Dejah Mulipola","1.17","2017-2021"
"97",15418,97,"Alyssa Palomino","1.17","2017-2021"
"98",18758,98,"Allie Skaggs","1.17","2021-2023"
"99",16383,99,"Saige Pye","1.17","2018-2022"
"100",21934,100,"Sami Williams","1.17","2017-2021"
