"","player_id","rank","player","hr","seasons"
"51",28131,47,"Danielle Gibson",60,"2018-2022"
"52",8750,52,"Alyssa Brito",59,"2021-2024"
"53",13287,52,"Abbey Cheek",59,"2016-2019"
"54",30966,52,"Marissa Guimbarda",59,"2018-2022"
"55",31746,52,"Cylie Halvorson",59,"2020-2024"
"56",50312,52,"Rachel Mccollum",59,"2016-2021"
"57",3726,57,"Mac Barbara",58,"2020-2025"
"58",40236,57,"Jayda Kearney",58,"2021-2024"
"59",47310,57,"Grace Lyons",58,"2019-2023"
"60",60508,57,"Madison Perrigan",58,"2017-2021"
"61",9888,61,"Sammey Bunch",57,"2017-2021"
"62",29645,61,"Shaylon Govan",57,"2020-2025"
"63",32156,61,"Kinzie Hansen",57,"2020-2024"
"64",56992,61,"Hayley Norton",57,"2016-2019"
"65",61106,61,"Erika Piancastelli",57,"2016-2018"
"66",84804,61,"Delanie Wisz",57,"2018-2022"
"67",58591,67,"Autumn Owen",56,"2019-2024"
"68",31317,68,"Maddi Hackbarth",55,"2017-2021"
"69",68490,68,"Cydney Sanders",55,"2022-2025"
"70",72285,68,"Allie Skaggs",55,"2021-2024"
"71",2692,71,"Reese Atwood",54,"2023-2025"
"72",21996,71,"Michaela Edenfield",54,"2022-2025"
"73",28879,71,"Ana Gold",54,"2022-2025"
"74",38402,71,"Aaliyah Jenkins",54,"2022-2025"
"75",59955,71,"Bre Peck",54,"2022-2025"
"76",75131,71,"Harley Stokes",54,"2018-2022"
"77",19974,77,"Kristi Dimeo",53,"2018-2022"
"78",29048,77,"Jordan Gontram",53,"2017-2022"
"79",58225,77,"Lexi Orozco",53,"2019-2023"
"80",66753,77,"Sydney Romero",53,"2016-2019"
"81",86364,77,"Violet Zavodnik",53,"2021-2024"
"82",22439,82,"Ashley Ellis",52,"2017-2021"
"83",31934,82,"Frankie Hammoude",52,"2019-2023"
"84",32086,82,"Mykenzie Hanna",52,"2022-2025"
"85",32481,82,"Aly Harrell",52,"2018-2022"
"86",62393,82,"Katie Prebble",52,"2018-2022"
"87",37853,87,"Emma Jackson",51,"2023-2025"
"88",61048,87,"Kaili Phillips",51,"2019-2024"
"89",66638,87,"Jazmyn Rollin",51,"2019-2024"
"90",70197,87,"Carlie Scupin",51,"2021-2024"
"91",6671,91,"Holly Blaska",50,"2020-2024"
"92",7383,91,"Hannah Borden",50,"2020-2024"
"93",17232,91,"Lexi Cushing",50,"2017-2021"
"94",23849,91,"Alysen Febrey",50,"2017-2021"
"95",33569,91,"Tori Hedgecock",50,"2022-2025"
"96",37444,91,"Mary Iakopo",50,"2018-2022"
"97",38544,91,"Rylee Jensen",50,"2017-2021"
"98",38734,91,"Jana Johns",50,"2018-2022"
"99",48055,91,"Linnie Malkin",50,"2018-2022"
"100",13202,100,"Denae Chatman",49,"2018-2022"
