"","team","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"4218","Total",21881,"","Morgan Eckes",2,4,4,0,1,0,7,0.444,4,7.4
"4219","Total",21883,"","Nicole Eckhardt",249.2,349,132,45,162,36,5.691,0.298,2.107,5.104
"4220","Total",21886,"","Hope Eckhart",2.1,3,3,0,1,0,3.182,0.25,2.571,5.582
"4221","Total",21887,"","Kristyn Eckl",9.1,12,33,3,3,1,20.769,0.234,5.143,15.037
"4222","Total",21889,"","Taylor Eckles",3.1,6,3,3,2,1,8.75,0.375,3.6,10.838
"4223","Total",21892,"","Melissa Eckman",423,411,90,22,268,19,2.119,0.236,1.236,2.511
"4224","Total",21893,"","Mikayla Eckman",0.1,1,0,0,1,0,0,0.333,3,-7.6
"4225","Total",21894,"","Elly Eckrich",11.1,8,3,2,8,1,2.456,0.174,1.147,3.453
"4226","Total",21895,"","Mallory Eckroth",49,80,29,11,14,4,6.054,0.308,2.449,5.36
"4227","Total",21901,"","Shianne Eddings",27,33,25,21,19,3,7.235,0.278,2.926,7.53
"4228","Total",21904,"","Becca Eddins",36,40,8,0,14,1,3.111,0.26,1.333,2.65
"4229","Total",21908,"","Neely Eddleston",264,348,74,12,134,13,4.137,0.289,1.644,3.002
"4230","Total",21914,"","Elle Edeker",4.1,11,3,1,2,1,11.448,0.419,3.462,7.306
"4231","Total",21919,"","Ally Eden",97.2,106,26,2,59,4,2.794,0.25,1.372,2.585
"4232","Total",21923,"","Ariel Edenfield",43,48,22,3,20,2,2.122,0.258,1.698,3.822
"4233","Total",21927,"","Megan Eder",3,1,0,0,1,0,0,0.083,0.333,1.733
"4234","Total",21933,"","Lauren Edgar",61,96,12,3,36,4,5.393,0.333,1.82,2.81
"4235","Total",21940,"","Trinity Edge",4,0,2,0,3,0,0,0,0.5,2.4
"4236","Total",21948,"","Lane Edgington",174,192,84,20,64,5,3.667,0.263,1.701,3.834
"4237","Total",21967,"","Andrea Edmonds",289.1,350,64,20,202,36,4.499,0.278,1.5,3.492
"4238","Total",21975,"","Sammy Edmonds",45.1,77,42,3,24,3,8.63,0.338,2.691,5.17
"4239","Total",21981,"","Erin Edmoundson",703.2,603,236,98,650,98,3.007,0.217,1.332,3.788
"4240","Total",21989,"","Abby Edwards",329,441,174,39,202,55,5.241,0.294,1.988,5.291
"4241","Total",21990,"","Adrienne Edwards",58.1,67,43,8,25,5,4.912,0.264,2.023,5.275
"4242","Total",21993,"","Alyson Edwards",22.2,20,12,0,14,1,3.422,0.227,1.412,3.333
"4243","Total",21996,"","Anna Edwards",126,157,77,12,99,5,3.679,0.277,1.952,3.467
"4244","Total",22000,"","Ava Edwards",20.2,47,12,5,13,4,9.804,0.384,3.097,6.105
"4245","Total",22009,"","Casey Edwards",123,126,30,9,46,2,2.673,0.251,1.341,2.814
"4246","Total",22011,"","Clara Edwards",631.1,652,182,12,402,30,2.695,0.253,1.34,2.666
"4247","Total",22022,"","Grace Edwards",22.2,33,12,2,9,0,5.551,0.295,2.074,3.457
"4248","Total",22023,"","Hannah Edwards",434.2,501,114,36,203,31,3.098,0.266,1.498,3.43
"4249","Total",22029,"","Jenna Edwards",278.2,299,142,15,220,32,3.748,0.256,1.636,4.006
"4250","Total",22030,"","Josie Edwards",161,237,66,21,49,18,5.564,0.322,2.012,4.866
"4251","Total",22043,"","Maddie Edwards",290,229,82,31,275,38,2.683,0.206,1.179,3.377
"4252","Total",22044,"","Madelyn Edwards",21.1,34,5,0,3,1,4.623,0.34,1.828,3.438
"4253","Total",22045,"","Madison Edwards",38,64,14,3,12,3,6.263,0.337,2.132,4.137
"4254","Total",22047,"","Makenzie Edwards",230,214,72,30,193,30,2.984,0.225,1.374,3.748
"4255","Total",22050,"","Mia Edwards",106,156,81,6,81,22,6.787,0.29,2.292,6.062
"4256","Total",22054,"","Paige Edwards",1.2,8,0,0,0,0,8.615,0.457,4.8,2.4
"4257","Total",22065,"","Skylar Edwards",34.1,47,20,3,24,3,3.878,0.272,2.039,4.149
"4258","Total",22069,"","Taylor Edwards",415,508,224,55,171,53,4.366,0.28,1.896,5.251
"4259","Total",22076,"","Victoria Edwards",228.2,267,87,10,145,16,3.37,0.271,1.592,3.314
"4260","Total",22079,"","Sabrina Edwards-Smith",7.2,17,1,4,0,2,9.211,0.395,2.87,7.795
"4261","Total",22080,"","Amanda Efaw",29.1,41,18,4,17,2,3.095,0.295,2.148,4.373
"4262","Total",22082,"","Jayln Effertz",122.2,148,49,8,86,11,4.23,0.272,1.671,3.559
"4263","Total",22084,"","Lindsay Efflandt",77,97,30,4,42,7,5.091,0.278,1.701,3.816
"4264","Total",22088,"","Alexis Egan",1,3,0,0,0,2,21,0.5,3,28.4
"4265","Total",22093,"","Marina Egbert",236.2,269,57,36,147,10,3.016,0.264,1.53,2.886
"4266","Total",22099,"","Genesis Eggart",244,167,107,51,235,15,2.613,0.183,1.332,3.216
"4267","Total",22100,"","Cheyenne Eggens",223,243,42,22,141,15,2.23,0.251,1.377,2.871
"4268","Total",22101,"","Savanah Egger",401.2,377,97,20,383,35,2.614,0.232,1.23,2.499
"4269","Total",22116,"","Brionna Egold",40,58,28,3,14,3,5.156,0.31,2.225,5.051
"4270","Total",22117,"","Ellie Egyed",5.1,13,3,0,2,0,2.692,0.406,3,3.362
"4271","Total",22122,"","Aubrey Ehlers",217,248,40,10,108,5,2.197,0.269,1.373,2.395
"4272","Total",22130,"","Cadyn Ehrenberg",53.2,86,39,7,18,10,6.816,0.315,2.46,6.742
"4273","Total",22146,"","Trina Eichel",12.1,30,10,7,1,3,15.942,0.412,3.811,9.557
"4274","Total",22156,"","Katie Eicher",17.1,20,9,1,11,2,2.06,0.257,1.731,4.403
"4275","Total",22158,"","Kayla Eichler",19.2,21,9,3,10,1,3.949,0.256,1.678,3.887
"4276","Total",22163,"","Emma Eickhoff",232.2,258,55,13,196,17,3.015,0.264,1.401,2.542
"4277","Total",22170,"","Nettie Eigel",7.2,22,19,2,0,0,20,0.449,5.609,10.582
"4278","Total",22183,"","Alissa Eimont",379.1,359,163,54,242,22,2.752,0.237,1.518,3.596
"4279","Total",22194,"","Alexis Eisenberg",18.2,21,5,0,7,1,3.763,0.25,1.393,3.153
"4280","Total",22204,"","Ashley Eisnor",202,283,114,24,137,22,5.235,0.302,2.084,4.511
"4281","Total",22206,"","Avery Eiswerth",180.1,235,51,3,160,9,3.384,0.29,1.603,2.173
"4282","Total",22211,"","Megan Ekart",27,45,14,4,19,0,6.817,0.332,2.333,3
"4283","Total",22229,"","Jensyn Elder",1,1,1,0,0,0,0,0.333,2,5.4
"4284","Total",22230,"","Jessica Elder",108.2,139,38,8,47,15,4.057,0.289,1.702,4.599
"4285","Total",22234,"","Rebecca Elder",41,67,27,6,22,5,9.027,0.321,2.439,5.32
"4286","Total",22235,"","Victoria Elder",81.1,98,30,8,44,5,3.802,0.275,1.672,3.528
"4287","Total",22242,"","Ava Eldridge",31.2,34,32,3,24,4,5.759,0.25,2.179,5.849
"4288","Total",22245,"","Lindsey Eldridge",34,64,26,1,18,8,9.112,0.383,2.676,6.808
"4289","Total",22255,"","Erin Elgas",111,135,63,14,53,4,3.412,0.283,1.91,3.999
"4290","Total",22266,"","Madi Elish",309,370,82,6,146,45,3.512,0.271,1.482,4.202
"4291","Total",22267,"","Miranda Elish",618.1,412,150,31,771,31,1.575,0.179,0.959,1.436
"4292","Total",22269,"","Hailey Elizarraras",164.1,246,58,6,96,14,4.778,0.315,1.886,3.507
"4293","Total",22276,"","Sydney Elkin",106,140,26,12,42,9,4.222,0.294,1.679,3.785
"4294","Total",22277,"","Adele Elkind",9,22,8,1,2,4,16.154,0.423,3.444,10.642
"4295","Total",22280,"","Dana Elkins",7.2,14,3,1,3,0,6.364,0.333,2.348,3.179
"4296","Total",22282,"","Hayley Elkins",83.1,80,35,6,104,3,3.022,0.233,1.452,1.848
"4297","Total",22283,"","Lena Elkins",114.1,119,55,9,83,13,3.629,0.244,1.601,4.116
"4298","Total",22285,"","Missy Elkins",152.1,204,39,9,84,7,4.32,0.303,1.654,2.84
"4299","Total",22290,"","Katelyn Ellard",428.2,442,120,48,375,37,3.039,0.248,1.423,2.948
"4300","Total",22293,"","Haley Ellefson",65.1,116,24,9,40,14,6.543,0.349,2.281,5.477
"4301","Total",22295,"","Preston Ellenberg",182,174,68,7,152,18,3.08,0.234,1.368,3.253
"4302","Total",22298,"","Elizabeth Eller",2,2,3,0,0,0,10.5,0.25,2.5,6.9
"4303","Total",22304,"","Lexi Ellermeier",28.1,35,14,3,9,2,4.452,0.267,1.835,4.484
"4304","Total",22305,"","Jayme Ellers",312.2,282,111,28,315,57,3.025,0.23,1.346,4.09
"4305","Total",22311,"","Chyanne Ellett",122.1,92,122,14,166,10,4.643,0.188,1.864,4.088
"4306","Total",22315,"","Mady Ellinger",4.2,15,4,0,2,0,18.667,0.441,4.071,4.178
"4307","Total",22316,"","Paige Ellinger",61,64,28,8,40,4,3.437,0.25,1.639,3.708
"4308","Total",22322,"","Ashley Elliot",53.2,95,74,3,20,2,9.843,0.346,3.205,6.478
"4309","Total",22323,"","Caroline Elliot",12.1,22,10,0,3,2,7.451,0.333,2.595,6.451
"4310","Total",22329,"","Amber Elliott",441.2,324,181,30,481,34,1.997,0.194,1.211,2.655
"4311","Total",22334,"","Chloe Elliott",289,299,55,18,238,22,2.789,0.247,1.287,2.5
"4312","Total",22335,"","Dayton Elliott",36.2,54,23,2,14,9,5.942,0.314,2.155,6.893
"4313","Total",22340,"","Jessica Elliott",128,105,94,14,107,7,2.898,0.209,1.664,3.97
"4314","Total",22342,"","Kendyl Elliott",36.2,82,11,4,8,4,7.666,0.365,2.645,4.619
"4315","Total",22353,"","Olivia Elliott",8.1,5,2,1,6,1,1.687,0.143,0.96,3.605
"4316","Total",22357,"","Sofia Elliott",0.1,2,1,0,0,1,105,0.5,9,82.4
"4317","Total",22371,"","Chandler Ellis",96.2,166,56,6,27,11,7.907,0.354,2.359,5.249
"4318","Total",22376,"","Gabby Ellis",108.2,131,51,17,53,9,3.933,0.276,1.831,4.38
"4319","Total",22377,"","Gracie Ellis",468.2,282,49,10,602,26,1.15,0.163,0.728,0.93
"4320","Total",22385,"","Kenzie Ellis",90.1,93,54,14,73,6,3.255,0.244,1.782,3.906
"4321","Total",22395,"","Megan Ellis",71.2,99,31,4,23,8,4.412,0.298,1.87,4.683
"4322","Total",22404,"","Savannah Ellis",28.2,75,14,2,10,1,11.544,0.441,3.174,3.839
"4323","Total",22423,"","Devon Ellixson",47.2,77,35,3,23,5,6.944,0.345,2.413,5.203
"4324","Total",22436,"","Summer Ellyson",756.2,504,164,29,858,57,1.656,0.175,0.921,1.877
"4325","Total",22438,"","Kaitlin Ellzy",194.1,226,165,22,96,13,4.468,0.264,2.125,5.169
"4326","Total",22441,"","Andrea Elmor",100.1,139,65,9,56,13,5.51,0.311,2.123,5.178
"4327","Total",22443,"","Bailey Elmore",3.1,7,0,0,0,1,4.118,0.333,2.1,6.224
"4328","Total",22456,"","Reagan Elrod",70.1,114,47,5,35,11,8.006,0.345,2.36,5.67
"4329","Total",22459,"","Christina Elsbury",186,222,58,9,128,8,3.612,0.273,1.554,2.663
"4330","Total",22464,"","Chandler Elsner",64.2,80,40,7,24,9,5.953,0.273,1.964,5.646
"4331","Total",22471,"","Katera Eltsosie",152,129,48,29,121,12,2.074,0.218,1.355,3.355
"4332","Total",22486,"","Peyton Elzey",151.2,213,58,16,68,19,4.664,0.308,1.892,4.597
"4333","Total",22503,"","Hannah Embry",16.2,18,15,0,15,2,4.245,0.255,1.98,4.886
"4334","Total",22512,"","Madison Emerson",62.1,115,20,4,31,11,6.058,0.359,2.23,4.852
"4335","Total",22513,"","Molly Emerson",1,3,0,0,0,0,14,0.5,3,2.4
"4336","Total",22517,"","Samantha Emert",143.1,130,41,7,98,4,1.66,0.227,1.242,2.4
"4337","Total",22525,"","Macy Emgarten",1,1,1,0,0,0,0,0.25,2,5.4
"4338","Total",22545,"","Taylor Emrath",46.1,114,14,5,9,7,10.711,0.425,2.871,5.202
"4339","Total",22561,"","Emma Enderud",101.1,130,34,16,83,7,4.78,0.291,1.776,3.141
"4340","Total",22563,"","Gianna Endieveri",24.2,37,12,4,20,3,3.984,0.316,2.149,4.311
"4341","Total",22566,"","Kelsey Endress",10.2,14,5,4,10,0,1.327,0.292,2.156,3.056
"4342","Total",22573,"","Jenna Endsley",35,43,13,3,12,0,3.675,0.25,1.686,3.059
"4343","Total",22584,"","Lauren Engel",184.1,205,42,11,81,6,2.824,0.283,1.4,2.811
"4344","Total",22595,"","Jaylee Engelkes",5,11,3,0,5,1,9.139,0.35,2.8,5.039
"4345","Total",22600,"","Paityn Engemann",9,19,4,1,5,1,7.055,0.366,2.667,5.221
"4346","Total",22602,"","Abby England",177.2,215,62,24,160,31,5.325,0.276,1.694,4.321
"4347","Total",22616,"","Elizabeth Engler",153.2,149,68,15,109,7,2.963,0.236,1.51,3.193
"4348","Total",22617,"","Olivia Engler",139.1,148,51,5,119,5,2.415,0.254,1.464,2.363
"4349","Total",22622,"","Avery English",481.1,520,93,60,294,20,2.386,0.263,1.398,2.672
"4350","Total",22624,"","Caylee English",245,310,78,23,171,21,4.432,0.286,1.678,3.357
"4351","Total",22625,"","Connor English",213.1,193,68,6,178,13,2.562,0.224,1.252,2.564
"4352","Total",22641,"","Krystel Enko",64.1,95,48,8,45,7,6.858,0.317,2.347,5.028
"4353","Total",22644,"","Taylor Enlow",23,36,11,1,20,1,8.217,0.324,2.087,2.791
"4354","Total",22656,"","Bailey Enoch",211,261,115,20,150,22,4.591,0.274,1.877,4.257
"4355","Total",22668,"","Destiny Enriquez",300,405,104,23,125,29,4.6,0.292,1.773,4.095
"4356","Total",22682,"","Brittany Ensley",102,148,48,7,55,10,4.662,0.322,1.99,4.212
"4357","Total",22686,"","Elise Enslin",1,2,2,0,2,1,21,0.4,4,17.4
"4358","Total",22691,"","Brianna Enter",184,211,63,24,129,13,3.289,0.268,1.62,3.341
"4359","Total",22692,"","Avree Entler",41,71,6,0,13,1,4.098,0.348,1.878,2.522
"4360","Total",22693,"","Katlin Entrup",238.2,177,84,17,208,9,1.441,0.191,1.165,2.418
"4361","Total",22696,"","Katherine Enyeart",5,6,5,0,4,0,6.863,0.273,2.2,3.773
"4362","Total",22698,"","Claire Eosso",135,226,77,12,54,12,6.895,0.341,2.333,4.731
"4363","Total",22702,"","Tyler Epes",87,138,31,9,41,11,5,0.344,2.046,4.485
"4364","Total",22710,"","Jessica Eppenberger",118.1,127,50,3,52,7,2.665,0.267,1.521,3.635
"4365","Total",22712,"","Blair Epperson",6,9,9,1,3,0,7,0.346,3.167,6.4
"4366","Total",22726,"","Izzy Epstein",20.2,24,5,1,14,0,2.049,0.258,1.452,1.912
"4367","Total",22745,"","Jenna Ergle",4,8,8,0,2,0,14,0.4,4,7.4
"4368","Total",22747,"","Madison Erhardt",120.1,185,52,8,79,3,5.76,0.32,2.036,2.908
"4369","Total",22761,"","Danielle Erickson",84,124,41,4,18,7,4.177,0.319,2.012,4.669
"4370","Total",22764,"","Emilee Erickson",37.2,50,22,6,20,6,5.805,0.287,2.071,5.655
"4371","Total",22779,"","Morgan Erickson",28.1,28,8,0,37,0,1.232,0.233,1.271,0.639
"4372","Total",22783,"","Taylor Erickson",111,133,32,4,66,4,3.713,0.29,1.523,2.652
"4373","Total",22791,"","Gabrielle Ermish",319.2,372,90,17,177,33,3.702,0.273,1.498,3.639
"4374","Total",22793,"","Alexa Erney",1.1,1,0,0,0,0,0,0.143,0.75,2.4
"4375","Total",22796,"","Carley Ernst",55,71,24,6,33,4,5.62,0.282,1.836,3.787
"4376","Total",22806,"","Lucia Eroshevich",168.1,227,58,12,66,16,4.132,0.294,1.764,4.105
"4377","Total",22809,"","Hailey Errichiello",58.2,77,16,7,41,12,4.293,0.297,1.705,4.836
"4378","Total",22816,"","Isabella Erti",214.1,288,97,2,112,9,4.346,0.293,1.806,3.287
"4379","Total",22824,"","Josi Ervin",65,88,26,5,35,2,3.989,0.299,1.831,3.156
"4380","Total",22826,"","Lauren Ervin",5.1,3,7,0,12,0,1.296,0.158,1.875,1.844
"4381","Total",22830,"","Jada Erwin",1.2,1,2,1,1,0,4.666,0.134,2.4,7.4
"4382","Total",22831,"","Kallie Erwin",18.2,36,23,8,11,2,12.727,0.375,3.589,7.587
"4383","Total",22834,"","Tyler Erwin",89.2,107,25,4,50,12,3.824,0.274,1.517,3.994
"4384","Total",22837,"","Audrey Esakoff",1.1,1,2,0,1,1,11.667,0.143,2.25,16.567
"4385","Total",22844,"","Hannah Escalante",21,24,4,1,9,0,4.375,0.27,1.381,2.256
"4386","Total",22859,"","Analise Escarraman",19.2,34,6,1,7,0,6.429,0.354,2.085,2.757
"4387","Total",22860,"","Hailie Eschbach",11.1,23,19,5,3,2,19.823,0.383,4.147,10.542
"4388","Total",22864,"","Sarah Eschleman",100.2,183,40,9,39,15,6.779,0.361,2.305,5.048
"4389","Total",22868,"","Elena Escobar",412.1,363,136,24,352,38,2.566,0.222,1.268,3.055
"4390","Total",22872,"","Megan Escobar",27.1,45,26,6,16,11,9.544,0.315,2.817,9.85
"4391","Total",22879,"","Madeline Eshbach",84.2,122,34,8,18,8,4.971,0.301,1.937,4.696
"4392","Total",22887,"","Sofia Eskola",55,45,19,1,29,2,1.16,0.196,1.182,2.913
"4393","Total",22890,"","Jordan Eslinger",96,116,49,2,74,12,3.799,0.273,1.74,4.081
"4394","Total",22891,"","Lauren Esman",58.2,61,13,10,36,3,2.87,0.246,1.432,3.014
"4395","Total",22903,"","Marina Esparza",376.1,395,170,26,274,22,3.145,0.248,1.57,3.267
"4396","Total",22911,"","Jireh Espina",29.1,32,14,3,25,1,4.301,0.251,1.67,2.879
"4397","Total",22912,"","Jesyne Espinal",44.2,59,19,1,10,7,4.876,0.313,1.769,5.346
"4398","Total",22930,"","Hanna Espinoza",30.1,28,5,1,22,1,1.627,0.224,1.121,1.971
"4399","Total",22932,"","Jessica Espinoza",3,3,0,2,1,0,2.333,0.25,1.667,3.733
"4400","Total",22933,"","Jessina Espinoza",44,55,24,3,13,3,4.795,0.275,1.864,4.546
"4401","Total",22935,"","Karlie Espinoza",25,51,11,3,5,1,8.16,0.38,2.6,4.198
"4402","Total",22939,"","Racqual Espinoza",180.2,183,92,16,83,9,3.29,0.248,1.611,3.921
"4403","Total",22954,"","Sarah Esposito",132.2,151,45,3,43,7,2.695,0.265,1.5,3.525
"4404","Total",22973,"","Lindsey Essary",7.2,11,4,1,6,0,6.447,0.289,2.087,2.795
"4405","Total",22987,"","Marena Estell",263.1,325,127,44,133,38,5.101,0.273,1.884,5.213
"4406","Total",22999,"","Mary Esterak",2,3,1,0,1,0,0,0.3,2,2.9
"4407","Total",23000,"","Ella Esterby",106,104,52,10,108,6,2.898,0.224,1.566,2.85
"4408","Total",23005,"","Alexis Estes",197.2,213,106,14,127,28,4.326,0.254,1.685,4.782
"4409","Total",23007,"","Caridad Estes",12.2,19,10,2,5,3,6.72,0.322,2.447,7.6
"4410","Total",23010,"","Elliott Estes",166,188,59,10,44,7,3.376,0.252,1.548,3.667
"4411","Total",23014,"","Kailey Estes",26.2,27,6,2,18,2,2.113,0.231,1.312,2.928
"4412","Total",23019,"","Logyn Estes",166,208,74,17,98,27,5.104,0.284,1.801,4.979
"4413","Total",23020,"","Catarina Esteves",4.2,18,12,5,4,1,19.773,0.442,7.5,13.569
"4414","Total",23025,"","Zoe Estoppey",41.1,63,13,6,7,1,3.596,0.309,1.984,3.774
"4415","Total",23030,"","Alicia Estrada",5.1,17,3,1,2,6,14.808,0.515,3.938,18.938
"4416","Total",23038,"","Jahzell Estrada",23,34,17,0,12,2,3.681,0.318,2.217,4.721
"4417","Total",23045,"","Mariah Estrada",122.1,156,60,14,55,6,3.892,0.284,1.88,3.954
"4418","Total",23047,"","Nyomi Estrada",63.1,89,45,5,52,11,7.062,0.323,2.195,5.378
"4419","Total",23052,"","Sam Estrada",6,10,5,1,0,0,9.333,0.37,2.667,5.4
"4420","Total",23061,"","Emily Estroff",111.2,145,60,9,61,9,4.827,0.288,1.916,4.21
"4421","Total",23065,"","Keeley Etchison",40.2,64,23,2,10,2,5.491,0.313,2.189,4.396
"4422","Total",23070,"","Alyssa Etheridge",421.2,495,222,24,321,44,4.236,0.273,1.757,3.985
"4423","Total",23074,"","Molly Ethington",9.1,10,2,2,4,0,2.283,0.256,1.5,2.835
"4424","Total",23075,"","Breanna Ethridge",275,266,83,27,211,34,3.513,0.24,1.367,3.673
"4425","Total",23079,"","Lydia Ettema",12.2,17,18,3,7,1,9.921,0.283,3,7.282
"4426","Total",23084,"","Morgan Ettinger",178,211,53,29,109,15,3.189,0.279,1.646,3.654
"4427","Total",23088,"","Emma Eubank",108.2,152,69,9,60,16,5.592,0.302,2.117,5.356
"4428","Total",23091,"","Ashanti Eubanks",352,497,328,49,225,43,7.04,0.31,2.483,5.923
"4429","Total",23099,"","Sarah Eugenio",88.1,116,17,4,32,5,3.088,0.302,1.551,3.124
"4430","Total",23111,"","Ainsley Evanetski",251.2,239,52,23,213,34,2.896,0.24,1.248,3.359
"4431","Total",23115,"","Sofia Evangelista",136.2,185,51,3,54,22,4.608,0.298,1.749,4.887
"4432","Total",23118,"","Abby Evans",1,4,2,0,1,0,12.727,0.444,6,6.036
"4433","Total",23119,"","Alana Evans",261.2,208,199,8,300,18,2.898,0.203,1.586,3.377
"4434","Total",23122,"","Alicia Evans",12,23,4,0,11,2,5.833,0.383,2.25,3.733
"4435","Total",23124,"","Ashley Evans",8.1,17,7,3,6,2,9.277,0.37,3.24,7.701
"4436","Total",23129,"","Blaire Evans",70.2,125,41,23,15,5,6.653,0.352,2.675,5.623
"4437","Total",23134,"","Caroline Evans",245,278,84,32,194,9,3.346,0.267,1.608,2.715
"4438","Total",23137,"","Chelsea Evans",100.2,117,36,14,38,19,3.76,0.27,1.659,5.594
"4439","Total",23143,"","Emari Evans",148.1,262,84,24,50,23,8.162,0.359,2.494,5.924
"4440","Total",23146,"","Evey Evans",142.2,209,44,8,45,17,4.714,0.313,1.829,4.417
"4441","Total",23154,"","Jada Evans",230.2,314,91,8,117,7,3.74,0.3,1.79,3.068
"4442","Total",23155,"","Jenna Evans",219.1,266,87,11,171,18,4.246,0.279,1.66,3.248
"4443","Total",23156,"","Jess Evans",13.1,17,22,2,12,0,8.843,0.292,3.075,5.918
"4444","Total",23165,"","Keirra Evans",122.1,186,103,13,55,12,7.034,0.329,2.469,5.618
"4445","Total",23166,"","Kendra Evans",59.2,98,21,5,23,8,4.471,0.338,2.078,4.686
"4446","Total",23173,"","Kynleigh Evans",64.2,92,47,8,25,3,6.628,0.311,2.273,4.79
"4447","Total",23180,"","Madison Evans",7.1,11,9,0,6,1,6.806,0.333,2.727,6.289
"4448","Total",23182,"","Meagen Evans",19,19,4,1,10,3,1.856,0.226,1.263,4.229
"4449","Total",23186,"","Nicolette Evans",109.2,113,21,3,53,6,2.17,0.241,1.249,2.801
"4450","Total",23195,"","Savannah Evans",258.1,251,100,33,154,22,2.929,0.234,1.486,3.863
"4451","Total",23201,"","Summer Evans",272.2,374,115,72,61,34,5.185,0.304,2.057,5.631
"4452","Total",23206,"","Taylor Evans",6.1,9,4,1,6,0,4.623,0.273,2.211,2.885
"4453","Total",23207,"","Yamila Evans",24.1,43,25,4,8,2,9.924,0.346,2.959,6.435
"4454","Total",23212,"","Yesenia Evaristo",113,124,62,11,78,9,4.282,0.264,1.743,3.996
"4455","Total",23216,"","Lexi Evelyn",230.2,290,125,12,167,22,4.561,0.279,1.851,3.978
"4456","Total",23218,"","Lauren Evens",33,60,19,3,11,4,7.66,0.361,2.485,5.318
"4457","Total",23219,"","Annika Evensen",117.1,115,36,18,105,3,2.69,0.229,1.44,2.324
"4458","Total",23225,"","Delainey Everett",72.2,67,13,3,70,5,1.841,0.227,1.142,2.026
"4459","Total",23230,"","Mackenzie Everett",32.1,40,20,4,9,2,5.833,0.277,1.979,4.869
"4460","Total",23232,"","Raegan Everett",59.2,86,30,5,32,10,4.69,0.314,2.028,5.264
"4461","Total",23233,"","Yael Everett",14.1,21,8,1,9,0,4.406,0.339,2.093,3.029
"4462","Total",23234,"","Elizabeth Everette",127.1,204,24,9,41,5,4.737,0.332,1.861,3.045
"4463","Total",23242,"","Mackenzie Evers",15.1,27,5,3,11,2,6.818,0.36,2.283,4.218
"4464","Total",23255,"","Lindsey Ewer",15.2,20,12,4,10,1,7.628,0.274,2.298,5.028
"4465","Total",23256,"","Caitlin Ewers",9,10,6,1,4,1,6.222,0.27,1.889,5.289
"4466","Total",23257,"","Carrigan Ewers",90,119,34,7,61,8,3.985,0.298,1.778,3.572
"4467","Total",23264,"","Vanessa Ewing",156.1,211,62,8,100,17,4.93,0.303,1.797,3.879
"4468","Total",23268,"","Mariah Ewy",2,2,2,0,1,0,0,0.222,2,4.4
"4469","Total",23271,"","Arianna Exarchakis",103.2,157,89,34,66,8,7.981,0.33,2.701,5.695
"4470","Total",23283,"","Shaina Eyre",491.2,635,359,37,273,41,4.882,0.29,2.097,4.789
"4471","Total",23291,"","Kristyn Ezzo",49.2,56,15,4,46,10,3.944,0.26,1.51,4.311
"4472","Total",23292,"","Kaitlyn Ezzone",28,48,12,2,16,3,7.025,0.329,2.214,4.156
"4473","Total",23295,"","Matalasi Faapito",336,393,111,31,240,47,3.855,0.273,1.592,4.058
"4474","Total",23297,"","Karina Faasisila",38.1,60,17,6,33,10,5.297,0.319,2.165,5.874
"4475","Total",23305,"","Kate Faber",6.2,9,3,0,4,2,5.224,0.29,1.8,6.43
"4476","Total",23308,"","Kayla Faber-cournane",83,82,16,1,47,2,1.942,0.243,1.193,2.195
"4477","Total",23311,"","Haley Fabian",350.1,383,106,15,234,39,3.459,0.264,1.439,3.548
"4478","Total",23327,"","Ashley Faccilonga",53.1,104,40,6,27,6,8.285,0.376,2.812,5.448
"4479","Total",23338,"","Lindsey Fadnek",96,90,60,11,85,12,3.358,0.227,1.677,4.475
"4480","Total",23347,"","Grace Fagan",185.1,156,119,15,192,25,3.142,0.209,1.565,4.253
"4481","Total",23356,"","Alexis Fagnant",13.1,17,5,2,11,0,2.121,0.298,1.8,2.324
"4482","Total",23358,"","Nikki Fahey",10.1,18,6,1,4,1,10.769,0.333,2.419,4.9
"4483","Total",23360,"","Sheniqua Fahie",105.1,198,75,14,56,13,8.311,0.369,2.725,5.478
"4484","Total",23364,"","Eva Fahrnbruch",45.2,55,7,2,8,1,2.604,0.281,1.401,2.925
"4485","Total",23368,"","Mia Faieta",26,36,51,11,13,5,10.743,0.32,3.769,10.98
"4486","Total",23387,"","Ava Fairbanks",17.2,28,10,1,19,0,6.723,0.318,2.208,2.118
"4487","Total",23392,"","Edie Fairchild",96.1,136,57,1,16,13,4.523,0.311,2.014,5.639
"4488","Total",23396,"","Skylar Fairchild",0.1,4,0,1,0,0,70,0.667,15,17.4
"4489","Total",23399,"","Alyssa Faircloth",151.1,131,91,19,164,9,3.285,0.214,1.593,3.186
"4490","Total",23403,"","Dani Fairey",187.2,213,54,38,104,24,4.483,0.264,1.625,4.428
"4491","Total",23407,"","Aly Fairman",11,15,2,0,4,1,1.261,0.273,1.545,3.391
"4492","Total",23408,"","Alysa Fairman",17,29,1,0,9,0,4.529,0.382,1.765,1.518
"4493","Total",23415,"","Madalynn Fajardo",7,2,7,0,9,0,0,0.087,1.286,2.829
"4494","Total",23418,"","Gabby Fakes",1,2,2,0,0,0,19.091,0.333,4,7.855
"4495","Total",23427,"","Victoria Falco",178.2,391,143,10,56,18,9.446,0.404,3.045,5.654
"4496","Total",23430,"","Christie Falcon",257.2,317,58,23,131,23,3.535,0.282,1.545,3.488
