"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
"205",796,68153,2025,"Gabi Salo",127.3,146,37,12,91,12,"3.122",0.265,1.526,"3.347","Wisconsin"
"206",23157,84116,2025,"Riley Williams",127.3,133,46,12,86,4,"2.955",0.248,1.493,"2.822","Felician"
"207",1199,15693,2025,"Tea Cornett",127.2,161,25,5,93,12,"3.344",0.285,1.496,"2.870","Mars Hill"
"208",1348,62835,2025,"Madison Puppolo",127.2,144,23,9,65,5,"2.800",0.27,1.38,"2.643","St. Thomas Aquinas"
"209",30063,76886,2025,"Shelby Telegdy",127.2,145,62,4,84,7,"3.349",0.265,1.655,"3.349","Seton Hill"
"210",17,24860,2025,"Ta’Niyah Fletcher",127.1,139,99,14,95,9,"5.279",0.25,1.98,"4.490","Alcorn"
"211",55,48781,2025,"Savanna Marshall",127.1,155,36,10,52,8,"3.846",0.279,1.578,"3.483","Benedict"
"212",30135,50300,2025,"Morgan McConnell",127.1,174,53,5,50,17,"4.623",0.307,1.824,"4.719","California Baptist"
"213",97,50226,2025,"Trisha McCleskey",127,135,44,10,86,12,"3.415",0.249,1.487,"3.549","Cal St. Fullerton"
"214",468,25953,2025,"Amelia Freitas",127,134,14,10,120,6,"2.919",0.261,1.243,"1.692","Southern N.H."
"215",504,84663,2025,"Anna Wischnowski",127,149,40,7,87,11,"2.644",0.272,1.542,"3.265","UNI"
"216",1076,31664,2025,"Delaney Haller",127,118,54,6,95,8,"2.203",0.226,1.4,"3.140","Fairmont St."
"217",30197,26387,2025,"Macy Funderburk",127,112,49,9,126,12,"2.425",0.226,1.339,"3.014","Belhaven"
"218",473,30871,2025,"McKenna Guest",126.3,133,48,13,128,6,"2.871",0.249,1.53,"2.439","New Mexico"
"219",487,83774,2025,"Alivia Wilken",126.3,119,36,5,97,12,"2.537",0.233,1.261,"3.070","North Ala."
