"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"2370",299,46506,2023,"Hannah Meeks",43.2,36,17,7,19,3,"3.218",0.213,1.379,"4.078"
"2371",319,47616,2023,"Sam Miller",43.2,82,26,3,21,2,"8.188",0.355,2.546,"4.028"
"2372",348,46868,2023,"Kourtney Mercer",43.2,84,31,5,8,3,"8.330",0.394,2.746,"5.398"
"2373",372,20488,2023,"Olivia Engler",43.2,53,15,3,47,4,"3.693",0.29,1.628,"2.675"
"2374",552,77214,2023,"Chesnie York",43.2,53,28,3,21,2,"4.014",0.27,1.927,"4.166"
"2375",662,45842,2023,"Lexus McIntosh",43.2,38,16,2,15,0,"2.092",0.224,1.287,"2.952"
"2376",673,25020,2023,"Emily Gell",43.2,44,19,1,48,2,"3.701",0.24,1.471,"2.170"
"2377",1015,37530,2023,"Mackenzie Kliebert",43.2,59,26,3,14,3,"5.298",0.301,2.018,"4.648"
"2378",1059,14923,2023,"Cassie Crerar",43.2,67,20,4,27,1,"5.619",0.312,2.087,"3.111"
"2379",15646,25502,2023,"AnnaKate Gilchrist",43.2,60,32,1,37,3,"5.940",0.302,2.133,"3.868"
"2380",30221,69732,2023,"MaKayla Thompson",43.2,66,34,2,26,3,"6.276",0.31,2.345,"4.584"
"2381",71,1599,2023,"Scarlet Anderson",43.1,70,40,4,23,7,"8.426",0.326,2.639,"6.497"
"2382",193,24635,2023,"Sophie Garner-MacKinnon",43.1,37,18,4,20,4,"2.258",0.22,1.359,"4.197"
"2383",329,9250,2023,"Abby Burns",43.1,38,5,6,39,2,"2.431",0.222,1.134,"1.960"
"2384",359,53766,2023,"Madalyn Payne",43.1,81,21,7,49,3,"8.912",0.372,2.523,"2.979"
"2385",385,69992,2023,"Amelia Timko",43.1,63,5,6,18,3,"4.688",0.299,1.709,"3.231"
"2386",554,29280,2023,"Meghan Harrington",43.1,50,29,5,47,6,"4.032",0.258,1.935,"4.382"
"2387",704,13404,2023,"Mackenzee Collins",43.1,59,39,1,37,8,"6.806",0.298,2.292,"5.872"
"2388",1123,1913,2023,"Presley Applegate",43.1,61,15,1,27,2,"4.032",0.316,1.774,"2.861"
"2389",8411,76575,2023,"Kyann Woods",43.1,48,21,5,40,1,"3.889",0.258,1.713,"2.655"
"2390",217,13096,2023,"Isabel Cohen",43,56,24,3,20,2,"3.581",0.283,1.93,"3.958"
"2391",1240,41707,2023,"Azalya Lopez",43,61,17,2,29,1,"4.395",0.313,1.86,"2.679"
"2392",730,47415,2023,"Alexis Miller",42.3,60,24,4,20,1,"5.724",0.316,2.056,"3.732"
"2393",1062,68766,2023,"Toni Tamborello",42.3,39,11,3,13,1,"2.448",0.225,1.235,"3.076"
"2394",30090,57084,2023,"Tessa Ramirez",42.3,57,19,9,24,1,"3.590",0.302,1.981,"3.542"
"2395",99,23064,2023,"Samantha Fowler",42.2,43,32,7,41,3,"3.770",0.243,1.92,"4.133"
"2396",751,54679,2023,"Sydney Petrowski",42.2,87,16,1,17,6,"7.412",0.392,2.447,"4.635"
"2397",817,37924,2023,"Bree Kohler",42.2,42,24,5,46,3,"2.951",0.243,1.663,"3.196"
"2398",1318,33169,2023,"Alyssa Hughes",42.2,65,21,2,14,4,"5.410",0.327,2.061,"4.578"
"2399",29,65947,2023,"Sydney Somerndike",42.1,49,12,5,39,13,"4.303",0.266,1.56,"5.757"
"2400",272,44819,2023,"Carly Mayhood",42.1,61,13,2,22,1,"4.303",0.316,1.797,"2.731"
"2401",335,29296,2023,"Amanda Harris",42.1,70,34,8,28,3,"10.757",0.338,2.648,"4.977"
"2402",357,58500,2023,"Kailee Richmond",42.1,40,13,4,26,2,"1.816",0.225,1.344,"2.990"
"2403",365,34889,2023,"Alea Johnson",42.1,27,26,1,31,4,"1.327",0.179,1.28,"4.082"
"2404",524,17944,2023,"Gianna DiLillo",42.1,58,28,3,22,1,"5.474",0.317,2.109,"3.869"
"2405",715,28050,2023,"Bella Gutierrez",42.1,47,23,1,13,3,"4.645",0.26,1.682,"4.414"
"2406",1133,44429,2023,"Danielle Masterson",42.1,41,18,3,44,0,"3.302",0.234,1.462,"1.810"
"2407",8600,18433,2023,"Gena Donalds",42.1,52,23,4,30,3,"3.806",0.284,1.868,"3.818"
"2408",311,11888,2023,"Karlie Charles",42,58,8,3,29,13,"4.000",0.299,1.643,"5.829"
"2409",396,30655,2023,"Kennedy Henry",42,59,14,6,25,2,"4.489",0.304,1.876,"3.255"
"2410",439,70278,2023,"Kelly Toomey",42,62,25,1,37,5,"4.822",0.305,2.09,"4.039"
"2411",540,4219,2023,"Payton Bean",42,45,15,6,24,5,"3.658",0.246,1.568,"4.300"
"2412",953,34757,2023,"Allie Jeter",42,73,39,10,18,1,"8.646",0.332,2.898,"5.345"
"2413",35,41202,2023,"Delaney Lis",41.3,77,5,3,16,5,"5.680",0.365,2.029,"3.760"
"2414",62,73392,2023,"Lindsey Walter",41.3,39,5,1,14,5,"2.172",0.227,1.074,"3.713"
"2415",172,3154,2023,"Stella Bale",41.3,54,24,10,30,7,"5.024",0.289,2.105,"5.582"
"2416",569,73503,2023,"Alyssa Ward",41.3,72,11,2,17,0,"5.694",0.343,2.033,"2.520"
"2417",587,31682,2023,"Ashley Hitchcock",41.3,35,27,4,37,6,"3.182",0.222,1.579,"4.721"
"2418",170,37157,2023,"Hailey King",41.2,75,7,2,31,2,"5.048",0.361,2.019,"2.184"
"2419",300,11601,2023,"Gianna Certa",41.2,48,11,3,29,5,"4.207",0.27,1.49,"3.578"
"2420",472,53493,2023,"Laurali Patane",41.2,66,9,5,27,11,"6.578",0.332,1.928,"5.557"
"2421",545,59924,2023,"Adriana Romano",41.2,61,18,5,18,16,"7.909",0.311,2.019,"8.193"
"2422",613,17553,2023,"Jenna Devens",41.2,50,26,8,21,1,"3.702",0.27,2.019,"4.155"
"2423",648,30132,2023,"Jori Heard",41.2,45,18,1,49,4,"4.038",0.251,1.538,"2.664"
"2424",649,75416,2023,"Alexa Williams",41.2,36,27,2,23,3,"3.029",0.222,1.562,"4.323"
"2425",687,65273,2023,"Anna Smith",41.2,87,7,2,16,2,"7.067",0.377,2.308,"2.905"
"2426",958,7368,2023,"Haley Brag",41.2,60,45,18,35,0,"9.277",0.311,2.964,"5.267"
"2427",973,68061,2023,"Danielle Sudick",41.2,29,13,3,26,0,"1.010",0.184,1.082,"2.304"
"2428",11740,29216,2023,"Hannah Harper",41.2,55,23,6,22,4,"4.365",0.301,2.014,"4.678"
"2429",30141,40248,2023,"Lindsey Leeds",41.2,60,12,3,17,3,"4.207",0.302,1.803,"3.602"
"2430",30160,9345,2023,"Jen Burrows",41.2,104,17,6,9,3,"10.240",0.439,3.046,"4.558"
"2431",6,64486,2023,"Krista Sikes",41.1,53,38,3,28,4,"5.777",0.299,2.282,"5.288"
"2432",38,48569,2023,"Libby Moore",41.1,42,18,10,10,1,"2.874",0.243,1.691,"4.260"
"2433",261,63913,2023,"Payton Shells",41.1,49,11,2,18,0,"3.398",0.282,1.505,"2.473"
"2434",261,44615,2023,"Sherrell Matthews",41.1,35,18,4,13,5,"2.874",0.217,1.377,"4.936"
"2435",743,27118,2023,"Kara Green",41.1,66,15,6,26,2,"6.932",0.33,2.101,"3.294"
"2436",1356,18045,2023,"Isabella Dino",41.1,67,8,0,11,7,"3.390",0.349,1.816,"4.652"
"2437",1450,19018,2023,"Payton Dudenhoeffer",41.1,78,49,11,27,4,"11.329",0.351,3.333,"6.700"
"2438",15646,14001,2023,"Kierstin Cooper",41.1,66,14,2,20,5,"5.424",0.34,1.985,"4.168"
"2439",270,63000,2023,"Jordyn Scott",41,56,24,3,9,4,"6.131",0.303,2.019,"5.198"
"2440",385,77811,2023,"Breanna Zirkle",41,58,9,3,14,1,"3.066",0.29,1.703,"2.911"
"2441",424,73604,2023,"Charly Warlow",41,45,10,9,29,1,"2.049",0.256,1.561,"2.693"
"2442",458,3455,2023,"Georgeanna Barefoot",41,61,12,2,21,10,"5.634",0.319,1.829,"5.571"
"2443",1297,36948,2023,"Kennedy Kila",41,56,15,4,24,2,"6.317",0.303,1.829,"3.254"
"2444",1461,20555,2023,"Avree Entler",41,71,6,0,13,1,"4.098",0.348,1.878,"2.522"
"2445",30178,33142,2023,"Allie Hufford",41,57,17,1,20,5,"4.599",0.303,1.825,"4.322"
"2446",407,56367,2023,"Marina Provencio",40.3,62,24,11,29,4,"6.161",0.316,2.372,"4.821"
"2447",598,37304,2023,"Lauren Kirchberg",40.3,58,16,1,25,5,"4.804",0.307,1.838,"4.018"
