"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
700,86600,2019,"Missy Zoch",147.3,131,82,18,161,10,"2.650",0.222,1.562,"3.130","Texas Tech"
50,60064,2019,"Kirsten Pelletier",147.2,119,48,10,138,5,"1.946",0.203,1.2,"2.149","Bates"
107,15101,2019,"Zoe Conley",147.2,172,91,3,120,13,"4.031",0.271,1.802,"3.830","California"
181,26366,2019,"Nicole Fullilove",147.2,151,46,40,115,13,"3.322",0.248,1.607,"3.736","Delta St."
178,3303,2019,"Brianna Baker",147.1,227,36,15,47,11,"5.322",0.331,1.887,"3.771","Delaware St."
9011,13082,2019,"Hailey Chapman",147.1,155,43,13,174,12,"3.564",0.251,1.432,"2.237","Fort Hays St."
189,77909,2019,"Nicole Timmons",147,123,86,8,153,19,"3.046",0.214,1.475,"3.916","Drake"
487,27416,2019,"Megan Garst",147,73,37,11,174,4,"0.857",0.141,0.823,"1.367","North Ala."
233,22189,2019,"Aubrey Ehlers",146.3,162,28,7,65,3,"2.527",0.264,1.342,"2.495","Fla. Southern"
609,46652,2019,"Kallen Loveless",146.3,208,67,6,73,11,"3.910",0.315,1.914,"3.871","Saint Louis"
413,50792,2019,"Darby Mcghee",146.2,122,59,20,106,11,"2.911",0.216,1.37,"3.545","MSU Denver"
30152,73665,2019,"Brooklyn Sparkman",146.2,169,73,5,101,24,"4.106",0.273,1.685,"4.747","Southern Nazarene"
16,51845,2019,"Allison Melahn",146.1,176,53,9,58,2,"3.301",0.283,1.627,"3.056","Albright"
86,62260,2019,"Ally Power",146.1,194,39,12,93,8,"4.022",0.298,1.676,"2.886","Buffalo"
8411,45067,2019,"Abigail Leonards",146.1,162,23,13,87,11,"2.630",0.269,1.352,"2.926","Ark.-Monticello"
30031,42294,2019,"Lexi Kopacek",146.1,178,24,5,35,9,"3.112",0.288,1.416,"3.317","Northwestern-St. Paul"
794,69952,2019,"Kayla Schwebke",146,156,68,6,100,13,"3.306",0.262,1.574,"3.707","Green Bay"
97,49088,2019,"Dani Martinez",145.3,100,45,9,143,19,"2.353",0.184,1.056,"3.244","Cal St. Fullerton"
598,42302,2019,"Katie Kopeck",145.3,140,24,8,143,12,"2.641",0.238,1.18,"2.167","St. Cloud St."
93,63438,2019,"Amanda Ramirez",145.1,162,38,14,35,6,"2.796",0.266,1.474,"3.529","CSUSB"
466,26140,2019,"Kendall Fritz",145.1,161,66,15,118,28,"3.905",0.266,1.667,"4.955","Nevada"
626,54277,2019,"Marissa Moreno",145,128,65,8,119,10,"2.798",0.221,1.385,"3.165","San Diego St."
810,21560,2019,"Makenna Durieux",145,182,41,6,111,12,"4.200",0.277,1.579,"2.917","Wright St."
15882,8799,2019,"Christina Broccolino",145,294,50,4,42,14,"7.671",0.394,2.398,"4.192","Rosemont"
554,64711,2019,"Allie Reynolds",144.3,207,26,5,66,29,"4.876",0.31,1.641,"4.731","Princeton"
697,62158,2019,"Kendall Potts",144.3,142,72,10,86,14,"3.188",0.245,1.546,"4.167","Texas A&M"
638,84515,2019,"Taryn Wilson",144.2,166,73,12,173,18,"3.534",0.271,1.736,"3.389","Shippensburg"
725,21444,2019,"Jolie Duong",144.2,149,34,9,99,16,"3.144",0.254,1.327,"3.361","Army West Point"
30063,77083,2019,"Devyn Terry",144.2,130,52,6,122,10,"2.274",0.228,1.299,"2.815","Seton Hill"
1072,33941,2019,"Morgan Hendrix",144.1,96,45,32,163,8,"1.697",0.181,1.198,"2.462","Erskine"
14927,80413,2019,"Alicia Veltri",144.1,149,51,5,138,13,"3.056",0.248,1.421,"2.823","Belmont"
142,64982,2019,"Lauren Richards",144,150,74,13,66,4,"2.915",0.25,1.645,"3.656","Claremont-M-S"
490,56161,2019,"Sydney Nester",144,135,82,22,152,17,"3.403",0.234,1.66,"3.990","NC State"
676,42700,2019,"Ashley Kriesel",144,116,60,9,169,12,"2.477",0.21,1.284,"2.573","SFA"
54,21227,2019,"Stephi Dullum",143.3,176,23,10,81,7,"3.014",0.284,1.451,"2.594","Bemidji St."
485,31555,2019,"Hunter Halford",143.3,153,39,15,95,5,"2.629",0.255,1.439,"2.657","Norfolk St."
499,31489,2019,"Alyssa Hajduk",143.3,107,87,22,118,3,"2.479",0.195,1.5,"3.303","Truman St."
317,980,2019,"Odicci Alexander",143.2,91,38,11,169,21,"1.805",0.169,0.976,"2.971","James Madison"
1066,15546,2019,"Maddy Coppens",143.2,205,42,9,62,6,"3.800",0.313,1.781,"3.145","Edgewood"
1356,55673,2019,"Carley Nance",143.2,152,32,13,102,7,"2.046",0.255,1.371,"2.553","Seattle U"
148,37425,2019,"Kelly Hysong",143.1,173,63,11,106,24,"4.006",0.279,1.724,"4.647","Cleveland St."
341,66587,2019,"Jiana Rojo",143.1,158,66,12,84,7,"3.368",0.266,1.646,"3.495","La Verne"
494,39303,2019,"Jannay Jones",143.1,160,52,10,98,5,"2.978",0.262,1.548,"2.784","North Dakota"
1072,36315,2019,"Hannah Houge",143.1,81,38,10,163,6,"1.123",0.157,0.9,"1.675","Erskine"
617,70493,2019,"Sydney Senerchia",143,172,80,23,115,15,"5.385",0.283,1.923,"4.316","Saint Peter's"
