"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"402",29,4980,2018,"Alyssa Denham",105.3,92,26,8,72,11,"1.717",0.22,1.189,"3.353"
"403",490,22192,2018,"Kama Woodall",105.2,119,38,9,67,11,"3.312",0.274,1.571,"3.820"
"404",77,14004,2018,"Autumn Moffat-korth",104.2,114,40,12,75,12,"3.277",0.261,1.586,"3.948"
"405",650,12036,2018,"Sarah Lisko",104.2,184,29,8,29,15,"5.484",0.367,2.111,"4.769"
"406",361,12260,2018,"Victoria Lowe",104.1,128,51,12,65,18,"4.831",0.294,1.831,"5.208"
"407",513,1449,2018,"Katie Beriont",104,109,44,5,63,8,"3.365",0.26,1.519,"3.602"
"408",388,21966,2018,"Kailee Williamson",103.3,114,62,19,65,13,"3.769",0.265,1.875,"5.112"
"409",288,13559,2018,"Trystan Melancon",103.2,95,44,5,77,15,"3.309",0.234,1.389,"4.214"
"410",371,5267,2018,"Keenan Dolezal",103.2,131,29,5,56,7,"3.444",0.298,1.592,"3.181"
"411",1004,17826,2018,"Rio Sanchez",103.2,112,34,9,40,6,"2.768",0.262,1.495,"3.625"
"412",178,7502,2018,"Alexis Goldsby",103.1,162,61,3,24,15,"6.368",0.338,2.187,"5.681"
"413",639,2710,2018,"Laura Butts",103.1,88,95,4,91,1,"3.590",0.223,1.81,"3.639"
"414",697,18573,2018,"Samantha Show",103.1,90,39,10,75,9,"2.235",0.227,1.345,"3.503"
"415",769,12031,2018,"Kinsey Liscio",103.1,146,63,16,56,18,"6.029",0.322,2.177,"5.874"
"416",1320,3982,2018,"Alex Cook",103.1,166,21,13,55,7,"4.945",0.329,1.935,"3.203"
"417",62,7305,2018,"Rayn Gibson",103,113,58,18,83,9,"4.010",0.261,1.835,"4.138"
"418",72,12501,2018,"Megan Mahaffy",103,131,34,4,45,12,"3.466",0.29,1.641,"4.148"
"419",464,8209,2018,"Aubrey Hake",103,121,42,6,48,12,"4.078",0.277,1.641,"4.381"
"420",576,15161,2018,"Emily Oltman",103,113,93,9,91,3,"4.893",0.262,2.087,"3.983"
"421",676,8063,2018,"Callee Guffey",103,112,42,5,91,20,"3.874",0.267,1.544,"4.526"
"422",334,9705,2018,"Autumn Humes",102.3,98,34,6,72,11,"3.262",0.246,1.34,"3.555"
"423",450,21442,2018,"Jordan Weaver",102.2,106,99,7,75,12,"4.705",0.257,2.065,"5.556"
"424",609,3383,2018,"Kaylea Chappelle",102.2,134,28,5,48,13,"3.750",0.295,1.627,"4.075"
"425",678,20260,2018,"Jaime Tino",102.2,96,70,18,79,11,"3.341",0.236,1.792,"4.825"
"426",769,2267,2018,"Haley Brogden",102.2,134,53,8,80,15,"4.977",0.303,1.899,"4.523"
"427",191,7961,2018,"Devon Grippe",102.1,134,48,7,54,23,"5.609",0.298,1.847,"5.879"
"428",244,4964,2018,"Emily Demonte",102.1,121,30,4,50,6,"3.215",0.275,1.515,"3.182"
"429",257,7773,2018,"Brittany Gray",102.1,46,23,8,134,1,"0.479",0.13,0.752,"0.817"
"430",635,19608,2018,"Madison Strunk",102.1,158,16,4,29,13,"5.199",0.34,1.739,"4.071"
"431",735,15354,2018,"Kelsie Packard",102,101,32,8,111,13,"2.676",0.249,1.382,"3.057"
"432",153,8684,2018,"Jessica Hay",101.2,123,38,7,40,8,"3.856",0.282,1.652,"3.964"
"433",380,15000,2018,"Kyleigh O'donnell",101.2,85,48,9,82,10,"3.236",0.212,1.397,"3.748"
"434",430,11063,2018,"Cassady Knudsen",101.2,78,45,9,125,5,"2.272",0.201,1.298,"2.174"
"435",625,7353,2018,"Mckenna Gillespie",101.2,118,55,11,35,13,"4.544",0.276,1.81,"5.321"
"436",47,21996,2018,"Carolyn Wilmes",101.1,97,70,11,93,12,"4.007",0.242,1.757,"4.502"
"437",231,11279,2018,"Megan Kugelmann",101.1,111,30,6,46,10,"3.109",0.266,1.451,"3.841"
"438",257,1139,2018,"Kylie Bass",101.1,70,21,17,89,11,"2.003",0.184,1.066,"3.180"
"439",488,21081,2018,"Zadaisha Waddell",101,132,27,7,42,5,"3.535",0.287,1.644,"3.222"
"440",627,1897,2018,"Hannah Boos",101,114,25,21,54,4,"3.188",0.268,1.584,"3.212"
"441",191,8224,2018,"Katie Haley",100.2,139,45,4,43,13,"5.076",0.317,1.868,"4.685"
"442",460,11802,2018,"Haley Lenderman",100.2,101,46,10,69,4,"2.781",0.247,1.56,"3.215"
"443",334,16784,2018,"Erin Rethlake",100.1,81,43,12,80,7,"2.930",0.214,1.355,"3.357"
"444",460,4757,2018,"Sarah Davis",100.1,106,51,12,87,11,"3.767",0.264,1.684,"3.975"
"445",674,11711,2018,"Carolyn Lee",100.1,128,44,9,77,14,"5.721",0.296,1.804,"4.264"
"446",596,8804,2018,"Rylee Hehir",100,140,33,10,57,16,"5.670",0.316,1.83,"4.630"
"447",639,13415,2018,"Maddie Mcmahon",99.3,91,37,6,94,7,"2.660",0.229,1.34,"2.720"
"448",61,8144,2018,"Victoria Guzman",99.2,109,36,18,78,15,"3.933",0.27,1.635,"4.417"
"449",116,14794,2018,"Emily Nicosia",99.2,118,37,7,46,11,"4.495",0.281,1.625,"4.236"
"450",514,21787,2018,"Chelsea Wiggins",99.2,91,29,7,81,9,"3.512",0.232,1.274,"3.032"
"451",331,2411,2018,"Brenna Brownfield",99.1,131,47,9,30,21,"5.567",0.31,1.883,"6.236"
"452",472,5110,2018,"Samaria Diaz",99.1,112,32,17,80,18,"4.087",0.271,1.621,"4.625"
"453",632,8256,2018,"Amanda Hallman",99.1,114,30,6,68,7,"3.383",0.275,1.51,"3.034"
"454",625,22361,2018,"Annalyn Yantis",99,121,55,6,34,17,"5.091",0.283,1.838,"5.794"
"455",14927,20879,2018,"Alicia Veltri",98.2,105,56,11,77,6,"3.264",0.253,1.743,"3.667"
"456",6,8690,2018,"Lauren Hayden",98.1,121,49,2,71,10,"4.414",0.29,1.749,"3.834"
"457",725,14716,2018,"Macey Newbary",98.1,114,19,7,47,10,"4.200",0.277,1.424,"3.559"
"458",742,4544,2018,"Jordan Dail",98,73,51,30,116,8,"3.071",0.202,1.571,"3.573"
"459",272,17464,2018,"Bianca Ross",97.2,159,32,7,32,12,"6.235",0.345,2.027,"4.540"
"460",521,18714,2018,"Logan Simunek",97.2,93,24,7,50,14,"2.437",0.232,1.27,"4.192"
"461",441,5438,2018,"Colleen Driscoll",97.1,100,16,1,68,7,"2.805",0.253,1.202,"2.462"
"462",80,21365,2018,"Emily Waters",97,126,36,4,23,10,"4.330",0.305,1.711,"4.503"
"463",466,7199,2018,"Amanda Geil",97,109,66,9,36,11,"3.897",0.27,1.897,"5.452"
"464",655,9139,2018,"Lacey Hill",96.2,85,45,4,45,11,"2.969",0.224,1.386,"4.469"
"465",683,15676,2018,"Taylor Pechin",96.2,114,45,6,41,13,"4.128",0.279,1.707,"4.883"
"466",522,12253,2018,"Paige Lowary",96,66,14,7,74,3,"1.094",0.188,0.906,"1.921"
"467",1068,1008,2018,"Abby Barker",95.3,98,33,4,48,13,"4.229",0.253,1.406,"4.317"
"468",328,13852,2018,"Sarah Miller",95.2,106,59,12,65,8,"4.024",0.273,1.85,"4.355"
"469",748,11087,2018,"Arielle Koerber",95.2,131,26,2,36,6,"4.537",0.308,1.662,"3.341"
"470",94,9200,2018,"Daryn Hitzel",95.1,140,46,38,38,6,"5.874",0.328,2.35,"5.064"
"471",175,21441,2018,"Jessica Weaver",95.1,104,32,6,64,11,"3.304",0.267,1.49,"3.753"
"472",1104,14274,2018,"Yessie Morrison",95.1,105,31,17,39,7,"3.378",0.273,1.605,"4.047"
"473",503,20032,2018,"Tara Thacker",95,113,57,12,56,9,"4.126",0.277,1.916,"4.632"
"474",386,19966,2018,"Nicole Teague",94.3,94,47,4,24,9,"3.168",0.249,1.526,"4.737"
"475",441,9413,2018,"Michaela Hood",94.3,100,27,5,75,4,"2.947",0.258,1.389,"2.379"
"476",2678,8234,2018,"Karia Hall",94.2,122,34,5,42,8,"4.437",0.293,1.701,"3.847"
"477",617,16544,2018,"Sydney Ramsey",94.1,130,55,17,34,5,"6.307",0.318,2.141,"4.658"
"478",2711,1780,2018,"Morgan Blourne",94.1,97,42,6,74,7,"2.671",0.255,1.537,"3.322"
"479",193,19264,2018,"Peyton St george",93.2,81,34,3,96,6,"1.794",0.219,1.26,"2.368"
"480",261,13240,2018,"Caitlin Mcdowell",93.2,151,36,7,29,9,"6.203",0.336,2.071,"4.407"
"481",10411,9126,2018,"Erin Hill",93.1,88,20,15,37,6,"1.875",0.242,1.318,"3.568"
"482",669,7905,2018,"Erin Griesbauer",93,105,20,3,40,2,"2.409",0.274,1.376,"2.561"
"483",311,17857,2018,"Savannah Sanders",92.3,117,36,9,41,14,"4.516",0.29,1.742,"4.927"
"484",169,3600,2018,"Bryana Clark",92.1,106,36,8,67,9,"2.881",0.266,1.625,"3.645"
"485",439,19332,2018,"Megan Stauffer",92,106,32,3,30,8,"3.652",0.283,1.533,"4.020"
"486",418,1726,2018,"Tera Blanco",91.3,69,34,5,86,5,"1.978",0.203,1.174,"2.509"
"487",556,20460,2018,"Miranda Trinidad",91.2,97,23,12,37,9,"3.360",0.261,1.44,"4.015"
"488",631,20948,2018,"Micaela Vierra",91.2,109,44,12,31,9,"4.582",0.293,1.8,"4.833"
"489",96,13556,2018,"Samantha Mejia",91,102,51,7,60,9,"4.000",0.274,1.758,"4.279"
"490",667,8070,2018,"Samantha Guile",91,110,66,16,67,13,"5.923",0.284,2.11,"5.488"
"491",99,12489,2018,"Devyn Magnett",90.3,112,31,3,42,9,"3.077",0.292,1.604,"3.884"
"492",388,2571,2018,"Ali Burdette",90.3,112,33,8,46,8,"4.077",0.291,1.681,"3.884"
"493",148,10172,2018,"Mackenzie Joecken",90.2,107,27,5,80,10,"5.018",0.284,1.533,"3.128"
"494",361,9885,2018,"Haley Irvis",90.2,123,87,15,59,15,"7.335",0.317,2.482,"6.624"
"495",386,11755,2018,"Kallen Leeseberg",90.1,77,57,8,73,12,"4.030",0.228,1.572,"4.669"
"496",450,1452,2018,"Amanda Berkley",90,100,28,7,29,11,"3.889",0.279,1.5,"4.511"
"497",482,19799,2018,"Jennifer Szilagyi",90,94,41,7,58,3,"4.044",0.255,1.578,"3.144"
"498",1356,18978,2018,"Shi Smith",89.2,69,32,13,84,8,"2.420",0.202,1.271,"3.192"
"499",251,5167,2018,"London Diller",89.1,120,58,11,46,9,"5.955",0.312,2.116,"4.997"
"500",406,13248,2018,"Jill Mcelderry",89.1,63,35,11,90,11,"2.429",0.19,1.22,"3.531"
