"","team","game_id","opponent","last","first","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","season","team_id","player"
"60","A&M-Corpus Christi","4500303","Grambling","Galvan","Siarah",5.2,4,2,2,0,4,23,0,9,4,2024,26172,"Siarah Galvan"
"61","A&M-Corpus Christi","5289185","Nicholls","Aholelei","Primrose",6,3,2,0,2,4,24,1,7,7,2024,26172,"Primrose Aholelei"
"62","A&M-Corpus Christi","4508458","Lamar University","Aholelei","Primrose",7,4,2,4,2,12,31,1,2,6,2024,26172,"Primrose Aholelei"
"63","A&M-Corpus Christi","4503448","UIW","Saenz","Ariella",4,2,1,2,1,2,16,0,8,1,2024,26172,"Ariella Saenz"
"64","A&M-Corpus Christi","4516813","McNeese","Aholelei","Primrose",7,6,1,2,0,6,28,0,7,6,2024,26172,"Primrose Aholelei"
"65","A&M-Corpus Christi","4517776","Nicholls","Williams","Malia",6,6,1,3,0,2,25,0,5,9,2024,26172,"Malia Williams"
"66","A&M-Corpus Christi","4499403","UT Martin","Saenz","Ariella",3,4,0,0,0,2,13,0,4,2,2024,26172,"Ariella Saenz"
"67","A&M-Corpus Christi","4498854","Chattanooga","Williams","Malia",0.1,0,0,1,0,0,3,0,1,0,2024,26172,"Malia Williams"
"68","A&M-Corpus Christi","5253755","UIW","Aholelei","Primrose",4.1,6,7,2,1,3,23,0,7,3,2024,26172,"Primrose Aholelei"
"69","Abilene Christian","4506986","Texas Tech","Nielsen","Talia",2.2,9,4,2,0,1,19,0,0,6,2024,2,"Talia Nielsen"
"70","Abilene Christian","4501322","UTSA","Rote","Bubba",2,0,0,1,1,3,9,0,2,1,2024,2,"Bubba Rote"
"71","Abilene Christian","4515524","Seattle U","Russo","Angelina",2.2,4,3,3,2,3,19,0,3,2,2024,2,"Angelina Russo"
"72","Abilene Christian","4515068","Utah Valley","Russo","Angelina",1,1,0,0,1,0,4,0,0,2,2024,2,"Angelina Russo"
"73","Abilene Christian","4503476","Utah Tech","White","Riley",2,4,4,5,0,1,15,0,3,2,2024,2,"Riley White"
"74","Abilene Christian","4517862","Grand Canyon","Beeman","Ella",4,8,5,3,1,0,26,1,5,6,2024,2,"Ella Beeman"
"75","Abilene Christian","4514370","Sam Houston","Nielsen","Talia",0.2,3,1,0,0,0,4,0,0,1,2024,2,"Talia Nielsen"
"76","Abilene Christian","4515068","Utah Valley","White","Riley",4.2,4,2,2,1,3,21,0,7,2,2024,2,"Riley White"
"77","Abilene Christian","4500582","Sam Houston","Russo","Angelina",5.1,6,6,5,1,2,27,1,10,3,2024,2,"Angelina Russo"
"78","Abilene Christian","4499362","Omaha","Nielsen","Talia",1,6,4,0,0,0,9,1,1,2,2024,2,"Talia Nielsen"
"79","Abilene Christian","4508488","SFA","Russo","Angelina",7,5,1,6,1,9,32,0,7,4,2024,2,"Angelina Russo"
"80","Abilene Christian","4513920","Utah Tech","Nielsen","Talia",7,9,2,2,0,0,31,1,8,11,2024,2,"Talia Nielsen"
"81","Abilene Christian","4498394","New Mexico","Beeman","Ella",5,2,0,0,0,0,18,0,10,5,2024,2,"Ella Beeman"
"82","Abilene Christian","4497393","New Mexico St.","White","Riley",2.2,1,1,1,0,1,10,1,4,3,2024,2,"Riley White"
"83","Abilene Christian","4501322","UTSA","Nielsen","Talia",4.1,2,1,3,0,0,17,0,4,8,2024,2,"Talia Nielsen"
"84","Abilene Christian","4514370","Sam Houston","Beeman","Ella",2.1,5,6,0,0,1,14,0,3,3,2024,2,"Ella Beeman"
"85","Abilene Christian","4499362","Omaha","Schaefer","Elizabeth",1,1,2,3,0,0,7,0,2,1,2024,2,"Elizabeth Schaefer"
