"","team_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"428",147,2020,"Hannah Goodwin",78,30,5,0,4,16,15,5,4,10,1,0,"0.385",0.448,"1.051"
"429",153,2020,"Mia Guevarra",34,12,2,0,2,8,2,7,0,5,0,0,"0.353",0.463,"1.051"
"430",180,2020,"Karolina Flores",53,18,7,1,1,11,16,8,7,2,5,0,"0.340",0.485,"1.051"
"431",473,2020,"Andrea Howard",72,22,4,0,7,24,16,12,1,11,2,0,"0.306",0.398,"1.051"
"432",99,2020,"Brianna Wise",50,19,5,0,2,13,14,6,1,8,1,0,"0.380",0.448,"1.048"
"433",128,2020,"Shannon Doherty",61,27,0,0,2,15,8,9,1,10,1,0,"0.443",0.507,"1.048"
"434",288,2020,"Sarah Queen",69,23,7,1,4,22,12,7,2,13,8,0,"0.333",0.41,"1.048"
"435",352,2020,"Emily Cimino",52,18,3,1,4,15,10,2,1,8,1,0,"0.346",0.375,"1.048"
"436",388,2020,"Katie Adams",61,23,5,0,3,16,8,7,0,9,1,0,"0.377",0.441,"1.048"
"437",1004,2020,"Tylar Vernon",46,16,5,1,1,9,13,11,2,4,5,0,"0.348",0.483,"1.048"
"438",257,2020,"Hannah Coulter",3,1,0,0,0,0,2,4,0,2,0,0,"0.333",0.714,"1.047"
"439",464,2020,"Jamie White",82,26,6,0,8,26,17,3,3,6,1,0,"0.317",0.364,"1.047"
"440",772,2020,"Jordan Thomas",75,26,6,1,3,18,22,20,0,15,2,1,"0.347",0.474,"1.047"
"441",772,2020,"Kendall Smith",69,24,4,0,5,22,14,12,0,10,2,2,"0.348",0.424,"1.047"
"442",731,2020,"Lexi Orozco",65,21,6,0,4,21,15,14,2,17,0,0,"0.323",0.446,"1.046"
"443",28755,2020,"Ashley Hayes",18,5,1,1,1,4,11,5,0,6,5,1,"0.278",0.435,"1.046"
"444",5,2020,"Sydney Jascoe",70,21,4,0,7,21,16,8,2,5,0,0,"0.300",0.388,"1.045"
"445",167,2020,"Emily Mckinney",27,10,3,0,1,5,6,4,0,1,0,0,"0.370",0.452,"1.045"
