"","team_id","player_id","rank","player","avg","season"
"66",683,63333,64,"Melissa Rahrich","0.453",2018
"67",30024,11925,64,"Madison Carr","0.453",2022
"68",6,68544,68,"Venice Sanders","0.452",2023
"69",14,73188,68,"Elizabeth Snow","0.452",2016
"70",68,36141,68,"Jen Horita","0.452",2021
"71",600,67919,68,"Mekenzie Saban","0.452",2021
"72",404,16751,72,"Lindsay Crowdus","0.451",2017
"73",418,66751,72,"Sierra Romero","0.451",2016
"74",758,68229,72,"Takesha Saltern","0.451",2017
"75",14927,12666,72,"Cheyenne Cavanaugh","0.451",2022
"76",349,12291,76,"Courtney Case","0.450",2016
"77",430,67956,76,"Sierra Sacco","0.450",2025
"78",817,12460,76,"Miranda Castiglione","0.450",2016
"79",302,38143,79,"Skylee James","0.449",2019
"80",711,70113,79,"Kendyl Scott","0.449",2018
"81",110,8138,81,"Maya Brady","0.448",2023
"82",287,21925,81,"Shelby Echols","0.448",2022
"83",235,58486,83,"Korbe Otis","0.447",2024
"84",235,81601,83,"Skylar Wallace","0.447",2023
"85",302,82564,83,"Kayla Wedl","0.447",2019
"86",311,84206,86,"Sami Williams","0.446",2021
"87",349,12291,86,"Courtney Case","0.446",2017
"88",703,38370,86,"Janae Jefferson","0.446",2021
"89",31,28131,89,"Danielle Gibson","0.445",2022
"90",172,50687,89,"Katie Mceachern","0.445",2016
"91",302,82318,89,"Lexi Watts","0.445",2018
"92",428,57552,89,"Jess Oakland","0.445",2024
"93",513,76190,89,"Abby Sweet","0.445",2021
"94",639,15875,89,"Madysen Cossack","0.445",2019
"95",29,40709,95,"Dakota Kennedy","0.444",2025
"96",51,29645,95,"Shaylon Govan","0.444",2024
"97",189,38986,95,"Macy Johnson","0.444",2021
"98",261,9014,95,"Kamryn Broussard","0.444",2025
"99",334,42482,95,"Kayla Kowalik","0.444",2023
"100",388,58591,95,"Autumn Owen","0.444",2023
"101",504,9888,95,"Sammey Bunch","0.444",2021
"102",522,14651,95,"Jayda Coleman","0.444",2021
"103",522,14651,95,"Jayda Coleman","0.444",2022
"104",1356,12613,95,"Madison Cathcart","0.444",2018
"105",1395,34887,95,"Kelci Hill","0.444",2024
