"","team_id","player_id","rank","player","rc","season"
"65",1170,62591,65,"Madison Primm"," 67.63",2025
"66",1009,33463,66,"Morgan Heard"," 67.16",2016
"67",30222,59826,67,"Kyleigh Payne"," 67.07",2018
"68",339,40337,68,"Sara Keeny"," 66.90",2019
"69",41,59156,69,"Mary Pardo"," 66.89",2022
"70",30153,40482,70,"Kaitlyn Kelley"," 66.67",2019
"71",423,1915,71,"Aleese Angelo"," 66.50",2023
"72",358,53408,72,"Marissa Mitchell"," 66.13",2024
"73",3,49228,73,"Brenna Martini"," 66.12",2016
"74",241,11360,73,"Ashley Cangiano"," 66.12",2023
"75",757,50282,75,"Hannah Mcclounie"," 66.03",2019
"76",499,79883,76,"Lex Van nostrand"," 65.99",2017
"77",9223,51540,76,"Brianna Mcrae"," 65.99",2022
"78",947,65322,78,"Tymber Riley"," 65.96",2022
"79",11403,52595,79,"Kenzie Middleton"," 65.94",2023
"80",790,57071,80,"Alison Nowak"," 65.72",2019
"81",1376,28726,81,"Brooke Goad"," 65.71",2016
"82",155,44013,82,"Clara Larson"," 65.63",2018
"83",10,20724,83,"Alexa Douthitt"," 65.46",2024
"84",13028,6866,84,"Kayson Boatner"," 65.21",2022
"85",1009,53232,85,"Jacee Minter"," 65.17",2022
"86",383,51801,86,"Jess Meidl"," 65.04",2018
"87",9081,53898,87,"Alexis Monty"," 64.69",2024
"88",1013,13655,88,"Haleigh Christopher"," 64.55",2017
"89",30028,62359,89,"Kaylee Prather"," 64.31",2017
"90",767,68267,90,"Ruby Salzman"," 64.21",2021
"91",1460,10376,91,"Rosa'lynn Burton"," 64.20",2018
"92",423,1915,92,"Aleese Angelo"," 64.04",2024
"93",1156,67802,93,"Katie Ruwe"," 64.00",2016
"94",429,44698,94,"Mccall Lee"," 63.93",2023
"95",1097,84330,95,"Zoe Willis"," 63.54",2022
"96",1009,44954,96,"Rylee Lemos"," 63.39",2025
"97",1402,26605,97,"Andrea Gahan"," 63.30",2018
"98",1009,65475,98,"Terin Ritz"," 63.19",2025
"99",1245,22566,99,"Kylie Emanuele"," 63.17",2024
"100",30052,32857,100,"Stephanie Hartness"," 63.12",2016
