"","team_id","player_id","rank","player","avg","season"
"50",543,701,50,"Emily Akelaitis","0.485",2021
"51",23121,45924,50,"Melissa Livermore","0.485",2019
"52",30125,29841,50,"Jordan Grant","0.485",2017
"53",30152,68929,50,"Mahina Sauer","0.485",2021
"54",1072,10315,54,"Gabby Burroughs","0.484",2025
"55",3,49228,55,"Brenna Martini","0.483",2017
"56",757,10530,55,"Lyndsay Butler","0.483",2016
"57",1448,1859,55,"Maleah Andrews","0.483",2025
"58",9013,33217,55,"Sydni Hawkins","0.483",2021
"59",1176,80951,59,"Reese Vivrette","0.482",2024
"60",23121,45924,59,"Melissa Livermore","0.482",2016
"61",280,41541,61,"Katie Kish","0.481",2018
"62",765,51959,61,"Madison Melvin","0.481",2023
"63",1000,32552,61,"Emily Harris","0.481",2022
"64",1013,66940,61,"Hannah Rose","0.481",2024
"65",1059,60245,61,"Maddy Pepke","0.481",2022
"66",11416,2468,66,"Myah Arrieta","0.480",2024
"67",30045,83060,66,"Magnolia West","0.480",2017
"68",209,38207,68,"Olivia Jankowski","0.479",2019
"69",30013,54229,68,"Taylor Moran","0.479",2018
"70",13,49812,70,"Malea Maye","0.478",2017
"71",347,43482,71,"Millay Lambert","0.477",2022
"72",1245,22566,71,"Kylie Emanuele","0.477",2022
"73",1446,2181,71,"Ayanna Arceneaux","0.477",2019
"74",23121,45924,71,"Melissa Livermore","0.477",2018
"75",790,79906,75,"Lani Van zyl","0.475",2018
"76",15646,49392,76,"Gracelyn Massey","0.474",2024
"77",55,17638,77,"Starkeira Daniel","0.473",2019
"78",675,65087,77,"Patricia Riches","0.473",2018
"79",30180,66470,77,"Abbey Rogers","0.473",2025
"80",205,78490,80,"Heather Tracy","0.472",2018
"81",1156,67802,80,"Katie Ruwe","0.472",2016
"82",347,75028,82,"Kaylee Stinnett","0.471",2023
"83",2720,14568,82,"Caitlyn Cole","0.471",2024
"84",1460,10376,84,"Rosa'lynn Burton","0.470",2018
"85",30138,74329,84,"Olivia Stansbury","0.470",2022
"86",205,78490,86,"Heather Tracy","0.469",2017
"87",30244,27255,86,"Kylah Gardner","0.469",2025
"88",208,76796,88,"Hannah Taylor","0.468",2025
"89",243,27596,89,"Sam Gatton","0.467",2017
"90",280,40082,89,"Bekah Kastning","0.467",2017
"91",280,75228,89,"Madison Stoner","0.467",2021
"92",791,18008,89,"Erica Davis","0.467",2019
"93",1433,46319,89,"Lexie Loos","0.467",2016
"94",11416,42452,89,"Makayla Kovac","0.467",2016
"95",995,81045,95,"Grace Vondracek","0.466",2025
"96",1009,33463,95,"Morgan Heard","0.466",2016
"97",1059,60245,95,"Maddy Pepke","0.466",2021
"98",10,3677,98,"Kaitlyn Bannister","0.465",2017
"99",103,24173,98,"Mikaela Ferreira","0.465",2024
"100",262,28737,98,"Lydia Goble","0.465",2022
"101",413,65686,98,"Shelby Robb","0.465",2024
"102",728,16604,98,"Katie Crogan","0.465",2022
"103",767,7927,98,"Emilee Boyer","0.465",2025
"104",1085,49585,98,"Megan Matsil","0.465",2023
