"","team_id","player_id","rank","player","xbh","season"
"65",28749,85579,52,"Stella Wulker",29,2023
"66",30197,29430,52,"Allie Gordon",29,2024
"67",42,81442,67,"Elaine Walker",28,2018
"68",105,48543,67,"Kendall Marinesi",28,2019
"69",139,33021,67,"Kaitlyn Hasty",28,2019
"70",139,57749,67,"Patty maye Ohanian",28,2019
"71",160,61256,67,"Becky Pieroni",28,2021
"72",182,10905,67,"Annabelle Calderon",28,2024
"73",259,73132,67,"Shilah Snead",28,2016
"74",259,72965,67,"Morgan Smith",28,2017
"75",303,64642,67,"Ashley Rey",28,2018
"76",303,35030,67,"Keani Hindle",28,2019
"77",329,41833,67,"Dana Knapp",28,2016
"78",382,48549,67,"Alicia Marino",28,2017
"79",397,59136,67,"Tori Para",28,2025
"80",411,24715,67,"Carrie Fix",28,2016
"81",622,42009,67,"Paige Knussman",28,2016
"82",673,20972,67,"Kristen Drobiak",28,2017
"83",684,62856,67,"Jill Pulek",28,2017
"84",1036,62317,67,"Jess Pozezinski",28,2025
"85",1062,60351,67,"Jayme Perez",28,2017
"86",1094,78153,67,"Sharon Tomei",28,2025
"87",1094,80140,67,"Savannah Vargas",28,2021
"88",1179,24864,67,"Cheyenne Fletcher",28,2017
"89",2751,80281,67,"Montana Vaught",28,2019
"90",8687,70023,67,"Patti Sciglimpaglia",28,2016
"91",14795,49150,67,"Kaylee Martinez",28,2016
"92",21830,35224,67,"Hannah Hoban",28,2019
"93",22626,26858,67,"Kaelani Gamble",28,2022
"94",30037,34848,67,"Debbie Hill",28,2024
"95",30085,17375,67,"Julia D'arrigo",28,2016
"96",30197,29430,67,"Allie Gordon",28,2022
"97",21,79404,97,"Haley Ullrich",27,2022
"98",44,628,97,"Kaitlyn Aherron",27,2017
"99",122,20835,97,"Nicole Doyle",27,2018
"100",139,72018,97,"Scoop Simon",27,2016
"101",296,7864,97,"Jenna Boyajian",27,2018
"102",329,65615,97,"Cayleen Rizo",27,2018
"103",382,9589,97,"Desiree Buboi",27,2016
"104",382,78328,97,"Evonne Torres",27,2019
"105",396,42288,97,"Sara Koonce",27,2024
"106",492,52856,97,"Emily Miller",27,2018
"107",531,50716,97,"Bailey Mcelwain",27,2018
"108",542,71258,97,"Vada blue Sherrill",27,2018
"109",622,75080,97,"Emily Stockman",27,2025
"110",633,74720,97,"Sarah Stepnowski",27,2024
"111",641,33635,97,"Megan Heidelbauer",27,2025
"112",641,46924,97,"Maddie Luderman",27,2023
"113",745,36525,97,"Cassetty Howerin",27,2017
"114",750,25380,97,"Mara Forsyth",27,2017
"115",789,17187,97,"Lexi Curt",27,2017
"116",793,48682,97,"Molly Marquardt",27,2025
"117",973,37823,97,"Anna Jackson",27,2022
"118",973,14870,97,"Marie Collop",27,2016
"119",987,36764,97,"Brittany Huff",27,2018
"120",1036,62317,97,"Jess Pozezinski",27,2024
"121",1050,65813,97,"Marissa Roberts",27,2022
"122",1066,33531,97,"Olivia Hebert",27,2025
"123",1111,68321,97,"Tiffany Samsoe",27,2016
"124",1130,35778,97,"Jordan Holman",27,2024
"125",1179,61051,97,"Katie Phillips",27,2022
"126",1400,85729,97,"Taylor Yancey",27,2016
"127",11036,59108,97,"Arianna Papas",27,2023
"128",14795,68679,97,"Nicole Santaniello",27,2019
"129",17094,51256,97,"Heather Mclean",27,2017
"130",22626,62856,97,"Jill Pulek",27,2023
"131",22626,47318,97,"Mady Lyons",27,2025
"132",24317,197,97,"Ashleigh Acker",27,2018
"133",24317,18260,97,"Jordan Day",27,2022
"134",28749,70537,97,"Taylor Senter",27,2021
"135",30037,32815,97,"Makenna Hartline",27,2019
"136",30038,54417,97,"Kaija Mork",27,2023
"137",30084,71122,97,"Molly Shelley",27,2025
