"","team_id","player_id","rank","player","slg","season"
"40",30052,71960,40,"Margaret Simmons","0.926",2021
"41",1376,20746,41,"Maddie Dow","0.924",2017
"42",995,53668,42,"Marisa Monasseri","0.919",2016
"43",499,64461,43,"Christa Reisinger","0.918",2019
"44",537,9399,43,"Tatum Brummitt","0.918",2021
"45",1001,26709,45,"Brianna Gallagher","0.915",2025
"46",30137,5923,45,"Lexi Betz","0.915",2021
"47",11740,4501,47,"Jessie Baughan","0.913",2024
"48",30152,68929,48,"Mahina Sauer","0.911",2021
"49",1238,64018,49,"Sydnee Reaves","0.910",2024
"50",11740,80214,50,"Maddie Vasquez","0.909",2024
"51",30154,78341,51,"Jill Torres","0.904",2021
"52",767,54046,52,"Kylee Moore","0.903",2018
"53",41,39760,53,"Maggie Kadrlik","0.902",2019
"54",1245,22566,54,"Kylie Emanuele","0.899",2024
"55",1010,11212,55,"Kailyn Campbell","0.897",2017
"56",477,86196,56,"Kat Zabielski","0.896",2016
"57",19117,13727,56,"Katie Chyrssofos","0.896",2016
"58",30138,32593,58,"Lauren Harris","0.895",2024
"59",1000,3226,59,"Macauley Bailey","0.888",2025
"60",413,65686,60,"Shelby Robb","0.886",2021
"61",701,76326,60,"Tylia Sylestine","0.886",2018
"62",728,16604,62,"Katie Crogan","0.885",2022
"63",2720,14568,62,"Caitlyn Cole","0.885",2024
"64",734,75885,64,"Abby Sulte","0.883",2023
"65",30177,14546,65,"Morgan Colburn","0.882",2016
"66",209,38207,66,"Olivia Jankowski","0.880",2019
"67",10,3677,67,"Kaitlyn Bannister","0.878",2017
"68",1257,78452,68,"Hannah Towery","0.875",2021
"69",1402,57657,69,"Mary beth Odom","0.872",2019
"70",9223,51540,69,"Brianna Mcrae","0.872",2022
"71",11403,46990,71,"Piper Lujan","0.871",2021
"72",1402,26605,72,"Andrea Gahan","0.870",2018
"73",1076,37435,73,"Courtney Iacobacci","0.867",2016
"74",543,701,74,"Emily Akelaitis","0.866",2021
"75",638,48840,74,"Hannah Marsteller","0.866",2023
"76",1009,65475,74,"Terin Ritz","0.866",2025
"77",1199,8973,74,"Ragan Broome","0.866",2019
"78",1245,22566,74,"Kylie Emanuele","0.866",2022
"79",15646,49392,79,"Gracelyn Massey","0.865",2024
"80",507,82683,80,"Kaitlin Weis","0.863",2021
"81",30137,10620,80,"Bailey Byers","0.863",2019
"82",1238,66001,82,"Taylor Robinson","0.862",2023
"83",11416,31688,83,"Brandi Haller","0.861",2022
"84",41,59156,84,"Mary Pardo","0.860",2022
"85",1071,19569,84,"Alexis Dial","0.860",2024
"86",11416,2468,86,"Myah Arrieta","0.859",2025
"87",1170,62591,87,"Madison Primm","0.858",2025
"88",11416,82565,88,"Lauren Wedman","0.856",2021
"89",30013,54229,88,"Taylor Moran","0.856",2018
"90",30262,28319,88,"Sarah Giles","0.856",2025
"91",93,78398,91,"Tereise Tosi","0.855",2025
"92",358,74252,91,"Ann marie Stanbridge","0.855",2023
"93",11416,20095,91,"Ally Distler","0.855",2024
"94",241,11360,94,"Ashley Cangiano","0.854",2023
"95",155,13723,95,"Cassidy Chvatal","0.852",2025
"96",216,8338,95,"Alex Braun","0.852",2021
"97",1083,22324,95,"Angelique Elemen","0.852",2017
"98",30222,59826,95,"Kyleigh Payne","0.852",2018
"99",216,76838,99,"Lydia Taylor","0.851",2022
"100",206,10101,100,"Erikka Burke","0.847",2018
"101",423,1915,100,"Aleese Angelo","0.847",2023
