"","team_id","player_id","rank","player","k_7","season"
"39",12973,62161,39,"Megan Potter","10.2",2022
"40",373,22278,40,"Avery Eiswerth","10.1",2025
"41",114,27969,41,"Anna Gernant","10.1",2018
"42",300,83682,42,"Ally Wiegand","10.0",2019
"43",177,34027,43,"Cami Henry","10.0",2022
"44",1133,72943,44,"Mckenna Smith","10.0",2023
"45",170,66507,45,"Jillian Rogers","10.0",2025
"46",217,24368,46,"Brittany File"," 9.9",2017
"47",745,36961,47,"Hanna Hull"," 9.9",2018
"48",20220,44828,48,"Kennedy Lehn"," 9.8",2022
"49",1179,40502,49,"Tayah Kelley"," 9.8",2022
"50",121,30821,50,"Stefanie Guercio"," 9.8",2019
"51",511,39050,51,"Rachel Johnson"," 9.8",2017
"52",286,39442,52,"Sydney Jones"," 9.8",2018
"53",45,57499,53,"Moira O'reilly"," 9.7",2023
"54",8567,50353,54,"Kamryn Mccool"," 9.7",2021
"55",547,27783,55,"Carly Gemmett"," 9.7",2025
"56",1400,75544,56,"Ashlyn Strother"," 9.7",2022
"57",122,53321,57,"Lexi Miskey"," 9.7",2023
"58",12973,62161,58,"Megan Potter"," 9.6",2017
"59",15,61434,59,"Ashley Pion"," 9.6",2022
"60",60,71891,60,"Kayla Simacek"," 9.6",2023
"61",595,57038,61,"Elly Novak"," 9.6",2021
"62",30190,77823,62,"Mackenzi Tice"," 9.5",2025
"63",382,71375,63,"Charli Shinstine"," 9.5",2022
"64",24,79385,64,"Lorena Ukanwa"," 9.5",2018
"65",1064,69231,65,"Elisabeth Schaffer"," 9.4",2019
"66",200,52553,66,"Alexis Michon"," 9.4",2022
"67",382,71375,67,"Charli Shinstine"," 9.4",2023
"68",120,58446,68,"Amanda Osterhus"," 9.4",2019
"69",40,63688,69,"Nadia Ranieri"," 9.4",2023
"70",1036,25173,70,"Gina Followell"," 9.4",2023
"71",712,55683,71,"Alanna Namit"," 9.3",2018
"72",973,36440,72,"Kassie Howard"," 9.3",2018
"73",88,10677,73,"Avery Byrnes"," 9.3",2023
"74",745,36961,74,"Hanna Hull"," 9.3",2021
"75",88,10677,75,"Avery Byrnes"," 9.3",2022
"76",684,37954,76,"Jenny Jacob"," 9.2",2022
"77",8981,31984,77,"Maria Hanchuk"," 9.2",2022
"78",973,36440,78,"Kassie Howard"," 9.2",2017
"79",8486,71068,79,"Eryn Sheeley"," 9.2",2023
"80",297,20867,80,"Julia Drake"," 9.2",2023
"81",424,9442,81,"Kelsey Bruno"," 9.2",2025
"82",770,28942,82,"Hailey Golembiewski"," 9.1",2022
"83",150,57976,83,"Alyssa Olson"," 9.1",2019
"84",60,71891,84,"Kayla Simacek"," 9.1",2022
"85",279,80824,85,"Diamond Villegas"," 9.1",2019
"86",1468,15152,86,"Cindy Connoly"," 9.1",2018
"87",190,14950,87,"Bailey Comeau"," 9.1",2023
"88",139,48930,88,"Jamie Martin"," 9.1",2025
"89",120,58446,89,"Amanda Osterhus"," 9.1",2017
"90",461,17407,90,"Emily Daciw"," 9.1",2022
"91",565,22449,91,"Gracie Ellis"," 9.1",2022
"92",805,49641,92,"Bella Matthias"," 9.0",2019
"93",46,11082,93,"Nikki Camarati"," 9.0",2019
"94",30037,52553,94,"Alexis Michon"," 9.0",2025
"95",1133,43704,95,"Ana Lang"," 9.0",2025
"96",475,81366,96,"Sydney Waldon"," 9.0",2025
"97",11036,47651,97,"Leah Madore"," 8.9",2025
"98",30037,67012,98,"Adrienne Rosey"," 8.9",2022
"99",221,72135,99,"Erin Sinatra"," 8.9",2025
"100",30197,12059,100,"Kennedy Carruth"," 8.9",2022
