"","team_id","player_id","rank","player","sb","season"
"70",69,23335,69,"Anika Ewert",37,2025
"71",150,39294,69,"Haley Jones",37,2019
"72",279,60368,69,"Lizbeth Perez",37,2024
"73",376,11887,69,"Julia Carpenter",37,2017
"74",411,21684,69,"Hannah Dyer",37,2025
"75",452,33760,69,"Brooklyn Hellman",37,2021
"76",1130,74535,69,"Brooke Stefankiewicz",37,2024
"77",1400,46049,69,"Kyla Lockley",37,2018
"78",1400,40183,69,"Annie Kay",37,2024
"79",1400,2322,69,"Megan Armistead",37,2016
"80",69,23335,80,"Anika Ewert",36,2024
"81",263,63890,80,"Ivy Ray",36,2025
"82",279,19627,80,"Maranda Diaz",36,2018
"83",297,82546,80,"Madisyn Webster",36,2022
"84",300,67566,80,"Jillian Runyon",36,2019
"85",348,40022,80,"Amanda Karnatz",36,2017
"86",745,28941,80,"Jessica Goldyn",36,2019
"87",745,61439,80,"Julia Piotrowski",36,2024
"88",1179,83924,80,"Kelsey Wilkinson",36,2021
"89",1400,63350,80,"Chassety Raines",36,2022
"90",2751,65822,80,"Rachel Roberts",36,2016
"91",11036,71812,80,"Alexa Silk",36,2017
"92",15882,4998,80,"Lauren Begg",36,2024
"93",4,3130,93,"Karson Bagelmann",35,2024
"94",60,23797,93,"Allie Fauth",35,2023
"95",88,53289,93,"Ariana Mirenda",35,2023
"96",190,57264,93,"Molly O'brien",35,2023
"97",221,5941,93,"Marlena Bevilacqua",35,2016
"98",341,36582,93,"Haylee Hseih",35,2022
"99",542,74918,93,"Landry Stewart",35,2025
"100",621,26192,93,"Allison Frost",35,2025
"101",640,54988,93,"Allie Mulhern",35,2022
"102",681,77346,93,"Chelsea Thomas",35,2016
"103",745,28620,93,"Madison Glaubke",35,2019
"104",745,5263,93,"Karley Beltran",35,2024
"105",745,28620,93,"Madison Glaubke",35,2021
"106",783,36249,93,"Ally Horvath",35,2016
"107",795,3458,93,"Brittany Baldwin",35,2017
"108",808,6192,93,"Ama Biney",35,2018
"109",1044,24406,93,"Avery Finch",35,2016
"110",1400,44470,93,"Linzee Leal",35,2025
"111",1400,44470,93,"Linzee Leal",35,2024
"112",21830,74563,93,"Rebekah Stegmayer",35,2019
"113",30084,39072,93,"Sarah Johnson",35,2023
