Rank,Team,Record,Team ID
93,Campbell,30-20-1,115
94,Villanova,24-22-0,739
95,Stony Brook,32-16-0,683
96,ULM,31-24-0,498
97,LMU (CA),26-22-0,370
98,Central Ark.,24-26-1,1004
99,UConn,30-20-0,164
100,North Ala.,35-18-0,487
101,UNLV,31-18-0,465
102,Michigan St.,21-30-0,416
103,Wisconsin,21-30-0,796
104,Southeast Mo. St.,26-24-0,654
105,UAB,24-29-0,9
106,New Mexico St.,30-23-0,472
107,Eastern Ill.,39-15-0,201
108,Lamar University,21-24-0,346
109,Ohio,31-21-0,519
110,Creighton,32-20-0,169
111,Gardner-Webb,31-20-0,1092
112,Sacramento St.,27-18-0,102
113,UAlbany,31-12-0,14
114,Illinois,21-31-0,301
115,Marshall,25-27-0,388
116,UNCW,29-19-0,460
117,Jacksonville St.,23-30-0,315
118,Maryland,23-30-0,392
119,Binghamton,30-15-0,62
120,Ga. Southern,30-21-0,253
121,USC Upstate,27-20-0,10411
122,Lehigh,30-18-0,352
123,Canisius,17-20-0,116
124,Princeton,28-15-0,554
125,Long Beach St.,24-26-0,99
126,Santa Clara,26-20-0,631
127,UNC Greensboro,30-24-0,459
128,Belmont,30-20-0,14927
129,Pittsburgh,17-32-0,545
130,UTEP,27-20-0,704
131,Elon,20-29-0,1068
132,Southern Miss.,22-29-0,664
133,Cal Poly,22-17-0,90
134,FIU,21-29-0,231
135,Queens (NC),29-25-0,11504
136,LIU,30-19-0,361
137,Western Mich.,27-22-0,774
138,Marist,31-15-0,386
139,Dayton,28-19-0,175
140,Saint Mary's (CA),29-20-0,610
141,Bryant,34-16-0,81
142,Utah Valley,23-26-0,30024
143,Southern Ind.,24-20-0,661
144,Dartmouth,18-16-0,172
145,Houston Christian,19-24-0,287
146,Longwood,18-32-0,363
147,UT Martin,28-23-0,695
148,Niagara,25-19-0,482
149,Harvard,25-16-0,275
150,Drake,23-26-0,189
151,Florida A&M,20-18-0,228
152,A&M-Corpus Christi,16-22-0,26172
153,Providence,20-22-1,556
154,Iowa,18-27-0,312
155,Loyola Chicago,26-21-0,371
156,Seton Hall,25-21-0,635
157,Hofstra,19-25-0,283
158,Austin Peay,23-29-0,43
159,Jacksonville,25-24-0,316
160,Charleston So.,22-25-0,48
161,App State,18-29-0,27
162,Tennessee St.,25-24-0,691
163,Seattle U,23-32-0,1356
164,Utah St.,22-28-0,731
165,Bradley,29-27-0,72
166,Oakland,25-17-0,514
167,Radford,23-23-0,563
168,Sam Houston,18-28-0,624
169,Yale,20-26-0,813
170,Toledo,26-22-0,709
171,Northern Colo.,25-22-0,502
172,UT Arlington,21-32-0,702
173,Weber St.,21-27-0,758
174,Lindenwood,25-25-0,30136
175,St. John's (NY),30-26-0,603
176,Winthrop,21-25-0,792
177,Ball St.,26-28-0,47
178,Kent St.,27-23-0,331
179,Central Conn. St.,25-18-0,127
180,Youngstown St.,35-14-0,817
181,Northwestern St.,16-28-0,508
182,San Jose St.,17-26-0,630
183,Hawaii,20-23-0,277
184,Samford,23-31-0,625
185,Howard,29-13-0,290
186,CSUN,23-24-0,101
187,Stetson,15-37-0,678
188,California Baptist,31-22-0,30135
189,Saint Louis,27-20-0,609
190,Mercer,22-29-0,406
191,New Mexico,16-38-0,473
192,Missouri St.,19-31-0,669
193,Kansas City,23-29-0,2707
194,UMBC,20-23-0,391
195,Tarleton St.,22-32-0,1395
196,Akron,23-29-0,5
197,Fordham,23-28-1,236
198,Central Mich.,17-32-0,129
199,Wofford,23-24-0,2915
200,Siena,25-20-0,639
201,UC Riverside,14-27-0,111
202,San Diego,16-33-0,627
203,Illinois St.,23-30-0,299
204,Furman,24-30-0,244
205,Southern Utah,21-29-0,667
206,South Dakota,22-29-0,650
207,Idaho St.,24-25-0,294
208,George Washington,26-23-0,249
209,Rider,19-27-0,576
210,Morgan St.,29-18-0,446
211,Sacred Heart,26-26-0,590
212,Columbia,16-24-0,158
213,George Mason,20-29-0,248
214,UC Santa Barbara,18-27-0,104
215,Colgate,23-28-0,153
216,Bucknell,19-25-0,83
217,Towson,22-31-0,711
218,Butler,23-25-0,87
219,Monmouth,17-32-0,439
220,Saint Joseph's,22-30-0,606
221,Utah Tech,19-31-0,30095
222,Middle Tenn.,21-30-0,419
223,FDU,21-24-0,222
224,UTSA,14-40-0,706
225,Murray St.,24-30-0,454
226,Massachusetts,17-33-0,400
227,Jackson St.,22-12-0,314
228,Indiana St.,20-30-0,305
229,Lipscomb,15-36-0,28600
230,UC Davis,18-28-0,108
231,Alabama St.,24-23-0,7
232,Prairie View,28-18-0,553
233,Kennesaw St.,16-37-0,1157
234,UMass Lowell,15-21-0,368
235,North Dakota St.,17-33-0,493
236,Merrimack,19-34-0,410
237,SIUE,15-35-0,660
238,UC San Diego,14-33-0,112
239,Iona,15-25-0,310
240,Mount St. Mary's,14-30-0,450
241,Army West Point,15-37-0,725
242,Abilene Christian,13-32-0,2
243,Bethune-Cookman,13-30-0,61
244,Coppin St.,21-17-0,165
245,Northern Ky.,21-21-0,505
246,Portland St.,20-23-0,550
247,St. Thomas (MN),16-33-0,620
248,Tennessee Tech,23-24-0,692
249,Western Caro.,18-34-0,769
250,Pacific,16-33-0,534
251,UIC,19-35-0,302
252,Drexel,12-30-0,191
253,Penn,11-28-0,540
254,NIU,18-34-0,503
255,Buffalo,16-32-0,86
256,SFA,16-36-0,676
257,N.C. Central,20-34-0,489
258,Memphis,6-44-0,404
259,Brown,18-24-0,80
260,Cleveland St.,18-23-0,148
261,Quinnipiac,15-23-0,562
262,Col. of Charleston,8-36-0,1014
263,Georgia St.,11-42-0,254
264,Manhattan,10-35-0,381
265,Texas Southern,20-18-0,699
266,Fairfield,13-31-0,220
267,Robert Morris,19-22-0,579
268,Georgetown,13-30-0,251
269,Evansville,16-36-0,219
270,Maine,4-41-0,380
271,Rhode Island,15-34-0,572
272,Morehead St.,12-28-0,444
273,N.C. A&T,12-36-0,488
274,Le Moyne,15-39-0,349
275,Hampton,16-33-0,270
276,North Dakota,14-42-0,494
277,ETSU,11-39-0,198
278,Tex. A&M-Commerce,9-42-0,199
279,Stonehill,13-35-0,682
280,Western Ill.,16-34-0,771
281,Bellarmine,13-31-1,52
282,Presbyterian,15-36-0,1320
283,DePaul,9-34-0,176
284,Ark.-Pine Bluff,14-26-0,2678
285,Bowie St.,1-5-0,70
286,Southern U.,13-22-0,665
287,Saint Peter's,14-33-0,617
288,Valparaiso,9-38-0,735
289,IUPUI,13-37-0,2699
290,South Carolina St.,10-28-0,647
291,Cornell,8-29-0,167
292,Montana,13-33-0,441
293,Purdue Fort Wayne,14-33-0,308
294,Alcorn,9-31-0,17
295,Holy Cross,14-36-0,285
296,Wagner,5-27-0,748
297,Bowling Green,6-38-0,71
298,Green Bay,9-38-0,794
299,Grambling,8-31-0,261
300,UMES,8-31-0,393
301,Lafayette,5-37-0,342
302,Tuskegee,2-4-0,720
303,CSU Bakersfield,5-41-0,94
304,St. Bonaventure,4-36-0,596
305,Alabama A&M,7-22-0,6
306,Delaware St.,14-25-0,178
307,Detroit Mercy,6-38-0,184
308,Norfolk St.,4-41-0,485
309,Mississippi Val.,2-26-0,432
