Rank,Team,Record,Team ID
96,Spring Hill,25-15-0,30191
97,Charleston (WV),35-17-0,1013
98,North Greenville,34-20-0,9223
99,Portland St.,2-0-0,550
100,Catawba,21-21-0,1001
101,Augusta,26-23-0,39
102,Southern Nazarene,26-20-0,30152
103,Glenville St.,33-15-0,1098
104,McKendree,29-17-0,30138
105,Lewis,33-19-0,354
106,St. Edward's,23-25-0,1334
107,Georgia College,19-23-0,1096
108,St. Thomas Aquinas,31-21-0,1348
109,Grand Valley St.,27-26-0,262
110,CSUSB,22-24-0,93
111,Azusa Pacific,28-19-0,30146
112,Bentley,25-21-0,56
113,Ohio Dominican,26-24-0,30119
114,Concordia-St. Paul,25-29-0,9081
115,Trevecca Nazarene,22-19-0,30002
116,King (TN),26-22-0,30051
117,Lee,23-24-0,30013
118,Fairmont St.,33-19-1,1076
119,Lubbock Christian,32-20-0,30177
120,Ill. Springfield,30-18-0,30050
121,Northwood,28-20-0,510
122,UNC Pembroke,24-22-0,537
123,Mount Olive,23-24-0,1245
124,Cal St. Monterey Bay,23-24-0,30055
125,Tuskegee,22-7-0,720
126,Southern Wesleyan,27-15-0,30192
127,Bridgeport,33-16-0,74
128,Chico St.,17-20-0,95
129,UC-Colo. Springs,30-23-0,9754
130,Dominican (CA),29-21-0,30118
132,Wayne St. (NE),27-23-0,1433
133,Northwest Mo. St.,20-24-0,507
134,Anderson (SC),27-23-0,13028
135,Maryville (MO),22-26-0,395
136,West Liberty,31-24-0,1438
137,Slippery Rock,29-21-0,643
138,Fort Hays St.,24-21-0,9011
139,Southeastern Okla.,23-25-0,1371
140,Truman St.,24-22-0,499
141,Southern N.H.,25-19-0,468
142,Wayne St. (MI),24-30-0,757
143,Simon Fraser,23-21-0,30127
144,Adelphi,24-27-0,3
145,Lynn,15-26-0,20794
146,Seton Hill,27-17-0,30063
147,Wis.-Parkside,27-24-0,799
148,Newberry,22-28-0,1257
149,Arkansas Tech,23-27-0,947
150,Missouri S&T,19-28-0,435
151,CSU Pueblo,26-19-0,2720
152,Eastern N.M.,26-24-0,206
153,Minot St.,21-21-0,30125
154,Tex. A&M-Kingsville,22-26-0,696
155,Tex. A&M Int'l,18-29-0,30090
156,Southwest Minn. St.,29-22-0,8736
157,Hawaii Hilo,24-18-0,2697
158,Assumption,21-27-0,36
159,Mars Hill,18-22-0,1199
160,Saint Michael's,17-18-1,613
161,Henderson St.,25-21-0,1123
162,Limestone,11-22-0,1174
163,Lock Haven,15-27-0,360
164,St. Lawrence,1-1-0,607
165,Rockhurst,18-25-0,1328
166,Indiana (PA),26-20-0,307
167,Davis & Elkins,26-25-0,174
168,St. Anselm,23-16-0,593
169,Caldwell,23-24-0,995
170,Southwestern Okla.,20-23-0,8744
171,Texas Woman's,17-29-0,701
172,Gannon,29-19-0,246
173,Neb.-Kearney,19-26-0,1156
174,Bowie St.,27-18-0,70
175,Franklin Pierce,22-19-0,241
176,Young Harris,21-22-0,30154
177,Northeastern St.,13-30-0,12810
178,Mont. St. Billings,16-21-0,205
179,Black Hills St.,24-22-0,30134
180,Emmanuel (GA),22-27-0,30193
181,Texas-Dallas,12-17-0,23121
182,Palm Beach Atl.,6-26-0,30045
184,Northwest Nazarene,19-21-0,1274
185,Sioux Falls,20-26-0,30128
186,Colo. Sch. of Mines,21-28-0,155
187,Ashland,21-21-0,35
188,Fort Valley St.,18-18-0,237
189,Regis (CO),21-25-0,568
190,Millersville,21-29-0,423
191,William Peace,2-0-0,17094
192,Mo.-St. Louis,18-23-0,436
193,Chowan,18-28-0,8875
194,William Jewell,22-26-0,30120
196,Western Ore.,11-32-0,1446
197,MSU Moorhead,16-34-0,1240
198,Molloy,19-31-0,437
199,Fla. Southern,7-39-0,233
200,Bemidji St.,19-29-0,54
201,Concord,23-24-0,1028
202,Midwestern St.,19-29-0,1222
203,UVA Wise,20-26-0,30181
204,Edward Waters,20-16-0,30244
205,Belmont Abbey,19-25-0,2683
206,Mary Hardin-Baylor,2-2-0,1203
206,St. Thomas (TX),1-1-0,2810
208,Cedarville,16-28-0,30124
209,D'Youville,23-20-0,1059
210,Purdue Northwest,14-32-1,30222
211,Christian Brothers,12-27-0,1015
212,Felician,17-26-0,23157
213,Ouachita Baptist,18-31-0,1289
214,Albany St. (GA),20-12-0,13
215,Southwest Baptist,13-25-0,2755
216,Minn.-Crookston,16-28-0,27854
217,Western N.M.,13-35-0,1445
218,Mercy,23-22-0,407
219,Thomas More,21-25-0,1402
220,Chadron St.,22-28-0,1012
221,Ark.-Monticello,14-30-0,8411
222,Jefferson,16-25-0,543
223,Georgian Court,18-24-0,9004
224,Converse,18-25-0,8935
225,Stanislaus St.,9-33-0,103
226,East Central,12-26-0,8965
227,Union (TN),10-36-0,30153
228,Dominican (NY),16-27-0,8956
229,Malone,19-20-0,30137
230,Holy Family,18-21-0,1126
231,Mansfield,8-32-0,384
232,Hawaii Pacific,14-30-0,2696
233,California (PA),18-33-0,106
234,Coker,12-28-0,1023
235,Delta St.,12-35-0,181
236,Staten Island,19-21-0,675
237,Lincoln (MO),14-31-0,356
238,West Va. Wesleyan,16-28-0,9630
239,Northern St.,10-36-0,1266
240,Davenport,18-30-0,30221
241,American Int'l,11-21-0,22
242,Lane,11-23-0,347
243,Northwestern Okla.,12-33-0,30178
244,Upper Iowa,12-30-0,728
246,Winston-Salem,19-12-0,791
247,Ursuline,10-28-0,30140
248,Ark.-Pine Bluff,2-3-0,2678
249,Benedict,17-19-0,55
250,Miles,12-26-0,422
251,Frostburg St.,12-35-0,243
252,Academy of Art,11-38-0,30123
254,Queens (NY),9-27-0,560
255,Shorter,13-29-0,30151
256,New Haven,11-30-0,470
257,Southern Conn. St.,15-23-0,658
258,Salem (WV),23-26-0,19117
259,Central Wash.,6-27-0,1010
260,Lincoln (PA),14-27-0,357
261,Virginia St.,14-14-0,743
262,Pitt.-Johnstown,11-29-0,546
263,Savannah St.,12-20-0,632
264,Sul Ross St.,10-38-0,1390
265,Claflin,18-22-0,30058
266,Erskine,8-32-0,1072
267,Chaminade,8-34-0,133
268,N.M. Highlands,9-35-0,8577
269,Newman,5-38-0,30054
270,Clarion,12-28-0,143
271,Walsh,10-30-0,30141
272,West Virginia St.,12-32-0,1439
273,Fort Lewis,9-33-0,1083
274,Wheeling,11-42-0,12799
275,Menlo,8-42-0,405
277,Chestnut Hill,16-27-1,21323
278,Ky. Wesleyan,10-33-0,333
279,Edinboro,7-31-0,209
280,Lees-McRae,8-33-0,13302
281,Howard Payne,1-3-0,2741
281,LeTourneau,1-3-0,8490
283,Quincy,7-38-0,561
284,Kentucky St.,9-17-0,332
285,Mary,5-39-0,30075
286,LeMoyne-Owen,4-16-0,350
287,Adams St.,4-47-0,929
288,Lake Erie,2-44-0,2746
289,Elizabeth City St.,7-25-0,210
290,Shaw,6-20-0,636
291,Fayetteville St.,8-20-0,223
292,Virginia Union,6-21-0,744
293,Bluefield St.,10-19-0,985
294,Post,4-38-0,1318
295,Tex. Permian Basin,0-10-0,30088
296,Plattsburgh St.,0-2-0,547
297,Clark Atlanta,6-29-0,144
298,Allen,3-24-0,30240
299,Bloomfield,0-35-0,984
300,Penn College,0-1-0,30190
301,Wesleyan (GA),0-4-0,14718
302,Carlow,0-3-0,30253
302,Waynesburg,0-2-0,1434
304,Livingstone,3-16-0,359
305,Johnson C. Smith,1-8-0,323
306,Albion,0-1-0,15
306,Gwynedd Mercy,0-2-0,12399
306,N.C. Wesleyan,0-1-0,491
306,Rosemont,0-1-0,15882
306,Valley Forge,0-1-0,30166
311,Westminster (MO),0-2-0,1450
312,Southern Va.,0-2-0,30164
313,Covenant,0-1-0,30111
314,Concordia-M'head,0-2-0,161
