"","team_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"71",522,2019,"Sydney Romero",204,87,17,4,19,55,67,13,2,10,8,0,"0.426",0.449,"1.277"
"72",388,2019,"Aly Harrell",140,48,10,0,13,39,34,65,17,12,0,1,"0.343",0.58,"1.273"
"73",249,2019,"Jenna Cone",187,71,12,2,20,67,53,28,14,16,0,0,"0.380",0.483,"1.269"
"74",430,2019,"Macey Petrey",5,3,0,0,0,3,0,1,0,2,1,0,"0.600",0.667,"1.267"
"75",627,2019,"Kelly Clanton",6,3,1,0,0,2,1,2,1,1,0,0,"0.500",0.6,"1.267"
"76",28,2019,"Morgan Howe",161,65,15,4,12,59,55,28,3,19,10,1,"0.404",0.495,"1.265"
"77",603,2019,"Marissa Rizzi",136,55,11,1,12,34,42,20,6,17,10,2,"0.404",0.5,"1.265"
"78",742,2019,"Stacy Kalt",6,2,0,0,1,1,14,1,0,2,11,2,"0.333",0.429,"1.262"
"79",748,2019,"Christina Harkins",6,2,0,0,1,5,1,1,0,2,0,0,"0.333",0.429,"1.262"
"80",311,2019,"Sami Williams",200,81,25,2,16,39,57,26,1,26,10,2,"0.405",0.47,"1.260"
"81",317,2019,"Sara Jubas",154,64,17,0,12,56,50,26,5,7,4,5,"0.416",0.497,"1.257"
"82",522,2019,"Jocelyn Alo",166,65,13,0,16,56,38,30,7,19,1,2,"0.392",0.498,"1.257"
"83",463,2019,"Tristen Edwards",147,55,12,0,15,50,41,31,5,28,12,3,"0.374",0.492,"1.254"
"84",86,2019,"Jenna Richmond",8,3,0,0,1,2,2,2,0,2,0,0,"0.375",0.5,"1.250"
"85",237,2019,"Shakerra Geter",4,1,0,0,1,1,1,0,0,0,0,0,"0.250",0.25,"1.250"
"86",313,2019,"Nikkey Skuraton",2,1,0,0,0,0,1,1,1,0,0,0,"0.500",0.75,"1.250"
"87",356,2019,"Rachael Balke",4,2,1,0,0,1,1,0,0,0,2,0,"0.500",0.5,"1.250"
"88",596,2019,"Alex Siebert",2,1,0,0,0,0,2,2,0,0,1,0,"0.500",0.75,"1.250"
"89",649,2019,"Callie Wethor",4,2,1,0,0,1,1,0,0,1,0,0,"0.500",0.5,"1.250"
"90",746,2019,"Lacy Smith",162,67,15,0,15,43,30,16,0,17,0,0,"0.414",0.464,"1.248"
"91",191,2019,"Kristi Dimeo",196,79,17,1,18,73,44,23,3,10,0,0,"0.403",0.469,"1.245"
"92",234,2019,"Sydney Sherrill",182,74,18,0,15,59,59,34,1,15,8,0,"0.407",0.491,"1.244"
"93",1092,2019,"Autumn Owen",146,56,12,3,13,50,41,25,3,18,10,2,"0.384",0.469,"1.243"
"94",10411,2019,"Bree Comer",6,3,1,0,0,1,1,1,0,1,1,0,"0.500",0.571,"1.238"
"95",711,2019,"Nicole Stockinger",143,50,12,2,15,45,46,29,1,7,4,2,"0.350",0.46,"1.236"
"96",102,2019,"Mo Spieth",33,13,3,0,3,13,8,6,1,10,0,0,"0.394",0.476,"1.234"
"97",518,2019,"Lilli Piper",162,70,11,1,10,33,55,35,0,9,18,1,"0.432",0.533,"1.231"
"98",302,2019,"Skylee James",167,75,19,1,8,47,48,21,0,15,4,1,"0.449",0.5,"1.219"
"99",756,2019,"Morganne Flores",175,60,6,1,23,59,44,31,4,17,0,0,"0.343",0.436,"1.219"
"100",5,2019,"Sydney Jascoe",96,38,7,0,9,26,18,8,8,9,6,0,"0.396",0.466,"1.216"
"101",72,2019,"Kealia Wysocki",109,38,7,1,13,38,17,10,5,20,0,0,"0.349",0.427,"1.216"
"102",365,2019,"Shelbi Sunseri",159,54,14,0,17,60,30,37,5,33,0,0,"0.340",0.468,"1.216"
"103",244,2019,"Marissa Guimbarda",142,49,6,1,17,43,22,27,3,31,1,0,"0.345",0.454,"1.215"
"104",29,2019,"Dejah Mulipola",165,51,7,0,22,52,48,42,5,45,1,1,"0.309",0.462,"1.214"
