"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"78",13,19195,2025,"Aniyah Dixon",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"79",40,33475,2025,"Abby Hironimus",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"80",43,51370,2025,"Kam Moore",1,1,0,0,0,0,4,0,0,0,0,0,"1.000",1,"2.000"
"81",47,51786,2025,"Aislinn Morris",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"82",62,50583,2025,"Rebecca Minnichbach",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"83",90,16367,2025,"Natalie Curran",2,2,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"84",95,29788,2025,"Elisa Haas",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"85",98,51489,2025,"Amelia Morales",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"86",98,29531,2025,"Luda Gumataotao",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"87",99,22047,2025,"Erica Estrada",1,1,0,0,0,0,3,1,0,0,1,0,"1.000",1,"2.000"
"88",110,55553,2025,"Liesl Osteen",1,1,0,0,0,1,3,0,0,0,0,0,"1.000",1,"2.000"
"89",142,75112,2025,"Avia Tuguldur",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"90",143,67087,2025,"Malina Serrano",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"91",155,4283,2025,"Katie Bauer",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"92",178,16010,2025,"Emma Crowe",1,1,0,0,0,1,1,2,0,0,0,0,"1.000",1,"2.000"
"93",178,68836,2025,"Jaylyn Slater",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"94",178,19446,2025,"Leilah Dominguez",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"95",181,16674,2025,"Laney Daigrepont",6,6,0,0,0,4,0,0,0,0,0,0,"1.000",1,"2.000"
"96",205,37912,2025,"Jazlyn Kalehuawehe",2,2,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"97",205,25558,2025,"Kaylin Galvin",2,2,0,0,0,0,0,2,0,0,0,0,"1.000",1,"2.000"
"98",248,64888,2025,"Emma Salzman",2,2,0,0,0,1,4,0,0,0,4,1,"1.000",1,"2.000"
"99",270,15763,2025,"Cheyenne Crenshaw",1,1,0,0,0,2,5,2,0,0,3,0,"1.000",1,"2.000"
"100",291,58865,2025,"Rayna Ponce",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"101",341,12293,2025,"Ava Chacon",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"102",341,26913,2025,"Cassie Gilbert",3,3,0,0,0,2,1,0,0,0,0,0,"1.000",1,"2.000"
"103",342,63698,2025,"Dani Rosner",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"104",346,30205,2025,"Neveah Hallmark",1,1,0,0,0,2,0,0,0,0,0,0,"1.000",1,"2.000"
"105",359,159,2025,"Dusti Abshire",2,2,0,0,0,0,0,1,0,0,0,1,"1.000",1,"2.000"
"106",365,57783,2025,"Sydney Peterson",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"107",396,31072,2025,"Olivia Harris",2,2,0,0,0,1,1,2,0,0,1,0,"1.000",1,"2.000"
"108",396,63451,2025,"Tate Romero",2,2,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"109",409,33012,2025,"Kailey Hicks",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"110",419,81403,2025,"Avery Wynne",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000"
"111",426,6117,2025,"Madeline Black",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000"
"112",427,40759,2025,"Noelle Krumrie",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000"
"113",434,67650,2025,"Kadence Shepherd",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"114",457,56311,2025,"Erin Parker",1,1,0,0,0,2,1,1,0,0,0,0,"1.000",1,"2.000"
"115",488,21439,2025,"Megan Ellis",3,3,0,0,0,0,1,2,0,0,2,0,"1.000",1,"2.000"
"116",488,80008,2025,"Roshell Williams",1,1,0,0,0,0,0,0,0,0,0,1,"1.000",1,"2.000"
"117",503,56986,2025,"Brianna Pechman",1,1,0,0,0,0,2,0,0,0,0,1,"1.000",1,"2.000"
"118",519,11318,2025,"Emily Caron",2,2,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"119",537,10539,2025,"Cirstin Calloway",6,4,1,0,1,3,4,0,0,1,1,0,"0.667",0.667,"2.000"
"120",539,36835,2025,"Jordyn Jochims",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"121",539,14010,2025,"Lydia Coleman",2,2,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"122",542,2617,2025,"Natalie Auman",1,1,0,0,0,1,0,0,0,0,1,0,"1.000",1,"2.000"
"123",545,58485,2025,"Amaya Pitt",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"124",549,53630,2025,"Jiselle Nguyen",1,1,0,0,0,0,1,0,2,0,0,0,"1.000",1,"2.000"
"125",549,62564,2025,"Sophia Roberts",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"126",566,78175,2025,"Zoe Watson",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000"
"127",567,71375,2025,"Alyson Stofia",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000"
"128",612,36921,2025,"Bailey Johnson",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"129",639,2002,2025,"Laila Aponte",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"130",641,65927,2025,"Allison Schertz",1,1,0,0,0,2,0,0,0,0,0,0,"1.000",1,"2.000"
"131",648,23725,2025,"Mya Flindt",2,2,0,0,0,4,0,0,0,0,0,0,"1.000",1,"2.000"
"132",648,28881,2025,"Sam Gress",1,1,0,0,0,0,1,0,1,0,0,0,"1.000",1,"2.000"
"133",650,11060,2025,"Isabel Carda",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"134",651,77726,2025,"Sam Walz",1,1,0,0,0,2,1,1,0,0,1,1,"1.000",1,"2.000"
"135",669,6567,2025,"Elizabeth Bobbitt",1,1,0,0,0,0,2,0,1,0,0,0,"1.000",1,"2.000"
"136",674,57398,2025,"Mylia Perez",1,1,0,0,0,0,3,0,0,0,1,0,"1.000",1,"2.000"
"137",674,53366,2025,"Taylor Nelson",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"138",711,5286,2025,"Kaci Benton",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"139",715,77913,2025,"Riley Warnica",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"140",716,79953,2025,"Laney Williams",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"141",745,75086,2025,"Morgan Tucker",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"142",782,3595,2025,"Chloe Barber",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"143",790,36837,2025,"Braelee Jodarski",18,9,0,0,6,17,9,0,1,4,0,0,"0.500",0.5,"2.000"
"144",799,37138,2025,"Mia Johnson",12,7,0,0,3,5,8,3,0,1,2,0,"0.583",0.667,"2.000"
"145",800,73317,2025,"Felicia Teubert",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"146",800,65586,2025,"Mia Savage",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"147",996,66060,2025,"Tinley Schmidgall",2,2,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"148",1001,51085,2025,"Alexis Monroe",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"149",1023,32879,2025,"Tibby Hessian",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"150",1062,30365,2025,"Cailynn Hammer",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"151",1062,67864,2025,"Maci Shirley",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"152",1068,80267,2025,"Kayla Wilson",2,1,0,1,0,1,1,0,0,0,0,0,"0.500",0.5,"2.000"
"153",1072,36978,2025,"Emily Johnson",2,2,0,0,0,1,0,1,0,0,1,0,"1.000",1,"2.000"
"154",1097,27077,2025,"Simone Gillispie",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"155",1157,5676,2025,"Alora Bevily",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"156",1170,26622,2025,"Camden Gerland",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000"
"157",1199,74173,2025,"Katie Todd",3,2,0,1,0,3,2,0,0,0,0,0,"0.667",0.667,"2.000"
"158",1266,33571,2025,"Abby Hobza",2,1,0,1,0,2,4,0,0,0,0,0,"0.500",0.5,"2.000"
"159",1266,7037,2025,"Elsa Borchert",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"160",1266,37481,2025,"Madi Jones",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"161",1274,9232,2025,"Molly Buckingham",1,1,0,0,0,0,0,0,0,0,1,0,"1.000",1,"2.000"
"162",1438,57513,2025,"Brooke Perri",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"163",2678,35257,2025,"Traelen Humphrey",1,1,0,0,0,0,0,0,1,0,0,0,"1.000",1,"2.000"
"164",2755,27401,2025,"Graccee Godfrey",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"165",2814,7477,2025,"Karlyn Bowman",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000"
"166",8490,1283,2025,"Paiton Altmiller",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"167",9223,2960,2025,"Gabrielle Badillo",2,2,0,0,0,0,4,1,0,0,2,0,"1.000",1,"2.000"
"168",23008,31535,2025,"Morgan Haupt",2,2,0,0,0,1,2,1,0,0,0,0,"1.000",1,"2.000"
"169",30028,30034,2025,"Trinity Hale",1,1,0,0,0,1,2,2,0,0,1,0,"1.000",1,"2.000"
"170",30031,4754,2025,"Kate Beer",4,3,0,1,0,1,2,0,0,0,0,0,"0.750",0.75,"2.000"
"171",30051,77296,2025,"Olesia Walch",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"172",30052,37185,2025,"Sadye Johnson",5,3,1,0,1,3,2,0,0,0,0,0,"0.600",0.6,"2.000"
"173",30094,69007,2025,"Addison Smith",2,2,0,0,0,0,3,1,0,0,0,0,"1.000",1,"2.000"
"174",30094,59904,2025,"Karley Queen",3,3,0,0,0,2,2,0,0,0,0,0,"1.000",1,"2.000"
"175",30094,37494,2025,"Michaela Jones",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"176",30094,46787,2025,"Olivia Martinez",2,2,0,0,0,2,2,2,0,0,0,0,"1.000",1,"2.000"
"177",30120,62437,2025,"Claudia Robbins",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"178",30177,22597,2025,"Reese Farrar",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"179",30180,8867,2025,"Saylor Brown",2,2,0,0,0,3,0,2,0,0,0,0,"1.000",1,"2.000"
"180",30192,67896,2025,"Josie Shoemaker",3,2,0,1,0,2,3,0,0,0,1,0,"0.667",0.667,"2.000"
"181",30198,29474,2025,"Makenzie Guiliano",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"182",30199,15356,2025,"Alexa Couto",2,2,0,0,0,1,2,1,0,0,1,0,"1.000",1,"2.000"
"183",30202,7057,2025,"Alli Bordwine",1,1,0,0,0,0,3,0,0,0,1,0,"1.000",1,"2.000"
"184",30220,64782,2025,"Leilani Salgado",1,1,0,0,0,0,2,0,0,0,0,0,"1.000",1,"2.000"
"185",30244,70284,2025,"Klaire Spooner",1,1,0,0,0,0,2,2,0,0,0,0,"1.000",1,"2.000"
"186",790,38491,2025,"Sam Keller",19,13,5,0,2,11,6,3,0,0,0,0,"0.684",0.727,"1.990"
"187",11740,30897,2025,"Hannah Harper",14,8,2,0,3,5,5,2,0,1,1,0,"0.571",0.625,"1.982"
"188",14718,48222,2025,"Sydnee Mcelveen",7,5,3,0,0,3,3,5,0,0,1,0,"0.714",0.833,"1.976"
"189",472,25827,2025,"Lauren Garcia",23,14,4,0,4,12,10,4,0,1,0,0,"0.609",0.667,"1.971"
"190",696,22180,2025,"Lindsey Evans",21,15,4,0,2,7,9,5,1,3,2,0,"0.714",0.778,"1.968"
"191",1000,62444,2025,"Mari Robbins",18,8,0,0,6,10,10,3,0,6,4,0,"0.444",0.524,"1.968"
"192",254,74007,2025,"Gabby Tillis",5,3,0,0,1,1,2,0,3,1,0,0,"0.600",0.75,"1.950"
"193",655,8604,2025,"Brilee Broussard",5,3,0,0,1,2,10,3,0,0,7,0,"0.600",0.75,"1.950"
