"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"4438",482,16585,2022,"Madison Rastello",63,9,0,0,0,2,1,3,2,18,0,0,"0.143",0.192,"0.335"
"4439",30024,8423,2022,"Kyla Hardy",57,9,0,0,0,3,7,0,2,13,0,0,"0.158",0.177,"0.335"
"4440",7,2388,2022,"Olivia Brown",6,1,0,0,0,1,0,0,0,4,0,0,"0.167",0.167,"0.334"
"4441",7,5200,2022,"Zoee Disroe",12,2,0,0,0,1,7,0,0,5,3,2,"0.167",0.167,"0.334"
"4442",115,2451,2022,"Bri Bryant",6,1,0,0,0,0,0,0,0,3,0,0,"0.167",0.167,"0.334"
"4443",180,20713,2022,"Zoey Valentino",12,2,0,0,0,2,0,0,0,4,0,0,"0.167",0.167,"0.334"
"4444",191,207,2022,"Brianna Alamillo",6,1,0,0,0,0,0,0,0,1,0,0,"0.167",0.167,"0.334"
"4445",457,21530,2022,"Regan Weisner",6,1,0,0,0,0,0,0,0,2,0,0,"0.167",0.167,"0.334"
"4446",460,10357,2022,"Casey Jones",6,1,0,0,0,2,0,0,0,2,0,0,"0.167",0.167,"0.334"
"4447",472,11864,2022,"Kendra Levesque",6,1,0,0,0,1,0,0,0,4,0,0,"0.167",0.167,"0.334"
"4448",509,19308,2022,"Sammy Stanley",6,1,0,0,0,0,13,0,0,3,6,3,"0.167",0.167,"0.334"
"4449",522,835,2022,"Jordyn Bahl",6,1,0,0,0,1,1,0,0,0,0,0,"0.167",0.167,"0.334"
"4450",603,2340,2022,"Erin Brown",6,1,0,0,0,0,0,0,0,1,0,0,"0.167",0.167,"0.334"
"4451",720,15460,2022,"Alexis Paredes",6,1,0,0,0,1,1,0,0,2,0,0,"0.167",0.167,"0.334"
"4452",725,3192,2022,"Jiselle Castano",15,1,0,0,1,3,1,0,0,5,0,0,"0.067",0.067,"0.334"
"4453",14,19776,2022,"Mckenzie Swinson",2,0,0,0,0,0,9,1,0,1,4,1,"0.000",0.333,"0.333"
"4454",52,11771,2022,"Claire Lehmkuhler",2,0,0,0,0,0,1,0,1,1,0,0,"0.000",0.333,"0.333"
"4455",61,15219,2022,"Hannah Ortega",2,0,0,0,0,0,0,1,0,0,0,0,"0.000",0.333,"0.333"
"4456",61,4759,2022,"Shania Davis",2,0,0,0,0,0,0,1,0,0,0,0,"0.000",0.333,"0.333"
"4457",94,20121,2022,"Tayler Thomas",2,0,0,0,0,0,0,0,1,0,0,0,"0.000",0.333,"0.333"
"4458",147,19610,2022,"Abi Stuart",4,0,0,0,0,0,1,2,0,3,0,0,"0.000",0.333,"0.333"
"4459",178,7434,2022,"Sydney Glisson",2,0,0,0,0,0,1,1,0,1,1,0,"0.000",0.333,"0.333"
"4460",184,14458,2022,"Liz Murphy",2,0,0,0,0,0,0,1,0,0,0,0,"0.000",0.333,"0.333"
"4461",220,3771,2022,"Ava Cohen",2,0,0,0,0,0,5,1,0,2,1,2,"0.000",0.333,"0.333"
"4462",220,22030,2022,"Maddy Wilson",4,0,0,0,0,0,0,2,0,2,0,0,"0.000",0.333,"0.333"
"4463",235,13665,2022,"Marissa Mesiemore",2,0,0,0,0,1,0,0,1,2,0,0,"0.000",0.333,"0.333"
"4464",236,13131,2022,"Mallory Mcclellan",2,0,0,0,0,1,7,1,0,2,0,0,"0.000",0.333,"0.333"
"4465",313,3861,2022,"Kailey Collins",4,0,0,0,0,0,0,2,0,1,0,0,"0.000",0.333,"0.333"
"4466",313,6452,2022,"Kira Flegenheimer",2,0,0,0,0,0,0,1,0,2,0,0,"0.000",0.333,"0.333"
"4467",414,10435,2022,"Sidney Jones",2,0,0,0,0,0,1,1,0,1,0,0,"0.000",0.333,"0.333"
"4468",497,22453,2022,"Meagan Youngman",4,0,0,0,0,1,3,1,1,1,0,0,"0.000",0.333,"0.333"
"4469",534,7408,2022,"Hannah Glad",6,0,0,0,0,0,0,2,1,3,0,0,"0.000",0.333,"0.333"
"4470",563,19219,2022,"Emily Spingarn",4,0,0,0,0,0,0,1,1,2,0,0,"0.000",0.333,"0.333"
"4471",590,8100,2022,"Kiley Gurysh",26,3,1,0,0,2,1,2,0,7,0,0,"0.115",0.179,"0.333"
"4472",609,20769,2022,"Jaci Vanderloo",2,0,0,0,0,0,1,1,0,1,0,0,"0.000",0.333,"0.333"
"4473",624,7619,2022,"Caitlyn Goodeaux",2,0,0,0,0,0,6,1,0,2,3,1,"0.000",0.333,"0.333"
"4474",669,19808,2022,"Jacie Taber",2,0,0,0,0,0,1,1,0,0,0,0,"0.000",0.333,"0.333"
"4475",670,5604,2022,"Kaitlyn Dutton",2,0,0,0,0,1,0,1,0,1,0,0,"0.000",0.333,"0.333"
"4476",694,19927,2022,"Katie Taylor",2,0,0,0,0,0,19,1,0,2,6,3,"0.000",0.333,"0.333"
"4477",709,2124,2022,"Bella Brass",2,0,0,0,0,0,1,0,1,0,0,0,"0.000",0.333,"0.333"
"4478",720,12651,2022,"Jayme Marbury",2,0,0,0,0,0,0,1,0,0,0,0,"0.000",0.333,"0.333"
"4479",732,8507,2022,"Hailey Harris",2,0,0,0,0,0,0,1,0,2,0,0,"0.000",0.333,"0.333"
"4480",743,978,2022,"Serenity Barbee",2,0,0,0,0,1,0,1,0,1,0,0,"0.000",0.333,"0.333"
"4481",782,6001,2022,"Madyson Espinosa",4,0,0,0,0,0,13,2,0,1,0,0,"0.000",0.333,"0.333"
"4482",1068,21478,2022,"Mckenzie Weber",4,0,0,0,0,0,0,2,0,4,0,0,"0.000",0.333,"0.333"
"4483",30095,6066,2022,"Ellie Evans",4,0,0,0,0,0,10,1,1,2,6,3,"0.000",0.333,"0.333"
"4484",244,11600,2022,"Kaitlyn Laudick",38,4,1,0,0,4,1,5,0,8,0,0,"0.105",0.2,"0.332"
