"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"10723","4492847","Hawaii","Rutgers",38230,"Addison Kostrencich",3,8,8,2,0,0,18,0,6,2
"10724","4500827","Saint Benedict","Chris. Newport",7105,"Addy Bowne",3,4,5,2,0,1,15,1,4,4
"10725","4498820","East Carolina","N.C. Central",8929,"Addy Bullis",3,1,0,1,0,4,11,0,0,4
"10726","4497070","East Carolina","Col. of Charleston",8929,"Addy Bullis",3,7,1,1,0,0,15,0,2,5
"10727","4500141","Miami (OH)","Louisiana",34522,"Addy Jarvis",3,3,6,2,2,1,16,2,5,3
"10728","4501865","Miami (OH)","Jacksonville St.",34522,"Addy Jarvis",3,5,3,2,0,2,16,3,3,4
"10729","4497202","Houston Christian","Western Caro.",56126,"Addy Prasifka",3,3,0,0,0,2,13,0,1,6
"10730","5247366","Central Conn. St.","Holy Cross",27120,"Adrianna Green",3,2,0,2,0,2,12,0,3,3
"10731","4498439","Webster","Rhodes",31686,"Ainsley Hinz",3,5,3,3,0,2,19,0,4,2
"10732","4503729","Fla. Atlantic","UAB",39166,"Ainsley Lambert",3,4,0,0,0,4,13,0,1,3
"10733","4500120","Fla. Atlantic","South Dakota St.",39166,"Ainsley Lambert",3,0,0,0,0,6,10,0,0,3
"10734","4497701","Fla. Atlantic","Louisville",39166,"Ainsley Lambert",3,2,0,1,0,1,12,0,2,6
"10735","4498796","Fla. Atlantic","Boston College",39166,"Ainsley Lambert",3,2,1,1,1,3,13,0,4,2
"10736","5245200","Fla. Atlantic","Michigan St.",39166,"Ainsley Lambert",3,2,1,0,0,3,10,1,1,4
"10737","4499751","Arizona","Central Mich.",64634,"Aissa Silva",3,1,0,0,1,4,11,0,3,2
"10738","4498397","Arizona","Arkansas",64634,"Aissa Silva",3,3,0,1,0,0,13,0,0,9
"10739","4498604","Arizona","Omaha",64634,"Aissa Silva",3,2,0,0,0,4,11,0,2,3
"10740","4503669","Arizona","Washington",64634,"Aissa Silva",3,6,4,1,0,2,16,0,2,5
"10741","4497133","Bowie St.","Morgan St.",56591,"Akirra Pullen",3,7,4,0,0,0,15,1,2,5
"10742","5015885","Albion","New Jersey City",8185,"Alaina Brown",3,3,3,2,3,0,18,0,1,8
"10743","4516326","Allen","Claflin",29657,"Alaina Harvey",3,7,3,0,1,0,16,1,3,5
"10744","4503746","Santa Clara","Boise St.",71662,"Alaina Valdez",3,6,3,2,0,0,15,1,5,1
"10745","4512867","Lee","Trevecca Nazarene",73944,"Alaina Watson",3,5,4,3,0,2,16,0,4,2
"10746","4496749","South Carolina","Jacksonville St.",72219,"Alana Vawter",3,4,0,0,0,2,12,0,3,3
"10747","4516069","AUM","Ga. Southwestern",25935,"Alanna Goble",3,4,2,1,0,3,15,0,1,5
"10748","4501426","DeSales","Elms",29648,"Alanna Hartzell",3,1,0,1,0,3,11,0,2,4
"10749","4500515","UNLV","CSU Bakersfield",69522,"Alanna Thiede",3,1,0,3,0,1,13,0,4,3
"10750","4500310","Alabama","South Alabama",34937,"Alea Johnson",3,0,0,1,0,2,9,0,3,3
"10751","5250280","Goldey-Beacom","Winona St.",18273,"Alesia Doctor",3,7,4,0,0,1,16,1,2,5
"10752","4500189","Goldey-Beacom","Concordia-St. Paul",18273,"Alesia Doctor",3,2,0,0,0,3,14,0,1,5
"10753","4499550","Wichita St.","Arkansas",511,"Alex Aguilar",3,3,5,1,1,1,15,1,3,5
"10754","4515824","Trevecca Nazarene","Union (TN)",4539,"Alex Behnke",3,2,0,2,0,0,11,0,3,4
"10755","4499451","Belmont","Southern Ind.",12860,"Alex Clesi",3,5,1,1,0,2,15,0,3,3
"10756","4504603","Hartford","Albertus Magnus",29755,"Alex Hassett",3,1,0,1,0,1,11,0,2,6
"10757","4502886","Haverford","Catholic",22096,"Alexa Finkele",3,2,0,0,0,0,11,0,5,2
"10758","4497004","IUPUI","Mississippi St.",32257,"Alexa Holman",3,8,7,1,0,1,17,2,1,6
"10759","4498252","Bryant","Norfolk St.",56000,"Alexa Powell",3,4,3,1,0,3,14,0,3,3
"10760","4504221","Bryant","Fairfield",56000,"Alexa Powell",3,2,1,0,0,1,10,1,6,1
"10761","4500120","South Dakota St.","Fla. Atlantic",75539,"Alexa Williams",3,3,0,3,0,1,15,0,5,2
"10762","4502987","Spring Hill","Clark Atlanta",3241,"Alexandra Ballester",3,3,1,0,0,1,12,0,2,6
"10763","4498078","Catawba","Lees-McRae",3350,"Alexandra Baquie",3,0,0,1,1,4,11,0,1,4
"10764","5254297","Saint Rose","Lincoln (PA)",16851,"Alexandra Deeter",3,1,0,0,1,1,11,0,3,5
"10765","4501123","Staten Island","Bemidji St.",23479,"Alexandra Frenza",3,6,5,2,0,0,17,0,0,9
"10766","4501878","Staten Island","Tiffin",23479,"Alexandra Frenza",3,7,4,3,0,2,18,1,2,4
"10767","5250610","Manhattan","Northern Colo.",31101,"Alexandra Hess",3,2,2,1,0,1,12,0,3,4
"10768","4504548","Wayne St. (MI)","Tiffin",6565,"Alexis Bonk",3,6,6,3,1,4,19,3,1,4
"10769","4498801","Wayne St. (MI)","Lewis",6565,"Alexis Bonk",3,4,4,3,2,1,18,0,5,3
"10770","4791366","McNeese","Niagara",17753,"Alexis Dibbley",3,3,0,2,0,2,14,0,2,5
"10771","4500697","Brown","Tennessee",27889,"Alexis Guevara",3,6,6,2,0,5,16,2,1,2
"10772","4497160","Notre Dame","Utah",39781,"Alexis Laudenslager",3,8,3,0,0,2,17,0,5,1
"10773","4501783","Staten Island","Clarion",47927,"Alexis Miramontes",3,1,0,1,0,0,11,0,3,6
"10774","4503287","VTSU Castleton","Notre Dame (MD)",59828,"Alexis Rogers",3,4,2,0,0,1,14,0,4,4
"10775","4502648","SFA","Central Ark.",69251,"Alexis Telford",3,6,3,3,0,4,16,0,2,1
"10776","4499363","SFA","New Mexico",69251,"Alexis Telford",3,4,0,1,0,0,12,0,5,2
"10777","4500466","San Jose St.","Weber St.",70359,"Alexis Toner",3,6,3,1,0,1,18,0,6,2
"10778","4498163","Creighton","Colgate",75305,"Alexis Wiggins",3,3,1,1,0,1,13,0,4,4
"10779","4499557","Arizona","Marshall",5961,"Ali Blanchard",3,1,0,2,0,0,11,0,4,4
"10780","4503669","Arizona","Washington",5961,"Ali Blanchard",3,6,2,1,0,1,18,5,4,4
"10781","4498021","Arizona","Omaha",5961,"Ali Blanchard",3,4,0,1,0,3,15,0,1,5
"10782","4501292","Detroit Mercy","Middle Tenn.",18479,"Alison Donaugh",3,1,1,1,0,3,11,1,5,1
"10783","4497387","Siena","Charleston So.",20110,"Alissa Eimont",3,2,0,1,0,2,13,0,5,2
"10784","4503885","James Madison","Texas St.",33377,"Alissa Humphrey",3,7,4,1,0,5,17,1,2,2
"10785","4499447","James Madison","Charlotte",33377,"Alissa Humphrey",3,3,2,0,0,4,13,0,3,3
"10786","5252473","James Madison","Binghamton",33377,"Alissa Humphrey",3,1,1,3,1,3,15,0,3,3
"10787","4516011","Western Ore.","Mont. St. Billings",32087,"Alivia Holden",3,4,3,2,0,0,15,0,9,0
"10788","4515164","UVA Wise","Wingate",51156,"Alivia Nolley",3,5,5,2,0,1,16,0,2,6
"10789","4500137","North Ala.","Army West Point",75428,"Alivia Wilken",3,4,1,1,1,2,15,0,1,6
"10790","4497727","Baylor","McNeese",5596,"Aliyah Binford",3,0,1,1,1,5,11,0,4,0
"10791","4493223","Portland St.","Utah St.",23649,"Allicitie Frost",3,5,4,0,2,0,16,0,3,6
"10792","4493239","Portland St.","Pacific (OR)",23649,"Allicitie Frost",3,1,0,1,0,5,11,0,0,4
"10793","4504489","Louisiana Tech","Louisiana",22623,"Allie Floyd",3,4,2,1,0,2,17,1,4,3
"10794","4504102","San Diego St.","Utah St.",41001,"Allie Light",3,3,1,1,0,2,12,0,4,2
"10795","4500687","San Diego St.","Louisiana Tech",41001,"Allie Light",3,8,3,0,0,3,16,0,1,4
"10796","4500040","San Diego St.","LSU",41001,"Allie Light",3,4,4,0,0,1,13,2,1,7
"10797","4498420","San Diego St.","Oregon",41001,"Allie Light",3,3,0,0,0,1,11,0,5,2
"10798","4516327","Huntingdon","Millsaps",59158,"Allie Roberts",3,1,0,2,0,7,12,0,1,1
"10799","4502452","North Florida","USC Upstate",4934,"Allison Benning",3,1,0,3,0,5,14,0,2,2
"10800","4497297","Boston U.","SIUE",6224,"Allison Boaz",3,2,1,3,0,2,13,0,6,0
"10801","4500147","Southeastern La.","Kent St.",8576,"Allison Brunson",3,1,0,0,0,1,9,0,5,2
"10802","4512403","Texas Woman's","Tex. A&M Int'l",26288,"Allison Gonzalez",3,5,0,0,0,1,15,0,1,7
"10803","4515101","Texas-Dallas","Ozarks (AR)",37876,"Allison Koch",3,3,4,4,1,1,18,0,7,1
"10804","5250398","Florida St.","FGCU",60554,"Allison Royalty",3,1,0,0,0,2,11,0,3,4
"10805","4473006","Ohio St.","Belmont",65361,"Allison Smith",3,4,0,1,1,6,15,0,1,2
"10806","4473004","Ohio St.","South Dakota",65361,"Allison Smith",3,2,0,1,0,4,11,0,2,2
"10807","4503574","Wis.-La Crosse","St. Catherine",19863,"Ally Eden",3,1,0,0,0,2,10,0,4,3
"10808","5253392","Wis.-La Crosse","Whittier",19863,"Ally Eden",3,3,0,0,0,3,13,0,5,1
"10809","5251387","Post","Franklin Pierce",9851,"Allysa Calabrese",3,7,7,4,1,1,24,0,3,5
"10810","4498290","Northwestern St.","UTSA",16975,"Aly Delafield",3,2,2,1,1,3,13,1,2,4
"10811","4501442","Penn St.-Altoona","Bethany (WV)",22193,"Alyssa Fisher",3,8,5,3,0,2,18,0,4,1
"10812","4501099","Lancaster Bible","Malone",28679,"Alyssa Hamilton",3,10,8,1,2,0,22,0,6,3
"10813","4501740","USC Upstate","Tarleton St.",36505,"Alyssa Kelly",3,5,1,0,0,2,14,0,5,2
"10814","4497638","USC Upstate","South Carolina St.",36505,"Alyssa Kelly",3,1,0,0,0,5,10,0,3,1
"10815","4500324","USC Upstate","Auburn",36505,"Alyssa Kelly",3,2,4,3,1,0,16,0,5,4
"10816","4499553","USC Upstate","Akron",36505,"Alyssa Kelly",3,6,5,1,0,4,17,2,4,1
"10817","4498854","Chattanooga","A&M-Corpus Christi",39851,"Alyssa Lavdis",3,2,2,0,1,2,12,0,4,3
"10818","4498085","Chattanooga","Murray St.",39851,"Alyssa Lavdis",3,2,2,0,0,3,11,0,2,4
"10819","4498719","Chattanooga","Jacksonville St.",39851,"Alyssa Lavdis",3,1,0,0,0,2,10,0,3,4
"10820","4498082","Bethune-Cookman","Stetson",41766,"Alyssa Lopez",3,4,3,3,0,1,16,0,4,4
"10821","4497854","Louisiana Tech","Lindenwood",44013,"Alyssa Martin",3,0,0,0,0,3,10,0,3,3
"10822","4513324","Saginaw Valley","Findlay",49468,"Alyssa Muench",3,6,5,4,0,4,20,1,4,1
"10823","4503447","Villanova","Providence",63358,"Alyssa Seidler",3,2,0,1,0,4,12,0,2,3
"10824","4497361","Ball St.","James Madison",67821,"Alyssa Stramaglia",3,4,2,4,1,2,21,0,1,5
"10825","4497539","Providence","Eastern Ill.",71337,"Alyssa Twomey",3,3,0,1,1,1,12,0,2,4
"10826","4503051","Fairfield","Yale",74343,"Alyssa Weinberg",3,6,7,2,0,2,16,2,4,2
"10827","4500913","Louisville","Central Mich.",77553,"Alyssa Zabala",3,0,0,1,0,2,9,0,2,4
"10828","4500261","Louisville","South Fla.",77553,"Alyssa Zabala",3,1,0,1,1,2,13,0,1,6
"10829","4516076","Fla. Southern","Wilmington (DE)",40979,"Amanda Lieberman",3,4,2,3,0,2,16,0,4,3
