"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","game_order"
"22864",6323950,"Mont. St. Billings","Northern St.",81565,"Shelby Wasilewski",0.1,2,1,1,0,0,4,0,NA,NA,22864
"22865",6323949,"Hawaii Hilo","Ferris St.",58089,"Lauren Otsubo",2.2,1,0,1,0,1,7,0,NA,NA,22865
"22866",6323949,"Hawaii Hilo","Ferris St.",44392,"Madi Lee",1.1,4,3,4,0,0,11,0,NA,NA,22866
"22867",6323948,"Drury","Southern Ark.",24975,"Jordyn Foley",7,8,2,3,0,1,33,0,NA,NA,22867
"22868",6323948,"Southern Ark.","Drury",64403,"Kassie Rhodes",7,3,0,1,0,5,25,0,NA,NA,22868
"22869",6323947,"Emporia St.","Truman St.",62764,"Gracie Rabe",3,4,3,0,0,4,13,1,NA,NA,22869
"22870",6323947,"Truman St.","Emporia St.",39073,"Kaylyn Jones",4.2,6,1,2,0,6,20,0,NA,NA,22870
"22871",6323947,"Truman St.","Emporia St.",23755,"Lydia Feiste",3.1,3,1,5,0,1,18,0,NA,NA,22871
"22872",6323946,"Northwest Mo. St.","Southeastern Okla.",59350,"Cassidy Paulson",3,6,4,1,1,0,17,0,NA,NA,22872
"22873",6323946,"Southeastern Okla.","Northwest Mo. St.",71430,"Emily Simmons",6,14,9,0,0,4,32,0,NA,NA,22873
"22874",6323946,"Northwest Mo. St.","Southeastern Okla.",53731,"Rien Moore",4,2,0,0,0,2,14,0,NA,NA,22874
"22875",6323945,"Harding","Newman",7259,"Avery Booker",1.1,0,0,0,0,1,4,0,NA,NA,22875
"22876",6323945,"Harding","Newman",28536,"Brooklyn Gobble",4.2,1,0,2,0,6,14,0,NA,NA,22876
"22877",6323945,"Newman","Harding",47616,"Makenna Majors",1.1,2,0,0,0,0,7,0,NA,NA,22877
"22878",6323945,"Newman","Harding",26162,"Zoe Fulks",3.2,10,8,1,0,0,18,2,NA,NA,22878
"22879",6323944,"Mo.-St. Louis","Northeastern St.",81357,"Ashley Ware",5,8,7,2,1,3,27,1,NA,NA,22879
"22880",6323944,"Northeastern St.","Mo.-St. Louis",78624,"Gracie Turner",5.2,8,4,2,0,4,23,1,NA,NA,22880
"22881",6323944,"Mo.-St. Louis","Northeastern St.",70753,"Lexi Sherrick",1,6,5,0,0,2,9,0,NA,NA,22881
"22882",6323944,"Northeastern St.","Mo.-St. Louis",60274,"Ryleigh Peters",1.1,1,0,0,0,0,5,0,NA,NA,22882
"22883",6323943,"Northwestern Okla.","Fort Hays St.",9043,"Chloe Brown",4.2,4,1,3,0,7,18,0,NA,NA,22883
"22884",6323943,"Northwestern Okla.","Fort Hays St.",39068,"Kathryn Jones",1,4,2,1,0,2,8,1,NA,NA,22884
"22885",6323943,"Fort Hays St.","Northwestern Okla.",69046,"Morgan Schmidt",5.1,4,2,1,0,7,23,1,NA,NA,22885
"22886",6323942,"Concordia-St. Paul","Minnesota St.",12012,"Abi Carter",1,3,2,0,0,1,6,0,NA,NA,22886
"22887",6323942,"Concordia-St. Paul","Minnesota St.",7801,"Emmy Bowne",5,4,2,6,0,2,27,0,NA,NA,22887
"22888",6323942,"Minnesota St.","Concordia-St. Paul",57288,"Maddie Oetzmann",2,2,0,1,0,2,9,0,NA,NA,22888
"22889",6323942,"Minnesota St.","Concordia-St. Paul",31447,"Sailor Hall",4.1,2,1,2,1,4,19,0,NA,NA,22889
"22890",6323941,"Northern St.","Valley City St.",67333,"Abby Rux",5,3,0,2,0,4,19,0,NA,NA,22890
"22891",6323940,"Southwest Baptist","Cameron",42371,"Emma Kreisel",1.2,1,3,4,0,0,7,1,NA,NA,22891
"22892",6323940,"Southwest Baptist","Cameron",19398,"Kylee Dewey",1,3,4,2,0,0,8,0,NA,NA,22892
"22893",6323940,"Southwest Baptist","Cameron",36227,"Taylor Howard",3.1,6,3,0,0,2,18,0,NA,NA,22893
"22894",6323940,"Cameron","Southwest Baptist",69005,"Tinley Schmidgall",5,6,5,3,3,2,27,0,NA,NA,22894
"22895",6323939,"Tex. A&M Int'l","Missouri Western",28531,"Kylie Goad",6,5,3,2,1,7,27,0,NA,NA,22895
"22896",6323939,"Tex. A&M Int'l","Missouri Western",34163,"Nevaeh Herrera",1,1,0,0,0,0,4,0,NA,NA,22896
"22897",6323939,"Missouri Western","Tex. A&M Int'l",62818,"Sydney Rader",7,5,2,2,0,6,29,0,NA,NA,22897
"22898",6323938,"Ouachita Baptist","Tex. A&M Int'l",1435,"Catie Amador",6,5,2,3,0,4,27,0,NA,NA,22898
"22899",6323938,"Tex. A&M Int'l","Ouachita Baptist",25726,"Zakayia Fredrick",7,6,2,1,0,2,26,0,NA,NA,22899
"22900",6323937,"Sul Ross St.","Tex. Permian Basin",13850,"Hannah Clark",7.2,7,4,2,0,0,29,0,NA,NA,22900
"22901",6323937,"Tex. Permian Basin","Sul Ross St.",11343,"Jessica Cantrell",4.1,2,0,2,0,4,16,0,NA,NA,22901
"22902",6323937,"Tex. Permian Basin","Sul Ross St.",79653,"Laila Vasquez",2.2,8,5,0,0,0,13,0,NA,NA,22902
"22903",6323937,"Sul Ross St.","Tex. Permian Basin",66354,"Larryn Rooks",0.1,1,3,2,0,0,4,1,NA,NA,22903
"22904",6323937,"Tex. Permian Basin","Sul Ross St.",77804,"Layla Torres",1,6,5,1,1,0,11,0,NA,NA,22904
"22905",6323936,"Adams St.","Sul Ross St.",58421,"Celie Page",6,14,2,0,1,1,33,1,NA,NA,22905
"22906",6323936,"Sul Ross St.","Adams St.",44180,"Janelle Leanos",4,5,2,2,1,0,19,0,NA,NA,22906
"22907",6323936,"Sul Ross St.","Adams St.",12878,"Leanza Chambers",2,2,1,0,0,0,9,1,NA,NA,22907
"22908",6323935,"Adams St.","Chadron St.",17826,"Aubree Davis",5,7,6,4,2,2,27,2,NA,NA,22908
"22909",6323935,"Adams St.","Chadron St.",9988,"Brooklyn Burges",1,5,5,1,0,0,9,1,NA,NA,22909
"22910",6323934,"Mont. St. Billings","Valley City St.",29734,"Avery Gray",5,7,5,2,2,5,29,1,NA,NA,22910
"22911",6323934,"Mont. St. Billings","Valley City St.",37840,"Caitlyn James",2.2,6,3,1,0,3,14,1,NA,NA,22911
"22912",6323934,"Mont. St. Billings","Valley City St.",78303,"Elaina Troxell",0.1,0,0,0,0,0,1,0,NA,NA,22912
"22913",6323933,"Lewis","Ferris St.",27030,"Delaney Garden",5.1,13,8,0,0,4,29,0,NA,NA,22913
"22914",6323932,"Hawaii Pacific","Hillsdale",57996,"Angelica Oseguera",1.2,0,0,0,1,0,4,0,NA,NA,22914
"22915",6323932,"Hillsdale","Hawaii Pacific",25274,"Anistyn Foster",5,3,3,2,1,3,22,0,NA,NA,22915
"22916",6323932,"Hillsdale","Hawaii Pacific",32339,"Grace Harris",1.1,5,2,0,0,1,9,0,NA,NA,22916
"22917",6323932,"Hawaii Pacific","Hillsdale",53241,"Layla Molina",6.1,8,4,3,0,0,33,0,NA,NA,22917
"22918",6323929,"Southern Nazarene","Pittsburg St.",43715,"Ashley Larson",0.1,0,0,0,0,0,0,0,NA,NA,22918
"22919",6323929,"Pittsburg St.","Southern Nazarene",9024,"Aydenne Brown",7,7,6,3,0,3,29,1,NA,NA,22919
"22920",6323929,"Southern Nazarene","Pittsburg St.",84801,"Janie Worthington",1,3,4,1,0,2,7,1,NA,NA,22920
"22921",6323929,"Southern Nazarene","Pittsburg St.",73073,"Maddie Southerland",3.2,5,1,1,0,0,14,0,NA,NA,22921
"22922",6323929,"Southern Nazarene","Pittsburg St.",34086,"Olivia Hernandez",3,4,2,0,0,0,12,0,NA,NA,22922
"22923",6323928,"Pittsburg St.","Missouri S&T",43896,"Ava Laurent",5,6,4,4,0,6,25,1,NA,NA,22923
"22924",6323928,"Missouri S&T","Pittsburg St.",39668,"Julia Kanoy",3.2,5,3,3,0,1,14,0,NA,NA,22924
"22925",6323928,"Pittsburg St.","Missouri S&T",25602,"Lexi Franklin",2,0,0,0,1,0,7,0,NA,NA,22925
"22926",6323928,"Missouri S&T","Pittsburg St.",4925,"Tinley Beecham",3.1,9,7,1,1,1,21,2,NA,NA,22926
"22927",6323927,"Western N.M.","Central Okla.",69202,"Haiven Schoolcraft",1.1,5,6,1,0,0,10,0,NA,NA,22927
"22928",6323927,"Central Okla.","Western N.M.",61034,"Jordyn Pipkin",3.2,3,3,3,0,2,13,1,NA,NA,22928
"22929",6323927,"Western N.M.","Central Okla.",76494,"Labraida Tenorio",1.1,4,3,1,0,0,9,1,NA,NA,22929
"22930",6323927,"Western N.M.","Central Okla.",41479,"Madison Kloepper",2.2,4,2,1,0,1,9,2,NA,NA,22930
"22931",6323927,"Central Okla.","Western N.M.",4672,"Shelby Beard",2.1,2,0,1,0,3,10,0,NA,NA,22931
"22932",6323926,"Florida Tech","AUM",33678,"Alex Hendrian",3,2,1,0,0,2,11,0,NA,NA,22932
"22933",6323926,"AUM","Florida Tech",12568,"Reese Cauley",6,2,1,0,0,5,20,1,NA,NA,22933
"22934",6323926,"Florida Tech","AUM",54988,"Sammy Murphy",3,8,8,2,0,1,19,1,NA,NA,22934
"22935",6323925,"Florida Tech","Newberry",33678,"Alex Hendrian",5,5,1,1,0,1,21,0,NA,NA,22935
"22936",6323925,"Florida Tech","Newberry",23448,"Chloe Fariello",1,2,2,2,0,0,7,0,NA,NA,22936
"22937",6323925,"Newberry","Florida Tech",25302,"Lindsey Foster",3,6,4,1,0,0,16,1,NA,NA,22937
"22938",6323925,"Newberry","Florida Tech",82423,"Natalie Wescott",3,2,1,1,0,2,12,0,NA,NA,22938
"22939",6323925,"Florida Tech","Newberry",54988,"Sammy Murphy",1,0,0,0,0,2,3,0,NA,NA,22939
"22940",6323924,"UC-Colo. Springs","Eastern N.M.",36835,"Hannah Hunt",5,9,2,0,2,5,25,0,NA,NA,22940
"22941",6323924,"Eastern N.M.","UC-Colo. Springs",65105,"Jordan Rivera",3.2,1,0,1,1,2,10,0,NA,NA,22941
"22942",6323924,"UC-Colo. Springs","Eastern N.M.",23366,"Lauren Falk",2,1,0,2,0,1,9,0,NA,NA,22942
"22943",6323924,"Eastern N.M.","UC-Colo. Springs",30745,"Miranda Guillen",3.1,6,4,3,2,2,22,1,NA,NA,22943
"22944",6323923,"Eastern N.M.","Lincoln (MO)",72213,"Cierra Smith",1.1,1,0,1,0,0,6,0,NA,NA,22944
"22945",6323923,"Lincoln (MO)","Eastern N.M.",6602,"Jaedin Blankenship",1.2,0,0,0,0,0,2,0,NA,NA,22945
"22946",6323923,"Eastern N.M.","Lincoln (MO)",65105,"Jordan Rivera",1.2,0,0,0,0,0,2,0,NA,NA,22946
"22947",6323923,"Lincoln (MO)","Eastern N.M.",40797,"Kasey Kilburn",1.1,3,2,2,0,2,10,1,NA,NA,22947
"22948",6323923,"Eastern N.M.","Lincoln (MO)",72413,"Maggie Smith",1.2,2,1,1,0,0,5,0,NA,NA,22948
"22949",6323923,"Lincoln (MO)","Eastern N.M.",66067,"Mallorey Rogers",4,3,3,3,1,2,19,0,NA,NA,22949
"22950",6323923,"Eastern N.M.","Lincoln (MO)",65894,"Marissa Rodriguez",4.1,7,5,2,0,2,21,0,NA,NA,22950
"22951",6323922,"Mo. Southern St.","UT Tyler",75988,"Avery Tallman",5,4,3,2,2,1,23,0,NA,NA,22951
"22952",6323922,"UT Tyler","Mo. Southern St.",643,"Primrose Aholelei",8,5,3,2,2,4,32,1,NA,NA,22952
"22953",6323921,"Southern Ark.","Central Mo.",66023,"Brinson Rogers",6,5,0,3,0,12,26,0,NA,NA,22953
"22954",6323921,"Central Mo.","Southern Ark.",82075,"Brooke Weimer",6,7,5,12,0,4,33,0,NA,NA,22954
"22955",6323921,"Southern Ark.","Central Mo.",10582,"Corie Byrd",1,0,0,1,0,0,4,0,NA,NA,22955
"22956",6323920,"Ark.-Monticello","William Jewell",84661,"Kyann Woods",4,2,1,1,0,1,15,1,NA,NA,22956
"22957",6323920,"William Jewell","Ark.-Monticello",84557,"Olivia Wood",5.2,9,1,2,2,1,27,1,NA,NA,22957
"22958",6323920,"Ark.-Monticello","William Jewell",38797,"Ronnie Johnson",3,3,4,3,1,3,16,1,NA,NA,22958
"22959",6323920,"William Jewell","Ark.-Monticello",58977,"Sydney Parra",2.1,1,1,1,0,2,9,1,NA,NA,22959
"22960",6323919,"Emporia St.","William Jewell",32476,"Jordan Harrison",7,3,1,2,0,6,27,1,NA,NA,22960
"22961",6323918,"Washburn","Upper Iowa",76036,"Alexis Tanguma",2.2,2,1,0,0,1,7,1,NA,NA,22961
"22962",6323918,"Washburn","Upper Iowa",6784,"Ava Bloyd",4,7,2,1,0,4,21,1,NA,NA,22962
"22963",6323918,"Washburn","Upper Iowa",73459,"Jenna Sprague",1.1,0,2,2,0,1,6,0,NA,NA,22963
"22964",6323918,"Upper Iowa","Washburn",63918,"Sara Reid",7,8,1,2,0,3,34,0,NA,NA,22964
"22965",6323917,"Upper Iowa","Mo. Southern St.",80037,"Delaney Vetter",5.2,9,7,3,1,3,27,0,NA,NA,22965
"22966",6323917,"Upper Iowa","Mo. Southern St.",85911,"Dorothy Ziebell",2.1,3,0,1,0,0,10,0,NA,NA,22966
"22967",6323917,"Mo. Southern St.","Upper Iowa",60735,"Kiki Pickens",4,2,2,1,0,9,18,0,NA,NA,22967
"22968",6323916,"Arkansas Tech","UT Tyler",24259,"Alexis Findley",5.2,5,2,2,0,3,22,0,NA,NA,22968
"22969",6323916,"Arkansas Tech","UT Tyler",82740,"Aly White",1.1,1,0,0,0,1,5,0,NA,NA,22969
"22970",6323916,"UT Tyler","Arkansas Tech",6549,"Cera Blanchard",5.1,6,1,2,0,4,24,0,NA,NA,22970
"22971",6323916,"UT Tyler","Arkansas Tech",17937,"Kaylee Davis",2.2,0,0,0,0,3,6,0,NA,NA,22971
"22972",6323915,"Arkansas Tech","McKendree",18165,"Aidan Dayberry",2,0,0,0,1,1,6,0,NA,NA,22972
"22973",6323915,"Arkansas Tech","McKendree",4291,"Bradi Basler",5,4,1,3,1,4,23,1,NA,NA,22973
"22974",6323915,"McKendree","Arkansas Tech",36403,"Sami Huck",7,7,0,2,1,7,31,0,NA,NA,22974
"22975",6323912,"Lane","Henderson St.",60593,"Autumn Phillips",3,8,7,0,0,1,17,1,NA,NA,22975
"22976",6323912,"Henderson St.","Lane",10639,"Jersey Cabana",5,1,0,0,0,5,16,0,NA,NA,22976
"22977",6323912,"Lane","Henderson St.",67937,"Jonni Sanchez",1,3,4,1,0,0,7,0,NA,NA,22977
"22978",6323911,"Cal St. Dom. Hills","Biola",57301,"Ashley Ogata",5,6,2,0,0,2,19,0,NA,NA,22978
"22979",6323911,"Biola","Cal St. Dom. Hills",7635,"Kayla Bousquette",5,6,3,2,0,1,22,0,NA,NA,22979
"22980",6323911,"Cal St. Dom. Hills","Biola",26942,"Lillianna Garcia",2,5,3,1,0,0,12,0,NA,NA,22980
"22981",6323911,"Biola","Cal St. Dom. Hills",64249,"Raquel Reyes",1,1,3,2,1,0,7,1,NA,NA,22981
"22982",6323910,"Allen","Claflin",64497,"Elissa Rich",7,9,8,4,2,6,38,1,NA,NA,22982
"22983",6323910,"Claflin","Allen",30341,"Katelyn Grissom",5,4,2,0,0,4,18,1,NA,NA,22983
"22984",6323910,"Claflin","Allen",59755,"Sydra Pendleton",2,5,2,1,0,0,11,1,NA,NA,22984
