"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"104","1882333","Washington","Auburn",1184,"Taran Alvelo",10,4,1,6,1,13,41,0,4,13
"105","1892267","Stetson","Kennesaw St.",50194,"Tori Perkins",10,10,1,2,0,6,41,0,8,13
"106","1888097","Massachusetts","UC Davis",15901,"Candace Denis",10.2,8,1,2,1,2,41,0,5,22
"107","1903862","CSUN","Cal St. Fullerton",51234,"Daphne Pofek",10.2,5,4,3,1,3,41,1,15,11
"108","1897548","Sacred Heart","Quinnipiac",9771,"Jamie Carlson",10.2,4,1,3,0,15,36,0,4,10
"109","1900460","Baylor","Oklahoma",58490,"Kelsee Selman",10.2,7,3,3,1,9,40,0,8,11
"110","1895683","NC State","Georgia Tech",59639,"Peyton Silverman",10.2,14,6,2,0,9,44,1,8,11
"111","1897908","Houston","Tulsa",27908,"Savannah Heebner",10.2,4,1,0,0,2,32,0,21,5
"112","1883725","NIU","Ohio",64018,"Tara Thacker",10.2,7,3,3,0,10,39,1,7,11
"113","1895010","Saint Joseph's","Fordham",66694,"Ashley Ventura",9.1,13,4,3,1,9,46,1,9,10
"114","1892373","Villanova","Seton Hall",36757,"Brette Lawrence",9.1,15,8,5,0,9,48,5,5,14
"115","1902563","Colorado St.","Nevada",31014,"Bridgette Hutton",9.1,11,6,9,0,3,42,1,12,7
"116","1902661","Tennessee Tech","Eastern Ky.",37724,"Danielle Liberatore",9.1,11,3,2,2,9,42,0,4,14
"117","1887602","Tulsa","Oklahoma",68150,"Emily Watson",9.1,7,1,3,1,9,37,0,5,12
"118","1904435","UMBC","UAlbany",29793,"Jessica Holte",9.1,10,2,3,0,4,39,1,11,11
"119","1901702","Evansville","Southern Ill.",20796,"Morgan Florey",9.1,6,1,3,0,7,34,0,9,9
"120","1904474","Iona","Monmouth",19303,"Alana Evans",9,3,2,7,0,8,37,1,9,10
"121","1898786","UCF","South Fla.",69040,"Alea White",9,5,2,3,0,0,37,1,14,13
"122","1883658","UCF","Cal Poly",69040,"Alea White",9,3,0,5,0,5,35,0,15,7
"123","1905033","Alabama","Minnesota",48465,"Alexis Osorio",9,2,0,5,1,11,35,0,7,9
"124","1900788","UNI","Loyola Chicago",8012,"Alyssa Buchanan",9,4,1,0,1,6,33,1,12,9
"125","1904474","Monmouth","Iona",54167,"Amanda Riley",9,3,0,7,0,11,38,0,5,9
