logo,team_name,record,rpi_rank,nfca_rank,offensive_rank,defensive_rank,overall_rank,team_id
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2697.gif,Hawaii Hilo,9-7-0,51,NA,47,102,76,2697
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/645.gif,Sonoma St.,10-8-0,47,NA,77,84,77,645
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/65.gif,Bloomsburg,3-3-0,53,NA,118,58,78,65
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/262.gif,Grand Valley St.,6-8-0,65,NA,200,19,79,262
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1462.gif,Wingate,7-7-0,109,NA,84,85,80,1462
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2814.gif,Washburn,11-5-0,81,NA,48,116,81,2814
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30125.gif,Minot St.,4-6-0,185,NA,147,44,82,30125
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/507.gif,Northwest Mo. St.,8-6-0,188,NA,54,111,83,507
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30128.gif,Sioux Falls,6-4-0,170,NA,57,106,84,30128
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/9013.gif,Missouri Western,10-2-0,46,NA,133,60,85,9013
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/584.gif,Rollins,11-4-0,89,NA,152,45,86,584
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/947.gif,Arkansas Tech,6-10-0,108,NA,80,90,87,947
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30220.gif,Biola,7-5-0,119,NA,85,89,88,30220
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30202.gif,Okla. Baptist,8-4-0,31,NA,62,108,89,30202
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/206.gif,Eastern N.M.,10-7-0,77,NA,36,135,90,206
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1403.gif,Tiffin,7-3-0,131,NA,79,97,91,1403
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/130.gif,Central Mo.,8-6-0,83,NA,46,125,92,130
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1076.gif,Fairmont St.,4-4-0,52,NA,124,74,93,1076
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30154.gif,Young Harris,7-9-0,57,NA,55,120,94,30154
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/9754.gif,UC-Colo. Springs,8-8-0,96,NA,3,219,95,9754
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1289.gif,Ouachita Baptist,5-11-0,118,NA,104,88,96,1289
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1438.gif,West Liberty,4-5-0,74,NA,112,86,97,1438
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/720.gif,Tuskegee,4-3-0,171,NA,35,146,98,720
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/92.gif,Cal St. Dom. Hills,5-9-0,93,NA,149,67,99,92
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/95.gif,Chico St.,6-6-0,167,NA,223,16,100,95
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30134.gif,Black Hills St.,10-2-0,104,NA,42,145,101,30134
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8736.gif,Southwest Minn. St.,7-3-0,128,NA,174,52,102,8736
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/15646.gif,Barton,7-7-0,64,NA,150,73,103,15646
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/413.gif,MSU Denver,10-6-0,145,NA,87,115,104,413
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/197.gif,East Stroudsburg,11-3-0,39,14,41,151,105,197
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1348.gif,St. Thomas Aquinas,0-6-0,116,NA,93,113,106,1348
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/638.gif,Shippensburg,4-4-0,43,NA,4,226,107,638
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/9011.gif,Fort Hays St.,8-4-0,147,NA,171,65,109,9011
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/208.gif,Eckerd,8-6-0,101,NA,43,154,110,208
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/230.gif,Florida Tech,8-9-0,127,NA,115,93,111,230
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/9680.gif,Embry-Riddle (FL),7-7-0,21,NA,56,142,112,9680
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1071.gif,Emporia St.,10-5-0,56,NA,49,153,113,1071
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/757.gif,Wayne St. (MI),3-7-0,123,NA,38,166,114,757
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1238.gif,Montevallo,8-12-0,66,NA,159,81,115,1238
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1123.gif,Henderson St.,8-2-0,166,NA,172,69,116,1123
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1371.gif,Southeastern Okla.,5-9-0,153,NA,78,129,117,1371
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/10.gif,Alabama Huntsville,8-8-0,132,NA,163,80,118,10
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30152.gif,Southern Nazarene,5-8-0,91,NA,95,124,119,30152
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1460.gif,Wilmington (DE),6-6-0,92,11,177,71,120,1460
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30055.gif,Cal St. Monterey Bay,8-5-0,146,NA,120,114,121,30055
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1314.gif,Pittsburg St.,10-3-0,88,NA,157,87,122,1314
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/11276.gif,USC Aiken,9-10-0,110,NA,135,109,123,11276
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1001.gif,Catawba,8-8-0,87,NA,91,140,124,1001
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/468.gif,Southern N.H.,4-2-0,144,NA,40,185,125,468
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/765.gif,West Chester,5-2-0,82,NA,128,118,126,765
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1023.gif,Coker,7-11-0,183,NA,108,130,127,1023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/93.gif,CSUSB,7-7-0,112,NA,64,167,128,93
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2696.gif,Hawaii Pacific,6-8-0,151,NA,97,144,129,2696
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30118.gif,Dominican (CA),10-7-0,139,NA,151,112,130,30118
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1245.gif,Mount Olive,6-6-0,85,NA,103,141,131,1245
